act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
0,1,1,#Hostess_Shr,26,5,73,12
0,1,1,#Sly_Shr,47,7,73,12
0,1,2,#Sly_Shr,22,3,22,3
0,1,3,#Lord_Shr,48,6,48,6
0,1,4,#HUNTSMEN.0.1_Shr,38,5,70,9
0,1,4,#Lord_Shr,32,4,70,9
0,1,5,#Lord_Shr,10,2,10,2
0,1,6,#HUNTSMEN.0.2_Shr,20,2,86,11
0,1,6,#Lord_Shr,66,9,86,11
0,1,7,#HUNTSMEN.0.2_Shr,9,1,260,33
0,1,7,#HUNTSMEN.0.3_Shr,36,4,260,33
0,1,7,#Lord_Shr,215,28,260,33
0,1,8,#Lord_Shr,21,3,21,3
0,1,9,#Lord_Shr,9,2,21,4
0,1,9,#SERVANTS.LORD.0.1_Shr,12,2,21,4
0,1,10,#Lord_Shr,13,2,17,3
0,1,10,#PLAYERS_Shr,4,1,17,3
0,1,11,#Lord_Shr,39,5,47,6
0,1,11,#PLAYERS.0.1_Shr,8,1,47,6
0,1,12,#Lord_Shr,106,14,130,17
0,1,12,#PLAYERS.0.1_Shr,16,2,130,17
0,1,12,#PLAYERS.0.2_Shr,8,1,130,17
0,1,13,#Lord_Shr,263,35,263,35
0,2,14,#Sly_Shr,8,1,8,1
0,2,15,#SERVANTS.LORD.0.1_Shr,10,1,10,1
0,2,16,#SERVANTS.LORD.0.2_Shr,9,1,9,1
0,2,17,#Lord_Shr,228,30,793,97
0,2,17,#SERVANTS.LORD.0.1_Shr,110,14,793,97
0,2,17,#SERVANTS.LORD.0.2_Shr,94,11,793,97
0,2,17,#SERVANTS.LORD.0.3_Shr,99,12,793,97
0,2,17,#SERVANTS.LORD_Shr,1,1,793,97
0,2,17,#Sly_Shr,262,30,793,97
0,2,18,#Lord_Shr,9,2,224,29
0,2,18,#Page_Shr,102,13,224,29
0,2,18,#Sly_Shr,113,14,224,29
0,2,19,#Messenger_Shr,61,9,68,10
0,2,19,#Sly_Shr,7,1,68,10
0,2,20,#Page_Shr,15,2,50,8
0,2,20,#Sly_Shr,35,6,50,8
1,1,21,#Lucentio_Shr,209,29,322,45
1,1,21,#Tranio_Shr,113,16,322,45
1,1,22,#Baptista_Shr,97,13,347,48
1,1,22,#Bianca_Shr,29,4,347,48
1,1,22,#Gremio_Shr,43,6,347,48
1,1,22,#Hortensio_Shr,41,7,347,48
1,1,22,#Katherine_Shr,77,9,347,48
1,1,22,#Lucentio_Shr,29,5,347,48
1,1,22,#Tranio_Shr,31,4,347,48
1,1,23,#Baptista_Shr,72,10,72,10
1,1,24,#Katherine_Shr,31,3,31,3
1,1,25,#Gremio_Shr,169,20,344,41
1,1,25,#Hortensio_Shr,175,21,344,41
1,1,26,#Lucentio_Shr,322,41,604,79
1,1,26,#Tranio_Shr,282,38,604,79
1,1,27,#Biondello_Shr,42,5,229,32
1,1,27,#Lucentio_Shr,131,18,229,32
1,1,27,#Tranio_Shr,56,9,229,32
1,1,28,#SERVANTS.LORD.0.1_Shr,10,1,10,1
1,1,29,#Sly_Shr,16,2,16,2
1,1,30,#Page_Shr,5,1,17,3
1,1,30,#Sly_Shr,12,2,17,3
1,2,31,#Grumio_Shr,58,8,151,21
1,2,31,#Petruchio_Shr,93,13,151,21
1,2,32,#Grumio_Shr,296,32,953,119
1,2,32,#Hortensio_Shr,364,50,953,119
1,2,32,#Petruchio_Shr,293,37,953,119
1,2,33,#Gremio_Shr,239,31,614,81
1,2,33,#Grumio_Shr,52,7,614,81
1,2,33,#Hortensio_Shr,129,18,614,81
1,2,33,#Lucentio_Shr,40,5,614,81
1,2,33,#Petruchio_Shr,154,20,614,81
1,2,34,#Biondello_Shr,19,3,525,67
1,2,34,#Gremio_Shr,59,8,525,67
1,2,34,#Grumio_Shr,7,1,525,67
1,2,34,#Hortensio_Shr,90,11,525,67
1,2,34,#Lucentio_Shr,13,2,525,67
1,2,34,#Petruchio_Shr,74,9,525,67
1,2,34,#Tranio_Shr,270,34,525,67
2,1,35,#Bianca_Shr,133,16,182,22
2,1,35,#Katherine_Shr,49,6,182,22
2,1,36,#Baptista_Shr,58,10,66,11
2,1,36,#Katherine_Shr,8,1,66,11
2,1,37,#Katherine_Shr,54,6,54,6
2,1,38,#Baptista_Shr,11,2,11,2
2,1,39,#Baptista_Shr,143,20,529,73
2,1,39,#Gremio_Shr,107,15,529,73
2,1,39,#Petruchio_Shr,168,23,529,73
2,1,39,#Tranio_Shr,111,15,529,73
2,1,40,#Baptista_Shr,20,3,20,3
2,1,41,#Baptista_Shr,76,9,256,31
2,1,41,#Petruchio_Shr,180,22,256,31
2,1,42,#Baptista_Shr,69,8,231,28
2,1,42,#Hortensio_Shr,125,16,231,28
2,1,42,#Petruchio_Shr,37,4,231,28
2,1,43,#Petruchio_Shr,111,13,111,13
2,1,44,#Katherine_Shr,235,35,774,104
2,1,44,#Petruchio_Shr,539,69,774,104
2,1,45,#Baptista_Shr,36,6,376,50
2,1,45,#Gremio_Shr,16,3,376,50
2,1,45,#Katherine_Shr,46,6,376,50
2,1,45,#Petruchio_Shr,269,33,376,50
2,1,45,#Tranio_Shr,16,3,376,50
2,1,46,#Baptista_Shr,145,20,586,79
2,1,46,#Gremio_Shr,267,36,586,79
2,1,46,#Tranio_Shr,174,23,586,79
2,1,47,#Gremio_Shr,40,5,40,5
2,1,48,#Tranio_Shr,69,8,69,8
3,1,49,#Bianca_Shr,251,32,606,84
3,1,49,#Hortensio_Shr,168,24,606,84
3,1,49,#Lucentio_Shr,187,28,606,84
3,1,50,#Bianca_Shr,8,1,40,5
3,1,50,#Lucentio_Shr,9,1,40,5
3,1,50,#SERVANTS.BAPTISTA.1_Shr,23,3,40,5
3,1,51,#Hortensio_Shr,52,6,52,6
3,2,52,#Baptista_Shr,54,7,206,26
3,2,52,#Katherine_Shr,115,14,206,26
3,2,52,#Tranio_Shr,37,5,206,26
3,2,53,#Baptista_Shr,26,3,26,3
3,2,54,#Baptista_Shr,46,9,388,56
3,2,54,#Biondello_Shr,320,44,388,56
3,2,54,#Tranio_Shr,22,3,388,56
3,2,55,#Baptista_Shr,57,8,298,40
3,2,55,#Petruchio_Shr,192,25,298,40
3,2,55,#Tranio_Shr,49,7,298,40
3,2,56,#Baptista_Shr,9,1,33,4
3,2,56,#Tranio_Shr,24,3,33,4
3,2,57,#Lucentio_Shr,38,5,149,21
3,2,57,#Tranio_Shr,111,16,149,21
3,2,58,#Gremio_Shr,252,30,290,35
3,2,58,#Tranio_Shr,38,5,290,35
3,2,59,#Baptista_Shr,7,1,451,61
3,2,59,#Gremio_Shr,12,2,451,61
3,2,59,#Grumio_Shr,11,2,451,61
3,2,59,#Katherine_Shr,120,16,451,61
3,2,59,#Petruchio_Shr,293,39,451,61
3,2,59,#Tranio_Shr,8,1,451,61
3,2,60,#Baptista_Shr,55,9,100,15
3,2,60,#Bianca_Shr,7,1,100,15
3,2,60,#Gremio_Shr,15,2,100,15
3,2,60,#Lucentio_Shr,7,1,100,15
3,2,60,#Tranio_Shr,16,2,100,15
4,1,61,#Grumio_Shr,110,11,110,11
4,1,62,#Curtis_Shr,125,22,636,87
4,1,62,#Grumio_Shr,511,65,636,87
4,1,63,#Grumio_Shr,42,6,65,13
4,1,63,#SERVANTS.PETRUCHIO.Joseph_Shr,2,1,65,13
4,1,63,#SERVANTS.PETRUCHIO.Nathaniel_Shr,16,4,65,13
4,1,63,#SERVANTS.PETRUCHIO.Nicholas_Shr,2,1,65,13
4,1,63,#SERVANTS.PETRUCHIO.Phillip_Shr,3,1,65,13
4,1,64,#Grumio_Shr,67,8,156,21
4,1,64,#Petruchio_Shr,84,12,156,21
4,1,64,#SERVANTS.PETRUCHIO.Joseph_Shr,5,1,156,21
4,1,64,#SERVANTS.PETRUCHIO.Nathaniel_Shr,5,1,156,21
4,1,64,#SERVANTS.PETRUCHIO.Nicholas_Shr,5,1,156,21
4,1,64,#SERVANTS.PETRUCHIO.Peter_Shr,5,1,156,21
4,1,64,#SERVANTS.PETRUCHIO.Phillip_Shr,5,1,156,21
4,1,65,#Petruchio_Shr,20,4,20,4
4,1,66,#Petruchio_Shr,58,9,58,9
4,1,67,#Katherine_Shr,8,1,85,12
4,1,67,#Petruchio_Shr,77,11,85,12
4,1,68,#Petruchio_Shr,63,8,65,10
4,1,68,#SERVANTS.PETRUCHIO.0.4_Shr,1,1,65,10
4,1,68,#SERVANTS.PETRUCHIO.Peter_Shr,1,1,65,10
4,1,69,#Katherine_Shr,17,2,86,11
4,1,69,#Petruchio_Shr,69,9,86,11
4,1,70,#SERVANTS.PETRUCHIO.Nathaniel_Shr,6,1,13,2
