node1,node2,n_lines,n_tokens
#HUNTSMEN.0.1_Shr,0.01,144,1068
#HUNTSMEN.0.2_Shr,0.01,144,1068
#HUNTSMEN.0.3_Shr,0.01,144,1068
#HUNTSMEN_Shr,0.01,144,1068
#Hostess_Shr,0.01,144,1068
#Lord_Shr,0.01,144,1068
#PLAYERS.0.1_Shr,0.01,144,1068
#PLAYERS.0.2_Shr,0.01,144,1068
#PLAYERS_Shr,0.01,144,1068
#SERVANTS.LORD.0.1_Shr,0.01,144,1068
#SERVANTS.LORD_Shr,0.01,144,1068
#Sly_Shr,0.01,144,1068
#Lord_Shr,0.02,147,1162
#Messenger_Shr,0.02,147,1162
#Page_Shr,0.02,147,1162
#SERVANTS.LORD.0.1_Shr,0.02,147,1162
#SERVANTS.LORD.0.2_Shr,0.02,147,1162
#SERVANTS.LORD.0.3_Shr,0.02,147,1162
#SERVANTS.LORD.0_Shr,0.02,147,1162
#SERVANTS.LORD_Shr,0.02,147,1162
#Sly_Shr,0.02,147,1162
#Baptista_Shr,1.01,264,1992
#Bianca_Shr,1.01,264,1992
#Biondello_Shr,1.01,264,1992
#Gremio_Shr,1.01,264,1992
#Hortensio_Shr,1.01,264,1992
#Katherine_Shr,1.01,264,1992
#Lucentio_Shr,1.01,264,1992
#Page_Shr,1.01,264,1992
#SERVANTS.LORD.0.1_Shr,1.01,264,1992
#Sly_Shr,1.01,264,1992
#Tranio_Shr,1.01,264,1992
#Biondello_Shr,1.02,288,2243
#Gremio_Shr,1.02,288,2243
#Grumio_Shr,1.02,288,2243
#Hortensio_Shr,1.02,288,2243
#Lucentio_Shr,1.02,288,2243
#Petruchio_Shr,1.02,288,2243
#Tranio_Shr,1.02,288,2243
#Baptista_Shr,2.01,435,3305
#Bianca_Shr,2.01,435,3305
#Biondello_Shr,2.01,435,3305
#Gremio_Shr,2.01,435,3305
#Hortensio_Shr,2.01,435,3305
#Katherine_Shr,2.01,435,3305
#Lucentio_Shr,2.01,435,3305
#Petruchio_Shr,2.01,435,3305
#SERVANTS.BAPTISTA.1_Shr,2.01,435,3305
#Tranio_Shr,2.01,435,3305
#Bianca_Shr,3.01,95,698
#Hortensio_Shr,3.01,95,698
#Lucentio_Shr,3.01,95,698
#SERVANTS.BAPTISTA.1_Shr,3.01,95,698
#Baptista_Shr,3.02,261,1941
#Bianca_Shr,3.02,261,1941
#Biondello_Shr,3.02,261,1941
#Gremio_Shr,3.02,261,1941
#Grumio_Shr,3.02,261,1941
#Hortensio_Shr,3.02,261,1941
#Katherine_Shr,3.02,261,1941
#Lucentio_Shr,3.02,261,1941
#Petruchio_Shr,3.02,261,1941
#SERVANTS.BAPTISTA_Shr,3.02,261,1941
#Tranio_Shr,3.02,261,1941
#Curtis_Shr,4.01,211,1546
#Grumio_Shr,4.01,211,1546
#Katherine_Shr,4.01,211,1546
#Petruchio_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO.0.2_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO.0.4_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO.Joseph_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO.Nathaniel_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO.Nicholas_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO.Peter_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO.Phillip_Shr,4.01,211,1546
#SERVANTS.PETRUCHIO_Shr,4.01,211,1546
#Bianca_Shr,4.02,126,952
#Biondello_Shr,4.02,126,952
#Hortensio_Shr,4.02,126,952
#Lucentio_Shr,4.02,126,952
#Merchant_Shr,4.02,126,952
#Tranio_Shr,4.02,126,952
#Grumio_Shr,4.03,203,1564
#Haberdasher_Shr,4.03,203,1564
#Hortensio_Shr,4.03,203,1564
#Katherine_Shr,4.03,203,1564
#Petruchio_Shr,4.03,203,1564
#Tailor_Shr,4.03,203,1564
#Baptista_Shr,4.04,111,795
#Biondello_Shr,4.04,111,795
#Lucentio_Shr,4.04,111,795
#Merchant_Shr,4.04,111,795
#Tranio_Shr,4.04,111,795
#Hortensio_Shr,4.05,84,636
#Katherine_Shr,4.05,84,636
#Petruchio_Shr,4.05,84,636
#SERVANTS.PETRUCHIO_Shr,4.05,84,636
#Vincentio_Shr,4.05,84,636
#Baptista_Shr,5.01,156,1031
#Bianca_Shr,5.01,156,1031
#Biondello_Shr,5.01,156,1031
#Gremio_Shr,5.01,156,1031
#Grumio_Shr,5.01,156,1031
#Katherine_Shr,5.01,156,1031
#Lucentio_Shr,5.01,156,1031
#Merchant_Shr,5.01,156,1031
#Officer_Shr,5.01,156,1031
#Petruchio_Shr,5.01,156,1031
#SERVANTS.BAPTISTA_Shr,5.01,156,1031
#SERVANTS.PETRUCHIO_Shr,5.01,156,1031
#Tranio_Shr,5.01,156,1031
#Vincentio_Shr,5.01,156,1031
#Baptista_Shr,5.02,206,1491
#Bianca_Shr,5.02,206,1491
#Biondello_Shr,5.02,206,1491
#Gremio_Shr,5.02,206,1491
#Grumio_Shr,5.02,206,1491
#Hortensio_Shr,5.02,206,1491
#Katherine_Shr,5.02,206,1491
#Lucentio_Shr,5.02,206,1491
#Merchant_Shr,5.02,206,1491
#Petruchio_Shr,5.02,206,1491
#SERVANTS_Shr,5.02,206,1491
#Tranio_Shr,5.02,206,1491
#Vincentio_Shr,5.02,206,1491
#Widow_Shr,5.02,206,1491
