source,target,key,n_lines,n_tokens,edge_index,edge_type
#Sly_Shr,0.01.0001,0,1,5,1,active
0.01.0001,#Hostess_Shr,0,1,5,1,passive
#Hostess_Shr,0.01.0001,0,1,6,2,active
0.01.0001,#Sly_Shr,0,1,6,2,passive
#Sly_Shr,0.01.0001,1,4,26,3,active
0.01.0001,#Hostess_Shr,1,4,26,3,passive
#Hostess_Shr,0.01.0001,1,2,10,4,active
0.01.0001,#Sly_Shr,1,2,10,4,passive
#Sly_Shr,0.01.0001,2,2,16,5,active
0.01.0001,#Hostess_Shr,2,2,16,5,passive
#Hostess_Shr,0.01.0001,2,2,10,6,active
0.01.0001,#Sly_Shr,2,2,10,6,passive
#Sly_Shr,0.01.0002,0,3,22,7,active
#Lord_Shr,0.01.0003,0,6,48,8,active
0.01.0003,#HUNTSMEN_Shr,0,6,48,8,passive
0.01.0003,#SERVANTS.LORD_Shr,0,6,48,8,passive
0.01.0003,#Sly_Shr,0,6,48,8,passive
#HUNTSMEN.0.1_Shr,0.01.0004,0,4,34,9,active
0.01.0004,#HUNTSMEN_Shr,0,4,34,9,passive
0.01.0004,#Lord_Shr,0,4,34,9,passive
0.01.0004,#SERVANTS.LORD_Shr,0,4,34,9,passive
0.01.0004,#Sly_Shr,0,4,34,9,passive
#Lord_Shr,0.01.0004,0,4,32,10,active
0.01.0004,#HUNTSMEN.0.1_Shr,0,4,32,10,passive
0.01.0004,#HUNTSMEN_Shr,1,4,32,10,passive
0.01.0004,#SERVANTS.LORD_Shr,1,4,32,10,passive
0.01.0004,#Sly_Shr,1,4,32,10,passive
#HUNTSMEN.0.1_Shr,0.01.0004,1,1,4,11,active
0.01.0004,#HUNTSMEN_Shr,2,1,4,11,passive
0.01.0004,#Lord_Shr,1,1,4,11,passive
0.01.0004,#SERVANTS.LORD_Shr,2,1,4,11,passive
0.01.0004,#Sly_Shr,2,1,4,11,passive
#Lord_Shr,0.01.0005,0,2,10,12,active
0.01.0005,#HUNTSMEN_Shr,0,2,10,12,passive
0.01.0005,#SERVANTS.LORD_Shr,0,2,10,12,passive
0.01.0005,#Sly_Shr,0,2,10,12,passive
#HUNTSMEN.0.2_Shr,0.01.0006,0,2,20,13,active
0.01.0006,#HUNTSMEN_Shr,0,2,20,13,passive
0.01.0006,#Lord_Shr,0,2,20,13,passive
0.01.0006,#SERVANTS.LORD_Shr,0,2,20,13,passive
0.01.0006,#Sly_Shr,0,2,20,13,passive
#Lord_Shr,0.01.0006,0,9,66,14,active
0.01.0006,#HUNTSMEN.0.2_Shr,0,9,66,14,passive
0.01.0006,#HUNTSMEN_Shr,1,9,66,14,passive
0.01.0006,#SERVANTS.LORD_Shr,1,9,66,14,passive
0.01.0006,#Sly_Shr,1,9,66,14,passive
#HUNTSMEN.0.3_Shr,0.01.0007,0,1,8,15,active
0.01.0007,#HUNTSMEN.0.2_Shr,0,1,8,15,passive
0.01.0007,#HUNTSMEN_Shr,0,1,8,15,passive
0.01.0007,#Lord_Shr,0,1,8,15,passive
0.01.0007,#SERVANTS.LORD_Shr,0,1,8,15,passive
0.01.0007,#Sly_Shr,0,1,8,15,passive
#HUNTSMEN.0.2_Shr,0.01.0007,0,1,9,16,active
0.01.0007,#HUNTSMEN.0.3_Shr,0,1,9,16,passive
0.01.0007,#HUNTSMEN_Shr,1,1,9,16,passive
0.01.0007,#Lord_Shr,1,1,9,16,passive
0.01.0007,#SERVANTS.LORD_Shr,1,1,9,16,passive
0.01.0007,#Sly_Shr,1,1,9,16,passive
#Lord_Shr,0.01.0007,0,26,197,17,active
0.01.0007,#HUNTSMEN.0.2_Shr,1,26,197,17,passive
0.01.0007,#HUNTSMEN.0.3_Shr,1,26,197,17,passive
0.01.0007,#HUNTSMEN_Shr,2,26,197,17,passive
0.01.0007,#SERVANTS.LORD_Shr,2,26,197,17,passive
0.01.0007,#Sly_Shr,2,26,197,17,passive
#HUNTSMEN.0.3_Shr,0.01.0007,1,3,28,18,active
0.01.0007,#HUNTSMEN.0.2_Shr,2,3,28,18,passive
0.01.0007,#HUNTSMEN_Shr,3,3,28,18,passive
0.01.0007,#Lord_Shr,2,3,28,18,passive
0.01.0007,#SERVANTS.LORD_Shr,3,3,28,18,passive
0.01.0007,#Sly_Shr,3,3,28,18,passive
#Lord_Shr,0.01.0007,1,2,18,19,active
0.01.0007,#HUNTSMEN.0.2_Shr,3,2,18,19,passive
0.01.0007,#HUNTSMEN.0.3_Shr,2,2,18,19,passive
0.01.0007,#HUNTSMEN_Shr,4,2,18,19,passive
0.01.0007,#SERVANTS.LORD_Shr,4,2,18,19,passive
0.01.0007,#Sly_Shr,4,2,18,19,passive
#Lord_Shr,0.01.0008,0,3,21,20,active
0.01.0008,#HUNTSMEN.0.2_Shr,0,3,21,20,passive
0.01.0008,#HUNTSMEN.0.3_Shr,0,3,21,20,passive
0.01.0008,#SERVANTS.LORD_Shr,0,3,21,20,passive
#Lord_Shr,0.01.0009,0,1,5,21,active
0.01.0009,#HUNTSMEN.0.2_Shr,0,1,5,21,passive
0.01.0009,#HUNTSMEN.0.3_Shr,0,1,5,21,passive
0.01.0009,#SERVANTS.LORD.0.1_Shr,0,1,5,21,passive
0.01.0009,#SERVANTS.LORD_Shr,0,1,5,21,passive
#SERVANTS.LORD.0.1_Shr,0.01.0009,0,2,12,22,active
0.01.0009,#HUNTSMEN.0.2_Shr,1,2,12,22,passive
0.01.0009,#HUNTSMEN.0.3_Shr,1,2,12,22,passive
0.01.0009,#Lord_Shr,0,2,12,22,passive
0.01.0009,#SERVANTS.LORD_Shr,1,2,12,22,passive
#Lord_Shr,0.01.0009,1,1,4,23,active
0.01.0009,#HUNTSMEN.0.2_Shr,2,1,4,23,passive
0.01.0009,#HUNTSMEN.0.3_Shr,2,1,4,23,passive
0.01.0009,#SERVANTS.LORD.0.1_Shr,1,1,4,23,passive
0.01.0009,#SERVANTS.LORD_Shr,2,1,4,23,passive
#Lord_Shr,0.01.0010,0,1,5,24,active
0.01.0010,#HUNTSMEN.0.2_Shr,0,1,5,24,passive
0.01.0010,#HUNTSMEN.0.3_Shr,0,1,5,24,passive
0.01.0010,#PLAYERS_Shr,0,1,5,24,passive
0.01.0010,#SERVANTS.LORD.0.1_Shr,0,1,5,24,passive
0.01.0010,#SERVANTS.LORD_Shr,0,1,5,24,passive
#PLAYERS_Shr,0.01.0010,0,1,4,25,active
0.01.0010,#HUNTSMEN.0.2_Shr,1,1,4,25,passive
0.01.0010,#HUNTSMEN.0.3_Shr,1,1,4,25,passive
0.01.0010,#Lord_Shr,0,1,4,25,passive
0.01.0010,#SERVANTS.LORD.0.1_Shr,1,1,4,25,passive
0.01.0010,#SERVANTS.LORD_Shr,1,1,4,25,passive
#Lord_Shr,0.01.0010,1,1,8,26,active
0.01.0010,#HUNTSMEN.0.2_Shr,2,1,8,26,passive
0.01.0010,#HUNTSMEN.0.3_Shr,2,1,8,26,passive
0.01.0010,#PLAYERS_Shr,1,1,8,26,passive
0.01.0010,#SERVANTS.LORD.0.1_Shr,2,1,8,26,passive
0.01.0010,#SERVANTS.LORD_Shr,2,1,8,26,passive
#PLAYERS.0.1_Shr,0.01.0011,0,1,8,27,active
0.01.0011,#HUNTSMEN.0.2_Shr,0,1,8,27,passive
0.01.0011,#HUNTSMEN.0.3_Shr,0,1,8,27,passive
0.01.0011,#Lord_Shr,0,1,8,27,passive
0.01.0011,#PLAYERS_Shr,0,1,8,27,passive
0.01.0011,#SERVANTS.LORD.0.1_Shr,0,1,8,27,passive
0.01.0011,#SERVANTS.LORD_Shr,0,1,8,27,passive
#Lord_Shr,0.01.0011,0,5,39,28,active
0.01.0011,#HUNTSMEN.0.2_Shr,1,5,39,28,passive
0.01.0011,#HUNTSMEN.0.3_Shr,1,5,39,28,passive
0.01.0011,#PLAYERS.0.1_Shr,0,5,39,28,passive
0.01.0011,#PLAYERS_Shr,1,5,39,28,passive
0.01.0011,#SERVANTS.LORD.0.1_Shr,1,5,39,28,passive
0.01.0011,#SERVANTS.LORD_Shr,1,5,39,28,passive
#PLAYERS.0.2_Shr,0.01.0012,0,1,8,29,active
0.01.0012,#HUNTSMEN.0.2_Shr,0,1,8,29,passive
0.01.0012,#HUNTSMEN.0.3_Shr,0,1,8,29,passive
0.01.0012,#Lord_Shr,0,1,8,29,passive
0.01.0012,#PLAYERS.0.1_Shr,0,1,8,29,passive
