source,target,n_lines,n_tokens,edge_type
#Baptista_Shr,1.01.0022,13,97,active
#Baptista_Shr,1.01.0023,10,72,active
#Baptista_Shr,2.01.0036,10,58,active
#Baptista_Shr,2.01.0038,2,11,active
#Baptista_Shr,2.01.0039,20,143,active
#Baptista_Shr,2.01.0040,3,20,active
#Baptista_Shr,2.01.0041,9,76,active
#Baptista_Shr,2.01.0042,8,69,active
#Baptista_Shr,2.01.0045,6,36,active
#Baptista_Shr,2.01.0046,20,145,active
#Baptista_Shr,3.02.0052,7,54,active
#Baptista_Shr,3.02.0053,3,26,active
#Baptista_Shr,3.02.0054,9,46,active
#Baptista_Shr,3.02.0055,8,57,active
#Baptista_Shr,3.02.0056,1,9,active
#Baptista_Shr,3.02.0059,1,7,active
#Baptista_Shr,3.02.0060,9,55,active
#Baptista_Shr,4.04.0086,19,145,active
#Baptista_Shr,4.04.0087,1,3,active
#Baptista_Shr,5.01.0101,3,19,active
#Baptista_Shr,5.01.0102,3,20,active
#Baptista_Shr,5.01.0104,5,29,active
#Baptista_Shr,5.01.0105,1,9,active
#Baptista_Shr,5.02.0109,2,12,active
#Baptista_Shr,5.02.0110,3,22,active
#Baptista_Shr,5.02.0111,1,7,active
#Baptista_Shr,5.02.0116,1,7,active
#Baptista_Shr,5.02.0117,5,35,active
#Bianca_Shr,1.01.0022,4,29,active
#Bianca_Shr,2.01.0035,16,133,active
#Bianca_Shr,3.01.0049,32,251,active
#Bianca_Shr,3.01.0050,1,8,active
#Bianca_Shr,3.02.0060,1,7,active
#Bianca_Shr,4.02.0074,2,17,active
#Bianca_Shr,4.02.0075,4,26,active
#Bianca_Shr,5.01.0104,2,8,active
#Bianca_Shr,5.02.0109,6,48,active
#Bianca_Shr,5.02.0118,2,17,active
#Biondello_Shr,1.01.0027,5,42,active
#Biondello_Shr,1.02.0034,3,19,active
#Biondello_Shr,3.02.0054,44,320,active
#Biondello_Shr,4.02.0076,7,50,active
#Biondello_Shr,4.02.0077,2,11,active
#Biondello_Shr,4.04.0085,3,23,active
#Biondello_Shr,4.04.0087,1,10,active
#Biondello_Shr,4.04.0088,26,179,active
#Biondello_Shr,5.01.0093,2,9,active
#Biondello_Shr,5.01.0094,3,21,active
#Biondello_Shr,5.01.0098,11,80,active
#Biondello_Shr,5.01.0103,2,18,active
#Biondello_Shr,5.02.0110,1,2,active
#Biondello_Shr,5.02.0112,3,14,active
#Biondello_Shr,5.02.0114,2,19,active
#Curtis_Shr,4.01.0062,22,125,active
#Curtis_Shr,4.01.0071,6,45,active
#Gremio_Shr,1.01.0022,6,43,active
#Gremio_Shr,1.01.0025,20,169,active
#Gremio_Shr,1.02.0033,31,239,active
#Gremio_Shr,1.02.0034,8,59,active
#Gremio_Shr,2.01.0039,15,107,active
#Gremio_Shr,2.01.0045,3,16,active
#Gremio_Shr,2.01.0046,36,267,active
#Gremio_Shr,2.01.0047,5,40,active
#Gremio_Shr,3.02.0058,30,252,active
#Gremio_Shr,3.02.0059,2,12,active
#Gremio_Shr,3.02.0060,2,15,active
#Gremio_Shr,5.01.0095,1,8,active
#Gremio_Shr,5.01.0096,1,8,active
#Gremio_Shr,5.01.0102,6,41,active
#Gremio_Shr,5.01.0104,1,9,active
#Gremio_Shr,5.01.0107,2,21,active
#Gremio_Shr,5.02.0109,1,7,active
#Gremio_Shr,5.02.0112,2,16,active
#Grumio_Shr,1.02.0031,8,58,active
#Grumio_Shr,1.02.0032,32,296,active
#Grumio_Shr,1.02.0033,7,52,active
#Grumio_Shr,1.02.0034,1,7,active
#Grumio_Shr,3.02.0059,2,11,active
#Grumio_Shr,4.01.0061,11,110,active
#Grumio_Shr,4.01.0062,65,511,active
#Grumio_Shr,4.01.0063,6,42,active
#Grumio_Shr,4.01.0064,8,67,active
#Grumio_Shr,4.01.0071,1,3,active
#Grumio_Shr,4.03.0078,10,84,active
#Grumio_Shr,4.03.0082,26,213,active
#HUNTSMEN.0.1_Shr,0.01.0004,5,38,active
#HUNTSMEN.0.2_Shr,0.01.0006,2,20,active
#HUNTSMEN.0.2_Shr,0.01.0007,1,9,active
#HUNTSMEN.0.3_Shr,0.01.0007,4,36,active
#Haberdasher_Shr,4.03.0081,1,8,active
#Hortensio_Shr,1.01.0022,7,41,active
#Hortensio_Shr,1.01.0025,21,175,active
#Hortensio_Shr,1.02.0032,50,364,active
#Hortensio_Shr,1.02.0033,18,129,active
#Hortensio_Shr,1.02.0034,11,90,active
#Hortensio_Shr,2.01.0042,16,125,active
#Hortensio_Shr,3.01.0049,24,168,active
#Hortensio_Shr,3.01.0051,6,52,active
#Hortensio_Shr,4.02.0073,2,18,active
#Hortensio_Shr,4.02.0074,23,184,active
#Hortensio_Shr,4.03.0079,3,17,active
#Hortensio_Shr,4.03.0081,1,6,active
#Hortensio_Shr,4.03.0082,6,41,active
#Hortensio_Shr,4.03.0083,1,8,active
#Hortensio_Shr,4.05.0090,2,17,active
#Hortensio_Shr,4.05.0091,3,20,active
#Hortensio_Shr,4.05.0092,3,25,active
#Hortensio_Shr,5.02.0109,4,24,active
#Hortensio_Shr,5.02.0110,4,16,active
#Hortensio_Shr,5.02.0112,2,12,active
#Hortensio_Shr,5.02.0113,2,13,active
#Hortensio_Shr,5.02.0114,1,4,active
#Hortensio_Shr,5.02.0115,2,7,active
#Hortensio_Shr,5.02.0117,1,9,active
#Hortensio_Shr,5.02.0119,1,10,active
#Hostess_Shr,0.01.0001,5,26,active
#Katherine_Shr,1.01.0022,9,77,active
#Katherine_Shr,1.01.0024,3,31,active
#Katherine_Shr,2.01.0035,6,49,active
#Katherine_Shr,2.01.0036,1,8,active
#Katherine_Shr,2.01.0037,6,54,active
#Katherine_Shr,2.01.0044,35,235,active
#Katherine_Shr,2.01.0045,6,46,active
#Katherine_Shr,3.02.0052,14,115,active
#Katherine_Shr,3.02.0059,16,120,active
#Katherine_Shr,4.01.0067,1,8,active
#Katherine_Shr,4.01.0069,2,17,active
#Katherine_Shr,4.03.0078,25,204,active
#Katherine_Shr,4.03.0079,3,16,active
#Katherine_Shr,4.03.0081,12,108,active
#Katherine_Shr,4.03.0082,4,22,active
#Katherine_Shr,4.03.0083,2,17,active
#Katherine_Shr,4.05.0090,12,109,active
#Katherine_Shr,4.05.0091,10,72,active
#Katherine_Shr,5.01.0108,6,37,active
#Katherine_Shr,5.02.0109,5,35,active
#Katherine_Shr,5.02.0116,2,17,active
#Katherine_Shr,5.02.0118,44,364,active
#Lord_Shr,0.01.0003,6,48,active
#Lord_Shr,0.01.0004,4,32,active
#Lord_Shr,0.01.0005,2,10,active
#Lord_Shr,0.01.0006,9,66,active
#Lord_Shr,0.01.0007,28,215,active
#Lord_Shr,0.01.0008,3,21,active
#Lord_Shr,0.01.0009,2,9,active
#Lord_Shr,0.01.0010,2,13,active
#Lord_Shr,0.01.0011,5,39,active
#Lord_Shr,0.01.0012,14,106,active
#Lord_Shr,0.01.0013,35,263,active
#Lord_Shr,0.02.0017,30,228,active
#Lord_Shr,0.02.0018,2,9,active
#Lucentio_Shr,1.01.0021,29,209,active
#Lucentio_Shr,1.01.0022,5,29,active
#Lucentio_Shr,1.01.0026,41,322,active
#Lucentio_Shr,1.01.0027,18,131,active
#Lucentio_Shr,1.02.0033,5,40,active
#Lucentio_Shr,1.02.0034,2,13,active
#Lucentio_Shr,3.01.0049,28,187,active
#Lucentio_Shr,3.01.0050,1,9,active
#Lucentio_Shr,3.02.0057,5,38,active
#Lucentio_Shr,3.02.0060,1,7,active
#Lucentio_Shr,4.02.0074,3,26,active
#Lucentio_Shr,4.02.0075,1,6,active
#Lucentio_Shr,4.02.0076,1,5,active
#Lucentio_Shr,4.04.0088,7,27,active
#Lucentio_Shr,4.04.0089,5,36,active
#Lucentio_Shr,5.01.0093,2,15,active
#Lucentio_Shr,5.01.0104,12,77,active
#Lucentio_Shr,5.01.0106,2,9,active
#Lucentio_Shr,5.02.0109,11,85,active
#Lucentio_Shr,5.02.0110,5,24,active
#Lucentio_Shr,5.02.0111,1,9,active
#Lucentio_Shr,5.02.0112,1,4,active
#Lucentio_Shr,5.02.0117,1,10,active
#Lucentio_Shr,5.02.0118,5,42,active
#Lucentio_Shr,5.02.0119,1,11,active
#Merchant_Shr,4.02.0077,15,111,active
#Merchant_Shr,4.04.0084,5,29,active
#Merchant_Shr,4.04.0085,2,11,active
#Merchant_Shr,4.04.0086,15,115,active
#Merchant_Shr,5.01.0097,15,79,active
#Merchant_Shr,5.01.0099,2,5,active
#Merchant_Shr,5.01.0101,3,23,active
#Merchant_Shr,5.01.0102,1,4,active
#Messenger_Shr,0.02.0019,9,61,active
#PLAYERS.0.1_Shr,0.01.0011,1,8,active
#PLAYERS.0.1_Shr,0.01.0012,2,16,active
#PLAYERS.0.2_Shr,0.01.0012,1,8,active
#PLAYERS_Shr,0.01.0010,1,4,active
#Page_Shr,0.02.0018,13,102,active
#Page_Shr,0.02.0020,2,15,active
#Page_Shr,1.01.0030,1,5,active
#Petruchio_Shr,1.02.0031,13,93,active
#Petruchio_Shr,1.02.0032,37,293,active
#Petruchio_Shr,1.02.0033,20,154,active
#Petruchio_Shr,1.02.0034,9,74,active
#Petruchio_Shr,2.01.0039,23,168,active
#Petruchio_Shr,2.01.0041,22,180,active
#Petruchio_Shr,2.01.0042,4,37,active
#Petruchio_Shr,2.01.0043,13,111,active
#Petruchio_Shr,2.01.0044,69,539,active
#Petruchio_Shr,2.01.0045,33,269,active
#Petruchio_Shr,3.02.0055,25,192,active
#Petruchio_Shr,3.02.0059,39,293,active
#Petruchio_Shr,4.01.0064,12,84,active
#Petruchio_Shr,4.01.0065,4,20,active
#Petruchio_Shr,4.01.0066,9,58,active
#Petruchio_Shr,4.01.0067,11,77,active
#Petruchio_Shr,4.01.0068,8,63,active
#Petruchio_Shr,4.01.0069,9,69,active
#Petruchio_Shr,4.01.0072,24,204,active
#Petruchio_Shr,4.03.0079,22,172,active
#Petruchio_Shr,4.03.0080,2,11,active
#Petruchio_Shr,4.03.0081,11,86,active
#Petruchio_Shr,4.03.0082,31,231,active
#Petruchio_Shr,4.03.0083,26,209,active
#Petruchio_Shr,4.05.0090,15,105,active
#Petruchio_Shr,4.05.0091,30,221,active
#Petruchio_Shr,5.01.0096,3,24,active
#Petruchio_Shr,5.01.0097,8,58,active
#Petruchio_Shr,5.01.0100,2,12,active
#Petruchio_Shr,5.01.0108,6,38,active
#Petruchio_Shr,5.02.0109,13,97,active
#Petruchio_Shr,5.02.0110,16,122,active
#Petruchio_Shr,5.02.0112,3,14,active
#Petruchio_Shr,5.02.0113,2,10,active
#Petruchio_Shr,5.02.0114,4,27,active
#Petruchio_Shr,5.02.0115,2,9,active
#Petruchio_Shr,5.02.0116,4,32,active
#Petruchio_Shr,5.02.0117,6,45,active
#Petruchio_Shr,5.02.0118,16,108,active
#SERVANTS.BAPTISTA.1_Shr,3.01.0050,3,23,active
#SERVANTS.LORD.0.1_Shr,0.01.0009,2,12,active
#SERVANTS.LORD.0.1_Shr,0.02.0015,1,10,active
#SERVANTS.LORD.0.1_Shr,0.02.0017,14,110,active
#SERVANTS.LORD.0.1_Shr,1.01.0028,1,10,active
#SERVANTS.LORD.0.2_Shr,0.02.0016,1,9,active
#SERVANTS.LORD.0.2_Shr,0.02.0017,11,94,active
#SERVANTS.LORD.0.3_Shr,0.02.0017,12,99,active
#SERVANTS.LORD_Shr,0.02.0017,1,1,active
#SERVANTS.PETRUCHIO.0.4_Shr,4.01.0068,1,1,active
#SERVANTS.PETRUCHIO.Joseph_Shr,4.01.0063,1,2,active
#SERVANTS.PETRUCHIO.Joseph_Shr,4.01.0064,1,5,active
#SERVANTS.PETRUCHIO.Nathaniel_Shr,4.01.0063,4,16,active
#SERVANTS.PETRUCHIO.Nathaniel_Shr,4.01.0064,1,5,active
#SERVANTS.PETRUCHIO.Nathaniel_Shr,4.01.0070,1,6,active
#SERVANTS.PETRUCHIO.Nicholas_Shr,4.01.0063,1,2,active
#SERVANTS.PETRUCHIO.Nicholas_Shr,4.01.0064,1,5,active
#SERVANTS.PETRUCHIO.Peter_Shr,4.01.0064,1,5,active
#SERVANTS.PETRUCHIO.Peter_Shr,4.01.0068,1,1,active
#SERVANTS.PETRUCHIO.Peter_Shr,4.01.0070,1,7,active
#SERVANTS.PETRUCHIO.Phillip_Shr,4.01.0063,1,3,active
#SERVANTS.PETRUCHIO.Phillip_Shr,4.01.0064,1,5,active
#Sly_Shr,0.01.0001,7,47,active
#Sly_Shr,0.01.0002,3,22,active
#Sly_Shr,0.02.0014,1,8,active
#Sly_Shr,0.02.0017,30,262,active
#Sly_Shr,0.02.0018,14,113,active
#Sly_Shr,0.02.0019,1,7,active
#Sly_Shr,0.02.0020,6,35,active
#Sly_Shr,1.01.0029,2,16,active
#Sly_Shr,1.01.0030,2,12,active
#Tailor_Shr,4.03.0082,17,111,active
#Tranio_Shr,1.01.0021,16,113,active
#Tranio_Shr,1.01.0022,4,31,active
#Tranio_Shr,1.01.0026,38,282,active
#Tranio_Shr,1.01.0027,9,56,active
#Tranio_Shr,1.02.0034,34,270,active
#Tranio_Shr,2.01.0039,15,111,active
#Tranio_Shr,2.01.0045,3,16,active
#Tranio_Shr,2.01.0046,23,174,active
#Tranio_Shr,2.01.0048,8,69,active
#Tranio_Shr,3.02.0052,5,37,active
#Tranio_Shr,3.02.0054,3,22,active
#Tranio_Shr,3.02.0055,7,49,active
#Tranio_Shr,3.02.0056,3,24,active
#Tranio_Shr,3.02.0057,16,111,active
#Tranio_Shr,3.02.0058,5,38,active
#Tranio_Shr,3.02.0059,1,8,active
#Tranio_Shr,3.02.0060,2,16,active
#Tranio_Shr,4.02.0073,3,24,active
#Tranio_Shr,4.02.0074,10,75,active
#Tranio_Shr,4.02.0075,12,84,active
#Tranio_Shr,4.02.0076,6,41,active
#Tranio_Shr,4.02.0077,35,274,active
#Tranio_Shr,4.04.0084,3,28,active
#Tranio_Shr,4.04.0085,5,37,active
#Tranio_Shr,4.04.0086,15,119,active
#Tranio_Shr,4.04.0087,4,33,active
#Tranio_Shr,5.01.0101,9,59,active
#Tranio_Shr,5.01.0102,4,27,active
#Tranio_Shr,5.02.0110,4,34,active
#Vincentio_Shr,4.05.0091,9,67,active
#Vincentio_Shr,5.01.0096,3,25,active
#Vincentio_Shr,5.01.0097,4,24,active
#Vincentio_Shr,5.01.0098,6,28,active
#Vincentio_Shr,5.01.0101,15,121,active
#Vincentio_Shr,5.01.0102,3,15,active
#Vincentio_Shr,5.01.0104,7,51,active
#Vincentio_Shr,5.02.0109,1,7,active
#Vincentio_Shr,5.02.0118,1,8,active
#Widow_Shr,5.02.0109,7,46,active
#Widow_Shr,5.02.0118,5,30,active
0.01.0001,#Hostess_Shr,7,47,passive
0.01.0001,#Sly_Shr,5,26,passive
0.01.0003,#HUNTSMEN_Shr,6,48,passive
0.01.0003,#SERVANTS.LORD_Shr,6,48,passive
0.01.0003,#Sly_Shr,6,48,passive
0.01.0004,#HUNTSMEN.0.1_Shr,4,32,passive
0.01.0004,#HUNTSMEN_Shr,9,70,passive
0.01.0004,#Lord_Shr,5,38,passive
0.01.0004,#SERVANTS.LORD_Shr,9,70,passive
0.01.0004,#Sly_Shr,9,70,passive
0.01.0005,#HUNTSMEN_Shr,2,10,passive
0.01.0005,#SERVANTS.LORD_Shr,2,10,passive
0.01.0005,#Sly_Shr,2,10,passive
0.01.0006,#HUNTSMEN.0.2_Shr,9,66,passive
0.01.0006,#HUNTSMEN_Shr,11,86,passive
0.01.0006,#Lord_Shr,2,20,passive
0.01.0006,#SERVANTS.LORD_Shr,11,86,passive
0.01.0006,#Sly_Shr,11,86,passive
0.01.0007,#HUNTSMEN.0.2_Shr,32,251,passive
0.01.0007,#HUNTSMEN.0.3_Shr,29,224,passive
0.01.0007,#HUNTSMEN_Shr,33,260,passive
0.01.0007,#Lord_Shr,5,45,passive
0.01.0007,#SERVANTS.LORD_Shr,33,260,passive
0.01.0007,#Sly_Shr,33,260,passive
0.01.0008,#HUNTSMEN.0.2_Shr,3,21,passive
0.01.0008,#HUNTSMEN.0.3_Shr,3,21,passive
0.01.0008,#SERVANTS.LORD_Shr,3,21,passive
0.01.0009,#HUNTSMEN.0.2_Shr,4,21,passive
0.01.0009,#HUNTSMEN.0.3_Shr,4,21,passive
0.01.0009,#Lord_Shr,2,12,passive
0.01.0009,#SERVANTS.LORD.0.1_Shr,2,9,passive
0.01.0009,#SERVANTS.LORD_Shr,4,21,passive
0.01.0010,#HUNTSMEN.0.2_Shr,3,17,passive
0.01.0010,#HUNTSMEN.0.3_Shr,3,17,passive
0.01.0010,#Lord_Shr,1,4,passive
0.01.0010,#PLAYERS_Shr,2,13,passive
