node1,node2,count
#Adrian_Tmp,#Ariel_Tmp,3
#Adrian_Tmp,#Caliban_Tmp,1
#Adrian_Tmp,#Francisco_Tmp,3
#Adrian_Tmp,#Miranda_Tmp,1
#Adrian_Tmp,#Prospero_Tmp,2
#Adrian_Tmp,#SPIRITS_Tmp,1
#Adrian_Tmp,#Stephano_Tmp,1
#Adrian_Tmp,#Trinculo_Tmp,1
#Alonso_Tmp,#Adrian_Tmp,3
#Alonso_Tmp,#Antonio_Tmp,4
#Alonso_Tmp,#Ariel_Tmp,3
#Alonso_Tmp,#Boatswain_Tmp,2
#Alonso_Tmp,#Caliban_Tmp,1
#Alonso_Tmp,#Ferdinand_Tmp,2
#Alonso_Tmp,#Francisco_Tmp,3
#Alonso_Tmp,#Gonzalo_Tmp,4
#Alonso_Tmp,#Miranda_Tmp,1
#Alonso_Tmp,#Prospero_Tmp,2
#Alonso_Tmp,#SAILORS_Tmp,1
#Alonso_Tmp,#SPIRITS_Tmp,1
#Alonso_Tmp,#Sebastian_Tmp,4
#Alonso_Tmp,#Shipmaster_Tmp,2
#Alonso_Tmp,#Stephano_Tmp,1
#Alonso_Tmp,#Trinculo_Tmp,1
#Antonio_Tmp,#Adrian_Tmp,3
#Antonio_Tmp,#Ariel_Tmp,3
#Antonio_Tmp,#Boatswain_Tmp,2
#Antonio_Tmp,#Caliban_Tmp,1
#Antonio_Tmp,#Ferdinand_Tmp,2
#Antonio_Tmp,#Francisco_Tmp,3
#Antonio_Tmp,#Gonzalo_Tmp,4
#Antonio_Tmp,#Miranda_Tmp,1
#Antonio_Tmp,#Prospero_Tmp,2
#Antonio_Tmp,#SAILORS_Tmp,1
#Antonio_Tmp,#SPIRITS_Tmp,1
#Antonio_Tmp,#Sebastian_Tmp,4
#Antonio_Tmp,#Shipmaster_Tmp,2
#Antonio_Tmp,#Stephano_Tmp,1
#Antonio_Tmp,#Trinculo_Tmp,1
#Ariel_Tmp,#Caliban_Tmp,4
#Ariel_Tmp,#Francisco_Tmp,3
#Ariel_Tmp,#Miranda_Tmp,3
#Ariel_Tmp,#Prospero_Tmp,4
#Ariel_Tmp,#SPIRITS.Ceres_Tmp,1
#Ariel_Tmp,#SPIRITS.Iris_Tmp,1
#Ariel_Tmp,#SPIRITS.Juno_Tmp,1
#Ariel_Tmp,#SPIRITS.NYMPHS_Tmp,1
#Ariel_Tmp,#SPIRITS.REAPERS_Tmp,1
#Ariel_Tmp,#SPIRITS_Tmp,2
#Ariel_Tmp,#Stephano_Tmp,3
#Ariel_Tmp,#Trinculo_Tmp,3
#Boatswain_Tmp,#Adrian_Tmp,1
#Boatswain_Tmp,#Ariel_Tmp,1
#Boatswain_Tmp,#Caliban_Tmp,1
#Boatswain_Tmp,#Ferdinand_Tmp,2
#Boatswain_Tmp,#Francisco_Tmp,1
#Boatswain_Tmp,#Gonzalo_Tmp,2
#Boatswain_Tmp,#Miranda_Tmp,1
#Boatswain_Tmp,#Prospero_Tmp,1
#Boatswain_Tmp,#SAILORS_Tmp,1
#Boatswain_Tmp,#Sebastian_Tmp,2
#Boatswain_Tmp,#Shipmaster_Tmp,2
#Boatswain_Tmp,#Stephano_Tmp,1
#Boatswain_Tmp,#Trinculo_Tmp,1
#Caliban_Tmp,#Miranda_Tmp,3
#Caliban_Tmp,#SPIRITS.Ceres_Tmp,1
#Caliban_Tmp,#SPIRITS.Iris_Tmp,1
#Caliban_Tmp,#SPIRITS.Juno_Tmp,1
#Caliban_Tmp,#SPIRITS.NYMPHS_Tmp,1
#Caliban_Tmp,#SPIRITS.REAPERS_Tmp,1
#Caliban_Tmp,#Stephano_Tmp,4
#Caliban_Tmp,#Trinculo_Tmp,4
#Ferdinand_Tmp,#Adrian_Tmp,1
#Ferdinand_Tmp,#Ariel_Tmp,3
#Ferdinand_Tmp,#Caliban_Tmp,3
#Ferdinand_Tmp,#Francisco_Tmp,1
#Ferdinand_Tmp,#Gonzalo_Tmp,2
#Ferdinand_Tmp,#Miranda_Tmp,4
#Ferdinand_Tmp,#Prospero_Tmp,4
#Ferdinand_Tmp,#SAILORS_Tmp,1
#Ferdinand_Tmp,#SPIRITS.Ceres_Tmp,1
#Ferdinand_Tmp,#SPIRITS.Iris_Tmp,1
#Ferdinand_Tmp,#SPIRITS.Juno_Tmp,1
#Ferdinand_Tmp,#SPIRITS.NYMPHS_Tmp,1
#Ferdinand_Tmp,#SPIRITS.REAPERS_Tmp,1
#Ferdinand_Tmp,#SPIRITS_Tmp,1
#Ferdinand_Tmp,#Sebastian_Tmp,2
#Ferdinand_Tmp,#Shipmaster_Tmp,2
#Ferdinand_Tmp,#Stephano_Tmp,2
#Ferdinand_Tmp,#Trinculo_Tmp,2
#Francisco_Tmp,#Caliban_Tmp,1
#Francisco_Tmp,#Miranda_Tmp,1
#Francisco_Tmp,#Prospero_Tmp,2
#Francisco_Tmp,#SPIRITS_Tmp,1
#Francisco_Tmp,#Stephano_Tmp,1
#Francisco_Tmp,#Trinculo_Tmp,1
#Gonzalo_Tmp,#Adrian_Tmp,3
#Gonzalo_Tmp,#Ariel_Tmp,3
#Gonzalo_Tmp,#Caliban_Tmp,1
#Gonzalo_Tmp,#Francisco_Tmp,3
#Gonzalo_Tmp,#Miranda_Tmp,1
#Gonzalo_Tmp,#Prospero_Tmp,2
#Gonzalo_Tmp,#SAILORS_Tmp,1
#Gonzalo_Tmp,#SPIRITS_Tmp,1
#Gonzalo_Tmp,#Sebastian_Tmp,4
#Gonzalo_Tmp,#Shipmaster_Tmp,2
#Gonzalo_Tmp,#Stephano_Tmp,1
#Gonzalo_Tmp,#Trinculo_Tmp,1
#Miranda_Tmp,#SPIRITS.Ceres_Tmp,1
#Miranda_Tmp,#SPIRITS.Iris_Tmp,1
#Miranda_Tmp,#SPIRITS.Juno_Tmp,1
#Miranda_Tmp,#SPIRITS.NYMPHS_Tmp,1
#Miranda_Tmp,#SPIRITS.REAPERS_Tmp,1
#Miranda_Tmp,#Stephano_Tmp,2
#Miranda_Tmp,#Trinculo_Tmp,2
#Prospero_Tmp,#Caliban_Tmp,3
#Prospero_Tmp,#Miranda_Tmp,4
#Prospero_Tmp,#SPIRITS.Ceres_Tmp,1
#Prospero_Tmp,#SPIRITS.Iris_Tmp,1
#Prospero_Tmp,#SPIRITS.Juno_Tmp,1
#Prospero_Tmp,#SPIRITS.NYMPHS_Tmp,1
#Prospero_Tmp,#SPIRITS.REAPERS_Tmp,1
#Prospero_Tmp,#SPIRITS_Tmp,2
#Prospero_Tmp,#Stephano_Tmp,2
#Prospero_Tmp,#Trinculo_Tmp,2
#SAILORS_Tmp,#Sebastian_Tmp,1
#SAILORS_Tmp,#Shipmaster_Tmp,1
#SPIRITS.Ceres_Tmp,#SPIRITS.Iris_Tmp,1
#SPIRITS.Ceres_Tmp,#SPIRITS.Juno_Tmp,1
#SPIRITS.Ceres_Tmp,#SPIRITS.NYMPHS_Tmp,1
#SPIRITS.Ceres_Tmp,#SPIRITS.REAPERS_Tmp,1
#SPIRITS.Iris_Tmp,#SPIRITS.Juno_Tmp,1
#SPIRITS.Iris_Tmp,#SPIRITS.NYMPHS_Tmp,1
#SPIRITS.Iris_Tmp,#SPIRITS.REAPERS_Tmp,1
#SPIRITS.Juno_Tmp,#SPIRITS.NYMPHS_Tmp,1
#SPIRITS.Juno_Tmp,#SPIRITS.REAPERS_Tmp,1
#SPIRITS.NYMPHS_Tmp,#SPIRITS.REAPERS_Tmp,1
#SPIRITS_Tmp,#Caliban_Tmp,1
#SPIRITS_Tmp,#Miranda_Tmp,1
#SPIRITS_Tmp,#SPIRITS.Ceres_Tmp,1
#SPIRITS_Tmp,#SPIRITS.Iris_Tmp,1
#SPIRITS_Tmp,#SPIRITS.Juno_Tmp,1
#SPIRITS_Tmp,#SPIRITS.NYMPHS_Tmp,1
#SPIRITS_Tmp,#SPIRITS.REAPERS_Tmp,1
#SPIRITS_Tmp,#Stephano_Tmp,1
#SPIRITS_Tmp,#Trinculo_Tmp,1
#Sebastian_Tmp,#Adrian_Tmp,3
#Sebastian_Tmp,#Ariel_Tmp,3
#Sebastian_Tmp,#Caliban_Tmp,1
#Sebastian_Tmp,#Francisco_Tmp,3
