act,scene,n_tokens,n_lines,onstage
1,1,473,67,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp #Shipmaster_Tmp
1,2,4106,613,#Ariel_Tmp #Caliban_Tmp #Ferdinand_Tmp #Miranda_Tmp #Prospero_Tmp
2,1,2398,377,#Adrian_Tmp #Alonso_Tmp #Antonio_Tmp #Ariel_Tmp #Francisco_Tmp #Gonzalo_Tmp #Sebastian_Tmp
2,2,1527,194,#Caliban_Tmp #Stephano_Tmp #Trinculo_Tmp
3,1,810,115,#Ferdinand_Tmp #Miranda_Tmp #Prospero_Tmp
3,2,1137,166,#Ariel_Tmp #Caliban_Tmp #Stephano_Tmp #Trinculo_Tmp
3,3,909,133,#Adrian_Tmp #Alonso_Tmp #Antonio_Tmp #Ariel_Tmp #Francisco_Tmp #Gonzalo_Tmp #Prospero_Tmp #SPIRITS_Tmp #Sebastian_Tmp
4,1,2001,295,#Ariel_Tmp #Caliban_Tmp #Ferdinand_Tmp #Miranda_Tmp #Prospero_Tmp #SPIRITS.Ceres_Tmp #SPIRITS.Iris_Tmp #SPIRITS.Juno_Tmp #SPIRITS.NYMPHS_Tmp #SPIRITS.REAPERS_Tmp #SPIRITS_Tmp #Stephano_Tmp #Trinculo_Tmp
5,1,2581,380,#Adrian_Tmp #Alonso_Tmp #Antonio_Tmp #Ariel_Tmp #Boatswain_Tmp #Caliban_Tmp #Ferdinand_Tmp #Francisco_Tmp #Gonzalo_Tmp #Miranda_Tmp #Prospero_Tmp #Sebastian_Tmp #Shipmaster_Tmp #Stephano_Tmp #Trinculo_Tmp
6,0,128,20,#Prospero_Tmp
