act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Alonso_Tmp,10,2,193,26
1,1,#Antonio_Tmp,50,8,363,51
1,1,#Boatswain_Tmp,216,29,357,53
1,1,#Gonzalo_Tmp,152,20,396,55
1,1,#SAILORS_Tmp,8,1,341,48
1,1,#Sebastian_Tmp,20,4,363,51
1,1,#Shipmaster_Tmp,17,3,21,4
1,2,#Ariel_Tmp,558,92,1994,304
1,2,#Caliban_Tmp,234,32,511,75
1,2,#Ferdinand_Tmp,334,45,1020,162
1,2,#Miranda_Tmp,626,104,4106,613
1,2,#Prospero_Tmp,2354,340,4106,613
2,1,#Adrian_Tmp,60,12,2398,377
2,1,#Alonso_Tmp,155,25,2398,377
2,1,#Antonio_Tmp,849,128,2398,377
2,1,#Ariel_Tmp,71,11,354,54
2,1,#Francisco_Tmp,76,10,2398,377
2,1,#Gonzalo_Tmp,619,92,2398,377
2,1,#Sebastian_Tmp,568,99,2398,377
2,2,#Caliban_Tmp,416,56,1527,194
2,2,#Stephano_Tmp,657,84,1144,152
2,2,#Trinculo_Tmp,454,54,1383,177
3,1,#Ferdinand_Tmp,423,60,775,110
3,1,#Miranda_Tmp,327,45,654,94
3,1,#Prospero_Tmp,60,10,689,99
3,2,#Ariel_Tmp,15,4,809,121
3,2,#Caliban_Tmp,485,64,1137,166
3,2,#Stephano_Tmp,422,66,1137,166
3,2,#Trinculo_Tmp,215,32,1137,166
3,3,#Adrian_Tmp,4,1,909,133
3,3,#Alonso_Tmp,196,27,842,123
3,3,#Antonio_Tmp,79,12,857,126
3,3,#Ariel_Tmp,240,32,240,32
3,3,#Francisco_Tmp,3,1,909,133
3,3,#Gonzalo_Tmp,207,31,909,133
3,3,#Prospero_Tmp,107,16,616,91
3,3,#Sebastian_Tmp,73,13,857,126
4,1,#Ariel_Tmp,200,31,872,127
4,1,#Caliban_Tmp,160,21,470,67
4,1,#Ferdinand_Tmp,136,23,1213,181
4,1,#Miranda_Tmp,16,3,1213,181
4,1,#Prospero_Tmp,705,100,2001,295
4,1,#SPIRITS.Ceres_Tmp,155,24,473,75
4,1,#SPIRITS.Iris_Tmp,297,44,595,92
4,1,#SPIRITS.Juno_Tmp,41,7,277,45
4,1,#Stephano_Tmp,190,25,470,67
4,1,#Trinculo_Tmp,105,18,470,67
5,1,#Alonso_Tmp,388,61,2106,314
5,1,#Antonio_Tmp,13,2,2106,314
5,1,#Ariel_Tmp,193,32,1428,205
5,1,#Boatswain_Tmp,137,19,842,121
5,1,#Caliban_Tmp,56,7,354,48
5,1,#Ferdinand_Tmp,89,13,1208,181
5,1,#Gonzalo_Tmp,179,27,2106,314
5,1,#Miranda_Tmp,45,7,1208,181
5,1,#Prospero_Tmp,1358,193,2581,380
5,1,#Sebastian_Tmp,38,8,2106,314
5,1,#Stephano_Tmp,43,6,354,48
5,1,#Trinculo_Tmp,42,5,354,48
6,0,#Prospero_Tmp,128,20,128,20
1,1,#Ferdinand_Tmp,0,0,193,26
3,3,#SPIRITS_Tmp,0,0,164,26
4,1,#SPIRITS.NYMPHS_Tmp,0,0,60,9
4,1,#SPIRITS.REAPERS_Tmp,0,0,29,4
4,1,#SPIRITS_Tmp,0,0,15,3
5,1,#Adrian_Tmp,0,0,2106,314
5,1,#Francisco_Tmp,0,0,2106,314
5,1,#Shipmaster_Tmp,0,0,842,121
