node,node_type
#Adrian_Tmp,character
#Alonso_Tmp,character
#Antonio_Tmp,character
#Ariel_Tmp,character
#Boatswain_Tmp,character
#Caliban_Tmp,character
#Ferdinand_Tmp,character
#Francisco_Tmp,character
#Gonzalo_Tmp,character
#Miranda_Tmp,character
#Prospero_Tmp,character
#SAILORS_Tmp,character
#SPIRITS.Ceres_Tmp,character
#SPIRITS.Iris_Tmp,character
#SPIRITS.Juno_Tmp,character
#SPIRITS.NYMPHS_Tmp,character
#SPIRITS.REAPERS_Tmp,character
#SPIRITS_Tmp,character
#Sebastian_Tmp,character
#Shipmaster_Tmp,character
#Stephano_Tmp,character
#Trinculo_Tmp,character
1.01,text_unit
1.02,text_unit
2.01,text_unit
2.02,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
4.01,text_unit
5.01,text_unit
6.00,text_unit
