source,target,key,n_lines,n_tokens,edge_index,edge_type
#Shipmaster_Tmp,1.01.0001,0,1,1,1,active
1.01.0001,#Boatswain_Tmp,0,1,1,1,passive
#Boatswain_Tmp,1.01.0001,0,1,4,2,active
1.01.0001,#Shipmaster_Tmp,0,1,4,2,passive
#Shipmaster_Tmp,1.01.0001,1,2,16,3,active
1.01.0001,#Boatswain_Tmp,1,2,16,3,passive
#Boatswain_Tmp,1.01.0002,0,4,27,4,active
1.01.0002,#SAILORS_Tmp,0,4,27,4,passive
#Alonso_Tmp,1.01.0003,0,2,10,5,active
1.01.0003,#Antonio_Tmp,0,2,10,5,passive
1.01.0003,#Boatswain_Tmp,0,2,10,5,passive
1.01.0003,#Ferdinand_Tmp,0,2,10,5,passive
1.01.0003,#Gonzalo_Tmp,0,2,10,5,passive
1.01.0003,#SAILORS_Tmp,0,2,10,5,passive
1.01.0003,#Sebastian_Tmp,0,2,10,5,passive
#Boatswain_Tmp,1.01.0003,0,1,5,6,active
1.01.0003,#Alonso_Tmp,0,1,5,6,passive
1.01.0003,#Antonio_Tmp,1,1,5,6,passive
1.01.0003,#Ferdinand_Tmp,1,1,5,6,passive
1.01.0003,#Gonzalo_Tmp,1,1,5,6,passive
1.01.0003,#SAILORS_Tmp,1,1,5,6,passive
1.01.0003,#Sebastian_Tmp,1,1,5,6,passive
#Antonio_Tmp,1.01.0003,0,1,5,7,active
1.01.0003,#Alonso_Tmp,1,1,5,7,passive
1.01.0003,#Boatswain_Tmp,1,1,5,7,passive
1.01.0003,#Ferdinand_Tmp,2,1,5,7,passive
1.01.0003,#Gonzalo_Tmp,2,1,5,7,passive
1.01.0003,#SAILORS_Tmp,2,1,5,7,passive
1.01.0003,#Sebastian_Tmp,2,1,5,7,passive
#Boatswain_Tmp,1.01.0003,1,2,17,8,active
1.01.0003,#Alonso_Tmp,2,2,17,8,passive
1.01.0003,#Antonio_Tmp,2,2,17,8,passive
1.01.0003,#Ferdinand_Tmp,3,2,17,8,passive
1.01.0003,#Gonzalo_Tmp,3,2,17,8,passive
1.01.0003,#SAILORS_Tmp,3,2,17,8,passive
1.01.0003,#Sebastian_Tmp,3,2,17,8,passive
#Gonzalo_Tmp,1.01.0003,0,1,4,9,active
1.01.0003,#Alonso_Tmp,3,1,4,9,passive
1.01.0003,#Antonio_Tmp,3,1,4,9,passive
1.01.0003,#Boatswain_Tmp,2,1,4,9,passive
1.01.0003,#Ferdinand_Tmp,4,1,4,9,passive
1.01.0003,#SAILORS_Tmp,4,1,4,9,passive
