node1,node2,count
#Antonio_TGV,#Pantino_TGV,1
#Duke_TGV,#Lance_TGV,1
#Duke_TGV,#OUTLAWS.1_TGV,1
#Duke_TGV,#OUTLAWS.2_TGV,1
#Duke_TGV,#OUTLAWS.3_TGV,1
#Duke_TGV,#SERVANTS.1_TGV,1
#Duke_TGV,#Sylvia_TGV,2
#Duke_TGV,#Thurio_TGV,5
#Host_TGV,#MUSICIANS_TGV,1
#Julia_TGV,#Crab_TGV,1
#Julia_TGV,#Duke_TGV,2
#Julia_TGV,#Host_TGV,1
#Julia_TGV,#Lance_TGV,1
#Julia_TGV,#Lucetta_TGV,2
#Julia_TGV,#MUSICIANS_TGV,1
#Julia_TGV,#OUTLAWS.1_TGV,1
#Julia_TGV,#OUTLAWS.2_TGV,1
#Julia_TGV,#OUTLAWS.3_TGV,1
#Julia_TGV,#Sylvia_TGV,3
#Julia_TGV,#Thurio_TGV,3
#Lance_TGV,#Crab_TGV,3
#OUTLAWS.1_TGV,#OUTLAWS.2_TGV,3
#OUTLAWS.1_TGV,#OUTLAWS.3_TGV,3
#OUTLAWS.2_TGV,#OUTLAWS.3_TGV,3
#Pantino_TGV,#Crab_TGV,1
#Pantino_TGV,#Julia_TGV,1
#Pantino_TGV,#Lance_TGV,1
#Proteus_TGV,#Antonio_TGV,1
#Proteus_TGV,#Crab_TGV,1
#Proteus_TGV,#Duke_TGV,5
#Proteus_TGV,#Host_TGV,1
#Proteus_TGV,#Julia_TGV,5
#Proteus_TGV,#Lance_TGV,2
#Proteus_TGV,#MUSICIANS_TGV,1
#Proteus_TGV,#OUTLAWS.1_TGV,1
#Proteus_TGV,#OUTLAWS.2_TGV,1
#Proteus_TGV,#OUTLAWS.3_TGV,1
#Proteus_TGV,#Pantino_TGV,2
#Proteus_TGV,#SERVANTS.1_TGV,1
#Proteus_TGV,#Speed_TGV,3
#Proteus_TGV,#Sylvia_TGV,4
#Proteus_TGV,#Thurio_TGV,6
#Proteus_TGV,#Valentine_TGV,4
#SERVANTS.1_TGV,#Sylvia_TGV,1
#SERVANTS.1_TGV,#Thurio_TGV,1
#Speed_TGV,#Crab_TGV,1
#Speed_TGV,#Duke_TGV,2
#Speed_TGV,#Lance_TGV,2
#Speed_TGV,#OUTLAWS.1_TGV,1
#Speed_TGV,#OUTLAWS.2_TGV,1
#Speed_TGV,#OUTLAWS.3_TGV,1
#Speed_TGV,#SERVANTS.1_TGV,1
#Speed_TGV,#Sylvia_TGV,2
#Speed_TGV,#Thurio_TGV,2
#Speed_TGV,#Valentine_TGV,5
#Sylvia_TGV,#Crab_TGV,1
#Sylvia_TGV,#Eglamour_TGV,2
#Sylvia_TGV,#Host_TGV,1
#Sylvia_TGV,#Lance_TGV,1
#Sylvia_TGV,#MUSICIANS_TGV,1
#Sylvia_TGV,#OUTLAWS.1_TGV,2
#Sylvia_TGV,#OUTLAWS.2_TGV,2
#Sylvia_TGV,#OUTLAWS.3_TGV,2
#Sylvia_TGV,#Thurio_TGV,3
#Thurio_TGV,#Host_TGV,1
#Thurio_TGV,#Lance_TGV,1
#Thurio_TGV,#MUSICIANS_TGV,1
#Thurio_TGV,#OUTLAWS.1_TGV,1
#Thurio_TGV,#OUTLAWS.2_TGV,1
#Thurio_TGV,#OUTLAWS.3_TGV,1
#Valentine_TGV,#Duke_TGV,3
#Valentine_TGV,#Julia_TGV,1
#Valentine_TGV,#Lance_TGV,1
#Valentine_TGV,#OUTLAWS.1_TGV,2
#Valentine_TGV,#OUTLAWS.2_TGV,2
#Valentine_TGV,#OUTLAWS.3_TGV,2
#Valentine_TGV,#SERVANTS.1_TGV,1
#Valentine_TGV,#Sylvia_TGV,3
#Valentine_TGV,#Thurio_TGV,3
