act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Proteus_TGV,442,64,1136,155
1,1,#Speed_TGV,357,47,573,81
1,1,#Valentine_TGV,337,44,484,64
1,2,#Julia_TGV,685,91,1092,146
1,2,#Lucetta_TGV,407,55,754,103
1,3,#Antonio_TGV,262,35,572,78
1,3,#Pantino_TGV,201,28,604,82
1,3,#Proteus_TGV,224,29,371,48
2,1,#Speed_TGV,720,97,1238,180
2,1,#Sylvia_TGV,141,19,286,42
2,1,#Valentine_TGV,377,64,1238,180
2,2,#Julia_TGV,30,4,116,16
2,2,#Pantino_TGV,6,1,18,3
2,2,#Proteus_TGV,122,17,158,22
2,3,#Lance_TGV,433,46,537,62
2,3,#Pantino_TGV,104,16,196,28
2,4,#Duke_TGV,130,18,293,39
2,4,#Proteus_TGV,366,50,910,126
2,4,#SERVANTS.1_TGV,9,1,14,2
2,4,#Speed_TGV,14,3,1371,202
2,4,#Sylvia_TGV,158,25,825,124
2,4,#Thurio_TGV,80,13,825,124
2,4,#Valentine_TGV,802,115,1371,202
2,5,#Lance_TGV,236,32,376,53
2,5,#Speed_TGV,140,21,376,53
2,6,#Proteus_TGV,326,43,326,43
2,7,#Julia_TGV,557,72,706,90
2,7,#Lucetta_TGV,149,18,706,90
3,1,#Duke_TGV,819,105,1372,173
3,1,#Lance_TGV,697,87,1340,192
3,1,#Proteus_TGV,545,76,877,126
3,1,#Speed_TGV,198,37,654,96
3,1,#Valentine_TGV,597,78,1615,217
3,2,#Duke_TGV,305,41,720,98
3,2,#Proteus_TGV,308,43,642,88
3,2,#Thurio_TGV,107,14,720,98
4,1,#OUTLAWS.1_TGV,111,15,542,76
4,1,#OUTLAWS.2_TGV,95,14,542,76
4,1,#OUTLAWS.3_TGV,165,20,542,76
4,1,#Speed_TGV,27,4,525,74
4,1,#Valentine_TGV,144,23,525,74
4,2,#Host_TGV,158,25,787,121
4,2,#Julia_TGV,168,29,787,121
4,2,#Proteus_TGV,409,58,945,141
4,2,#Sylvia_TGV,215,29,377,50
4,2,#Thurio_TGV,40,7,421,71
4,3,#Eglamour_TGV,119,19,344,51
4,3,#Sylvia_TGV,225,32,319,47
4,4,#Julia_TGV,769,103,1275,176
4,4,#Lance_TGV,486,51,574,63
4,4,#Proteus_TGV,224,32,385,54
4,4,#Sylvia_TGV,200,30,530,76
5,1,#Eglamour_TGV,73,9,95,12
5,1,#Sylvia_TGV,22,3,47,6
5,2,#Duke_TGV,126,17,131,20
5,2,#Julia_TGV,80,10,406,58
5,2,#Proteus_TGV,96,15,388,56
5,2,#Thurio_TGV,104,16,372,54
5,3,#OUTLAWS.1_TGV,42,6,107,15
5,3,#OUTLAWS.2_TGV,4,1,77,11
5,3,#OUTLAWS.3_TGV,39,5,77,11
5,3,#Sylvia_TGV,22,3,107,15
5,4,#Duke_TGV,149,20,417,55
5,4,#Julia_TGV,141,20,1213,168
5,4,#OUTLAWS.1_TGV,6,1,417,55
5,4,#OUTLAWS.2_TGV,6,1,417,55
5,4,#OUTLAWS.3_TGV,6,1,417,55
5,4,#Proteus_TGV,288,42,1213,168
5,4,#Sylvia_TGV,155,21,1213,168
5,4,#Thurio_TGV,41,5,417,55
5,4,#Valentine_TGV,564,77,1344,186
2,3,#Crab_TGV,0,0,537,62
2,5,#Crab_TGV,0,0,376,53
3,1,#Thurio_TGV,0,0,15,2
4,2,#MUSICIANS_TGV,0,0,421,71
4,4,#Crab_TGV,0,0,574,63
