act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,73,10
1,1,1,2,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,58,8
1,1,1,3,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,8,1
1,1,1,4,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,9,1
1,1,1,5,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,14,2
1,1,1,6,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,17,2
1,1,1,7,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,16,2
1,1,1,8,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,9,1
1,1,1,9,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,9,1
1,1,1,10,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,1,1
1,1,1,11,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,55,8
1,1,1,12,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,8,1
1,1,1,13,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,8,1
1,1,1,14,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,9,1
1,1,1,15,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,24,3
1,1,1,16,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,22,3
1,1,1,17,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,79,10
1,1,1,18,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,7,1
1,1,1,19,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,42,5
1,1,1,20,#Proteus_TGV,#Proteus_TGV #Valentine_TGV,7,1
1,1,1,21,#Valentine_TGV,#Proteus_TGV #Valentine_TGV,9,1
1,1,2,22,#Proteus_TGV,#Proteus_TGV,56,7
1,1,3,23,#Speed_TGV,#Proteus_TGV #Speed_TGV,8,1
1,1,3,24,#Proteus_TGV,#Proteus_TGV #Speed_TGV,9,1
1,1,3,25,#Speed_TGV,#Proteus_TGV #Speed_TGV,17,2
1,1,3,26,#Proteus_TGV,#Proteus_TGV #Speed_TGV,14,2
1,1,3,27,#Speed_TGV,#Proteus_TGV #Speed_TGV,13,2
1,1,3,28,#Proteus_TGV,#Proteus_TGV #Speed_TGV,2,1
1,1,3,29,#Speed_TGV,#Proteus_TGV #Speed_TGV,12,2
1,1,3,30,#Proteus_TGV,#Proteus_TGV #Speed_TGV,8,1
1,1,3,31,#Speed_TGV,#Proteus_TGV #Speed_TGV,6,1
1,1,3,32,#Proteus_TGV,#Proteus_TGV #Speed_TGV,6,1
1,1,3,33,#Speed_TGV,#Proteus_TGV #Speed_TGV,8,1
1,1,3,34,#Proteus_TGV,#Proteus_TGV #Speed_TGV,10,1
1,1,3,35,#Speed_TGV,#Proteus_TGV #Speed_TGV,27,3
1,1,3,36,#Proteus_TGV,#Proteus_TGV #Speed_TGV,33,4
1,1,3,37,#Speed_TGV,#Proteus_TGV #Speed_TGV,8,1
