node1,node2,n_lines,n_tokens
#Proteus_TGV,1.01.0001,64,484
#Valentine_TGV,1.01.0001,64,484
#Proteus_TGV,1.01.0002,7,56
#Proteus_TGV,1.01.0003,81,573
#Speed_TGV,1.01.0003,81,573
#Proteus_TGV,1.01.0004,3,23
#Julia_TGV,1.02.0005,52,386
#Lucetta_TGV,1.02.0005,52,386
#Julia_TGV,1.02.0006,17,135
#Julia_TGV,1.02.0007,41,287
#Lucetta_TGV,1.02.0007,41,287
#Julia_TGV,1.02.0008,26,203
#Julia_TGV,1.02.0009,10,81
#Lucetta_TGV,1.02.0009,10,81
#Antonio_TGV,1.03.0010,44,316
#Pantino_TGV,1.03.0010,44,316
#Antonio_TGV,1.03.0011,34,256
#Pantino_TGV,1.03.0011,34,256
#Proteus_TGV,1.03.0011,34,256
#Proteus_TGV,1.03.0012,10,83
#Pantino_TGV,1.03.0013,4,32
#Proteus_TGV,1.03.0013,4,32
#Speed_TGV,2.01.0014,93,662
#Valentine_TGV,2.01.0014,93,662
#Speed_TGV,2.01.0015,42,286
#Sylvia_TGV,2.01.0015,42,286
#Valentine_TGV,2.01.0015,42,286
#Speed_TGV,2.01.0016,45,290
#Valentine_TGV,2.01.0016,45,290
#Julia_TGV,2.02.0017,16,116
#Proteus_TGV,2.02.0017,16,116
#Proteus_TGV,2.02.0018,3,24
#Pantino_TGV,2.02.0019,3,18
#Proteus_TGV,2.02.0019,3,18
#Crab_TGV,2.03.0020,34,341
#Lance_TGV,2.03.0020,34,341
#Crab_TGV,2.03.0021,28,196
#Lance_TGV,2.03.0021,28,196
#Pantino_TGV,2.03.0021,28,196
#Speed_TGV,2.04.0022,47,249
#Sylvia_TGV,2.04.0022,47,249
#Thurio_TGV,2.04.0022,47,249
#Valentine_TGV,2.04.0022,47,249
#Duke_TGV,2.04.0023,39,293
#Speed_TGV,2.04.0023,39,293
#Sylvia_TGV,2.04.0023,39,293
#Thurio_TGV,2.04.0023,39,293
