source,target,key,n_lines,n_tokens,edge_index,edge_type
#Valentine_TGV,1.01.0001,0,10,73,1,active
1.01.0001,#Proteus_TGV,0,10,73,1,passive
#Proteus_TGV,1.01.0001,0,8,58,2,active
1.01.0001,#Valentine_TGV,0,8,58,2,passive
#Valentine_TGV,1.01.0001,1,1,8,3,active
1.01.0001,#Proteus_TGV,1,1,8,3,passive
#Proteus_TGV,1.01.0001,1,1,9,4,active
1.01.0001,#Valentine_TGV,1,1,9,4,passive
#Valentine_TGV,1.01.0001,2,2,14,5,active
1.01.0001,#Proteus_TGV,2,2,14,5,passive
#Proteus_TGV,1.01.0001,2,2,17,6,active
1.01.0001,#Valentine_TGV,2,2,17,6,passive
#Valentine_TGV,1.01.0001,3,2,16,7,active
1.01.0001,#Proteus_TGV,3,2,16,7,passive
#Proteus_TGV,1.01.0001,3,1,9,8,active
1.01.0001,#Valentine_TGV,3,1,9,8,passive
#Valentine_TGV,1.01.0001,4,1,9,9,active
1.01.0001,#Proteus_TGV,4,1,9,9,passive
#Proteus_TGV,1.01.0001,4,1,1,10,active
1.01.0001,#Valentine_TGV,4,1,1,10,passive
#Valentine_TGV,1.01.0001,5,8,55,11,active
1.01.0001,#Proteus_TGV,5,8,55,11,passive
#Proteus_TGV,1.01.0001,5,1,8,12,active
1.01.0001,#Valentine_TGV,5,1,8,12,passive
#Valentine_TGV,1.01.0001,6,1,8,13,active
1.01.0001,#Proteus_TGV,6,1,8,13,passive
#Proteus_TGV,1.01.0001,6,1,9,14,active
1.01.0001,#Valentine_TGV,6,1,9,14,passive
#Valentine_TGV,1.01.0001,7,3,24,15,active
1.01.0001,#Proteus_TGV,7,3,24,15,passive
#Proteus_TGV,1.01.0001,7,3,22,16,active
1.01.0001,#Valentine_TGV,7,3,22,16,passive
#Valentine_TGV,1.01.0001,8,10,79,17,active
1.01.0001,#Proteus_TGV,8,10,79,17,passive
#Proteus_TGV,1.01.0001,8,1,7,18,active
1.01.0001,#Valentine_TGV,8,1,7,18,passive
#Valentine_TGV,1.01.0001,9,5,42,19,active
1.01.0001,#Proteus_TGV,9,5,42,19,passive
#Proteus_TGV,1.01.0001,9,1,7,20,active
1.01.0001,#Valentine_TGV,9,1,7,20,passive
#Valentine_TGV,1.01.0001,10,1,9,21,active
1.01.0001,#Proteus_TGV,10,1,9,21,passive
#Proteus_TGV,1.01.0002,0,7,56,22,active
#Speed_TGV,1.01.0003,0,1,8,23,active
1.01.0003,#Proteus_TGV,0,1,8,23,passive
#Proteus_TGV,1.01.0003,0,1,9,24,active
1.01.0003,#Speed_TGV,0,1,9,24,passive
#Speed_TGV,1.01.0003,1,2,17,25,active
1.01.0003,#Proteus_TGV,1,2,17,25,passive
#Proteus_TGV,1.01.0003,1,2,14,26,active
1.01.0003,#Speed_TGV,1,2,14,26,passive
#Speed_TGV,1.01.0003,2,2,13,27,active
1.01.0003,#Proteus_TGV,2,2,13,27,passive
#Proteus_TGV,1.01.0003,2,1,2,28,active
1.01.0003,#Speed_TGV,2,1,2,28,passive
#Speed_TGV,1.01.0003,3,2,12,29,active
1.01.0003,#Proteus_TGV,3,2,12,29,passive
#Proteus_TGV,1.01.0003,3,1,8,30,active
1.01.0003,#Speed_TGV,3,1,8,30,passive
#Speed_TGV,1.01.0003,4,1,6,31,active
1.01.0003,#Proteus_TGV,4,1,6,31,passive
#Proteus_TGV,1.01.0003,4,1,6,32,active
1.01.0003,#Speed_TGV,4,1,6,32,passive
#Speed_TGV,1.01.0003,5,1,8,33,active
1.01.0003,#Proteus_TGV,5,1,8,33,passive
#Proteus_TGV,1.01.0003,5,1,10,34,active
1.01.0003,#Speed_TGV,5,1,10,34,passive
#Speed_TGV,1.01.0003,6,3,27,35,active
1.01.0003,#Proteus_TGV,6,3,27,35,passive
#Proteus_TGV,1.01.0003,6,4,33,36,active
1.01.0003,#Speed_TGV,6,4,33,36,passive
#Speed_TGV,1.01.0003,7,1,8,37,active
1.01.0003,#Proteus_TGV,7,1,8,37,passive
#Proteus_TGV,1.01.0003,7,2,10,38,active
1.01.0003,#Speed_TGV,7,2,10,38,passive
#Speed_TGV,1.01.0003,8,3,28,39,active
1.01.0003,#Proteus_TGV,8,3,28,39,passive
#Proteus_TGV,1.01.0003,8,2,10,40,active
1.01.0003,#Speed_TGV,8,2,10,40,passive
#Speed_TGV,1.01.0003,9,2,10,41,active
1.01.0003,#Proteus_TGV,9,2,10,41,passive
#Proteus_TGV,1.01.0003,9,2,10,42,active
1.01.0003,#Speed_TGV,9,2,10,42,passive
#Speed_TGV,1.01.0003,10,2,13,43,active
1.01.0003,#Proteus_TGV,10,2,13,43,passive
#Proteus_TGV,1.01.0003,10,1,8,44,active
1.01.0003,#Speed_TGV,10,1,8,44,passive
#Speed_TGV,1.01.0003,11,3,22,45,active
1.01.0003,#Proteus_TGV,11,3,22,45,passive
#Proteus_TGV,1.01.0003,11,1,4,46,active
1.01.0003,#Speed_TGV,11,1,4,46,passive
#Speed_TGV,1.01.0003,12,1,1,47,active
1.01.0003,#Proteus_TGV,12,1,1,47,passive
#Proteus_TGV,1.01.0003,12,1,5,48,active
1.01.0003,#Speed_TGV,12,1,5,48,passive
#Speed_TGV,1.01.0003,13,2,20,49,active
1.01.0003,#Proteus_TGV,13,2,20,49,passive
#Proteus_TGV,1.01.0003,13,1,6,50,active
1.01.0003,#Speed_TGV,13,1,6,50,passive
#Speed_TGV,1.01.0003,14,2,15,51,active
1.01.0003,#Proteus_TGV,14,2,15,51,passive
#Proteus_TGV,1.01.0003,14,1,10,52,active
1.01.0003,#Speed_TGV,14,1,10,52,passive
#Speed_TGV,1.01.0003,15,1,11,53,active
1.01.0003,#Proteus_TGV,15,1,11,53,passive
#Proteus_TGV,1.01.0003,15,1,8,54,active
