source,target,n_lines,n_tokens,edge_type
#Antonio_TGV,1.03.0010,18,131,active
#Antonio_TGV,1.03.0011,17,131,active
#Duke_TGV,2.04.0023,18,130,active
#Duke_TGV,3.01.0033,2,15,active
#Duke_TGV,3.01.0034,19,146,active
#Duke_TGV,3.01.0035,84,658,active
#Duke_TGV,3.02.0041,7,56,active
#Duke_TGV,3.02.0042,34,249,active
#Duke_TGV,5.02.0062,17,126,active
#Duke_TGV,5.04.0070,20,149,active
#Eglamour_TGV,4.03.0051,4,25,active
#Eglamour_TGV,4.03.0052,15,94,active
#Eglamour_TGV,5.01.0059,6,48,active
#Eglamour_TGV,5.01.0060,3,25,active
#Host_TGV,4.02.0047,22,140,active
#Host_TGV,4.02.0050,3,18,active
#Julia_TGV,1.02.0005,26,192,active
#Julia_TGV,1.02.0006,17,135,active
#Julia_TGV,1.02.0007,18,126,active
#Julia_TGV,1.02.0008,26,203,active
#Julia_TGV,1.02.0009,4,29,active
#Julia_TGV,2.02.0017,4,30,active
#Julia_TGV,2.07.0032,72,557,active
#Julia_TGV,4.02.0047,20,104,active
#Julia_TGV,4.02.0048,5,37,active
#Julia_TGV,4.02.0050,4,27,active
#Julia_TGV,4.04.0054,1,9,active
#Julia_TGV,4.04.0055,10,70,active
#Julia_TGV,4.04.0056,19,145,active
#Julia_TGV,4.04.0057,46,330,active
#Julia_TGV,4.04.0058,27,215,active
#Julia_TGV,5.02.0061,8,62,active
#Julia_TGV,5.02.0065,2,18,active
#Julia_TGV,5.04.0069,20,141,active
#Lance_TGV,2.03.0020,34,341,active
#Lance_TGV,2.03.0021,12,92,active
#Lance_TGV,2.05.0030,32,236,active
#Lance_TGV,3.01.0037,8,43,active
#Lance_TGV,3.01.0038,17,172,active
#Lance_TGV,3.01.0039,59,456,active
#Lance_TGV,3.01.0040,3,26,active
#Lance_TGV,4.04.0053,40,404,active
#Lance_TGV,4.04.0054,11,82,active
#Lucetta_TGV,1.02.0005,26,194,active
#Lucetta_TGV,1.02.0007,23,161,active
#Lucetta_TGV,1.02.0009,6,52,active
#Lucetta_TGV,2.07.0032,18,149,active
#OUTLAWS.1_TGV,4.01.0043,1,7,active
#OUTLAWS.1_TGV,4.01.0044,14,104,active
#OUTLAWS.1_TGV,5.03.0066,3,19,active
#OUTLAWS.1_TGV,5.03.0067,3,23,active
#OUTLAWS.1_TGV,5.04.0070,1,6,active
#OUTLAWS.2_TGV,4.01.0043,1,10,active
#OUTLAWS.2_TGV,4.01.0044,13,85,active
#OUTLAWS.2_TGV,5.03.0066,1,4,active
#OUTLAWS.2_TGV,5.04.0070,1,6,active
#OUTLAWS.3_TGV,4.01.0044,20,165,active
#OUTLAWS.3_TGV,5.03.0066,5,39,active
#OUTLAWS.3_TGV,5.04.0070,1,6,active
#Pantino_TGV,1.03.0010,26,185,active
#Pantino_TGV,1.03.0013,2,16,active
#Pantino_TGV,2.02.0019,1,6,active
#Pantino_TGV,2.03.0021,16,104,active
#Proteus_TGV,1.01.0001,20,147,active
#Proteus_TGV,1.01.0002,7,56,active
#Proteus_TGV,1.01.0003,34,216,active
#Proteus_TGV,1.01.0004,3,23,active
#Proteus_TGV,1.03.0011,17,125,active
#Proteus_TGV,1.03.0012,10,83,active
#Proteus_TGV,1.03.0013,2,16,active
#Proteus_TGV,2.02.0017,12,86,active
#Proteus_TGV,2.02.0018,3,24,active
#Proteus_TGV,2.02.0019,2,12,active
#Proteus_TGV,2.04.0025,5,39,active
#Proteus_TGV,2.04.0027,1,6,active
#Proteus_TGV,2.04.0028,21,133,active
#Proteus_TGV,2.04.0029,23,188,active
#Proteus_TGV,2.06.0031,43,326,active
#Proteus_TGV,3.01.0034,29,228,active
#Proteus_TGV,3.01.0037,47,317,active
#Proteus_TGV,3.02.0042,43,308,active
#Proteus_TGV,4.02.0045,18,136,active
#Proteus_TGV,4.02.0046,4,31,active
#Proteus_TGV,4.02.0047,18,106,active
#Proteus_TGV,4.02.0048,16,125,active
#Proteus_TGV,4.02.0049,2,11,active
#Proteus_TGV,4.04.0054,11,79,active
#Proteus_TGV,4.04.0055,21,145,active
#Proteus_TGV,5.02.0061,11,77,active
#Proteus_TGV,5.02.0062,2,3,active
#Proteus_TGV,5.02.0064,2,16,active
#Proteus_TGV,5.04.0069,42,288,active
#SERVANTS.1_TGV,2.04.0026,1,9,active
#Speed_TGV,1.01.0003,47,357,active
#Speed_TGV,2.01.0014,56,441,active
#Speed_TGV,2.01.0015,7,40,active
#Speed_TGV,2.01.0016,34,239,active
#Speed_TGV,2.04.0022,3,14,active
#Speed_TGV,2.05.0030,21,140,active
#Speed_TGV,3.01.0039,37,198,active
#Speed_TGV,4.01.0044,4,27,active
#Sylvia_TGV,2.01.0015,19,141,active
#Sylvia_TGV,2.04.0022,8,36,active
#Sylvia_TGV,2.04.0024,5,40,active
#Sylvia_TGV,2.04.0025,6,48,active
#Sylvia_TGV,2.04.0026,1,5,active
#Sylvia_TGV,2.04.0027,5,29,active
#Sylvia_TGV,4.02.0048,29,215,active
#Sylvia_TGV,4.03.0052,32,225,active
#Sylvia_TGV,4.04.0057,30,200,active
#Sylvia_TGV,5.01.0060,3,22,active
#Sylvia_TGV,5.03.0066,2,15,active
#Sylvia_TGV,5.03.0067,1,7,active
#Sylvia_TGV,5.04.0069,21,155,active
#Thurio_TGV,2.04.0022,12,70,active
#Thurio_TGV,2.04.0024,1,10,active
#Thurio_TGV,3.02.0041,3,22,active
#Thurio_TGV,3.02.0042,11,85,active
#Thurio_TGV,4.02.0046,5,36,active
#Thurio_TGV,4.02.0047,2,4,active
#Thurio_TGV,5.02.0061,11,70,active
#Thurio_TGV,5.02.0062,1,2,active
#Thurio_TGV,5.02.0063,4,32,active
#Thurio_TGV,5.04.0070,5,41,active
#Valentine_TGV,1.01.0001,44,337,active
#Valentine_TGV,2.01.0014,37,221,active
#Valentine_TGV,2.01.0015,16,105,active
