node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Archidamus_WT,#Camillo_WT,0,1,1,1,355,48,1
#ATTENDANTS_WT,#Hermione_WT,0,1,2,2,1563,230,2
#ATTENDANTS_WT,#Leontes_WT,0,1,2,2,1563,230,2
#ATTENDANTS_WT,#Mamillius_WT,0,1,2,2,1563,230,2
#ATTENDANTS_WT,#Polixenes_WT,0,1,2,2,1563,230,2
#Camillo_WT,#ATTENDANTS_WT,0,1,2,2,1563,230,2
#Camillo_WT,#Hermione_WT,0,1,2,2,1563,230,2
#Camillo_WT,#Leontes_WT,0,1,2,2,1563,230,2
#Camillo_WT,#Mamillius_WT,0,1,2,2,1563,230,2
#Camillo_WT,#Polixenes_WT,0,1,2,2,1563,230,2
#Hermione_WT,#Leontes_WT,0,1,2,2,1563,230,2
#Hermione_WT,#Mamillius_WT,0,1,2,2,1563,230,2
#Hermione_WT,#Polixenes_WT,0,1,2,2,1563,230,2
#Leontes_WT,#Mamillius_WT,0,1,2,2,1563,230,2
#Leontes_WT,#Polixenes_WT,0,1,2,2,1563,230,2
#Mamillius_WT,#Polixenes_WT,0,1,2,2,1563,230,2
#Camillo_WT,#Leontes_WT,1,1,2,3,223,31,3
#Camillo_WT,#Mamillius_WT,1,1,2,3,223,31,3
#Leontes_WT,#Mamillius_WT,1,1,2,3,223,31,3
#Camillo_WT,#Leontes_WT,2,1,2,4,1103,161,4
#Camillo_WT,#Polixenes_WT,1,1,2,6,826,119,6
#Hermione_WT,#LADIES_WT,0,2,1,7,12,2,7
#Hermione_WT,#Mamillius_WT,1,2,1,7,12,2,7
#Mamillius_WT,#LADIES_WT,0,2,1,7,12,2,7
#Hermione_WT,#LADIES.0.1_WT,0,2,1,8,37,6,8
#Hermione_WT,#LADIES_WT,1,2,1,8,37,6,8
#Hermione_WT,#Mamillius_WT,2,2,1,8,37,6,8
#LADIES_WT,#LADIES.0.1_WT,0,2,1,8,37,6,8
#Mamillius_WT,#LADIES.0.1_WT,0,2,1,8,37,6,8
#Mamillius_WT,#LADIES_WT,1,2,1,8,37,6,8
#Hermione_WT,#LADIES.0.1_WT,1,2,1,9,232,34,9
#Hermione_WT,#LADIES.0.2_WT,0,2,1,9,232,34,9
#Hermione_WT,#LADIES_WT,2,2,1,9,232,34,9
#Hermione_WT,#Mamillius_WT,3,2,1,9,232,34,9
#LADIES.0.1_WT,#LADIES.0.2_WT,0,2,1,9,232,34,9
#LADIES_WT,#LADIES.0.1_WT,1,2,1,9,232,34,9
#LADIES_WT,#LADIES.0.2_WT,0,2,1,9,232,34,9
#Mamillius_WT,#LADIES.0.1_WT,1,2,1,9,232,34,9
#Mamillius_WT,#LADIES.0.2_WT,0,2,1,9,232,34,9
#Mamillius_WT,#LADIES_WT,2,2,1,9,232,34,9
#ATTENDANTS_WT,#Antigonus_WT,0,2,1,10,9,1,10
#ATTENDANTS_WT,#Hermione_WT,1,2,1,10,9,1,10
#ATTENDANTS_WT,#LADIES.0.1_WT,0,2,1,10,9,1,10
#ATTENDANTS_WT,#LADIES.0.2_WT,0,2,1,10,9,1,10
#ATTENDANTS_WT,#LADIES_WT,0,2,1,10,9,1,10
#ATTENDANTS_WT,#Leontes_WT,1,2,1,10,9,1,10
#ATTENDANTS_WT,#Mamillius_WT,1,2,1,10,9,1,10
#Hermione_WT,#Antigonus_WT,0,2,1,10,9,1,10
#Hermione_WT,#LADIES.0.1_WT,2,2,1,10,9,1,10
#Hermione_WT,#LADIES.0.2_WT,1,2,1,10,9,1,10
#Hermione_WT,#LADIES_WT,3,2,1,10,9,1,10
#Hermione_WT,#Leontes_WT,1,2,1,10,9,1,10
#Hermione_WT,#Mamillius_WT,4,2,1,10,9,1,10
#LADIES.0.1_WT,#Antigonus_WT,0,2,1,10,9,1,10
#LADIES.0.1_WT,#LADIES.0.2_WT,1,2,1,10,9,1,10
#LADIES.0.2_WT,#Antigonus_WT,0,2,1,10,9,1,10
#LADIES_WT,#Antigonus_WT,0,2,1,10,9,1,10
#LADIES_WT,#LADIES.0.1_WT,2,2,1,10,9,1,10
