node1,node2,count
#ATTENDANTS.0.1_WT,#Antigonus_WT,2
#ATTENDANTS.0.1_WT,#Cleomenes_WT,1
#ATTENDANTS.0.1_WT,#Dion_WT,1
#ATTENDANTS.0.1_WT,#LADIES.0.1_WT,1
#ATTENDANTS.0.1_WT,#LADIES.0.2_WT,1
#ATTENDANTS.0.1_WT,#LADIES_WT,2
#ATTENDANTS.0.1_WT,#OFFICERS.0.1_WT,1
#ATTENDANTS.0.1_WT,#OFFICERS_WT,1
#ATTENDANTS.0.1_WT,#Perdita.Infant_WT,1
#ATTENDANTS.0.1_WT,#SERVANTS.0_WT,1
#ATTENDANTS.0.1_WT,#SERVANTS.X.1_WT,2
#ATTENDANTS.0.1_WT,#SERVANTS.X.2_WT,1
#ATTENDANTS.0.1_WT,#SERVANTS_WT,1
#ATTENDANTS.1_WT,#ATTENDANTS.2_WT,1
#ATTENDANTS.1_WT,#ATTENDANTS.3_WT,1
#ATTENDANTS.2_WT,#ATTENDANTS.3_WT,1
#ATTENDANTS.PAULINA.0.1_WT,#ATTENDANTS.PAULINA_WT,1
#ATTENDANTS.PAULINA.0.1_WT,#Jailer_WT,1
#ATTENDANTS.PAULINA.0.1_WT,#LADIES.Emilia_WT,1
#ATTENDANTS.PAULINA_WT,#Jailer_WT,1
#ATTENDANTS.PAULINA_WT,#LADIES.Emilia_WT,1
#ATTENDANTS.X_WT,#SERVANTS.X.3_WT,1
#ATTENDANTS_WT,#ATTENDANTS.0.1_WT,3
#ATTENDANTS_WT,#Antigonus_WT,2
#ATTENDANTS_WT,#Cleomenes_WT,1
#ATTENDANTS_WT,#Dion_WT,1
#ATTENDANTS_WT,#Florizell_WT,1
#ATTENDANTS_WT,#Hermione_WT,4
#ATTENDANTS_WT,#LADIES.0.1_WT,1
#ATTENDANTS_WT,#LADIES.0.2_WT,1
#ATTENDANTS_WT,#LADIES_WT,2
#ATTENDANTS_WT,#Leontes_WT,5
#ATTENDANTS_WT,#Mamillius_WT,2
#ATTENDANTS_WT,#OFFICERS.0.1_WT,1
#ATTENDANTS_WT,#OFFICERS_WT,1
#ATTENDANTS_WT,#Paulina_WT,3
#ATTENDANTS_WT,#Perdita.Infant_WT,1
#ATTENDANTS_WT,#Perdita_WT,1
#ATTENDANTS_WT,#Polixenes_WT,2
#ATTENDANTS_WT,#SERVANTS.0_WT,1
#ATTENDANTS_WT,#SERVANTS.X.1_WT,2
#ATTENDANTS_WT,#SERVANTS.X.2_WT,1
#ATTENDANTS_WT,#SERVANTS_WT,1
#Antigonus_WT,#LADIES.0.1_WT,1
#Antigonus_WT,#LADIES.0.2_WT,1
#Antigonus_WT,#LADIES_WT,1
#Antigonus_WT,#Perdita.Infant_WT,2
#Antigonus_WT,#SERVANTS.0_WT,1
#Antigonus_WT,#SERVANTS.X.1_WT,1
#Antigonus_WT,#SERVANTS.X.2_WT,1
#Antigonus_WT,#SERVANTS_WT,1
#Antigonus_WT,#Sailor_WT,1
#Archidamus_WT,#Camillo_WT,1
#Autolycus_WT,#ATTENDANTS.1_WT,1
#Autolycus_WT,#ATTENDANTS.2_WT,1
#Autolycus_WT,#ATTENDANTS.3_WT,1
#Autolycus_WT,#Dorcas_WT,1
#Autolycus_WT,#Florizell_WT,1
#Autolycus_WT,#MUSICIANS_WT,1
#Autolycus_WT,#Mopsa_WT,1
#Autolycus_WT,#Perdita_WT,1
#Autolycus_WT,#SERVANTS.SHEPHERD.1_WT,1
#Autolycus_WT,#SERVANTS.SHEPHERD_WT,1
#Autolycus_WT,#SHEPHERDS_WT,1
#Autolycus_WT,#Shepherd_WT,2
#Autolycus_WT,#ShepherdsSon_WT,3
#Camillo_WT,#ATTENDANTS_WT,2
#Camillo_WT,#Autolycus_WT,1
#Camillo_WT,#Dorcas_WT,1
#Camillo_WT,#Florizell_WT,2
#Camillo_WT,#Hermione_WT,2
#Camillo_WT,#Leontes_WT,2
#Camillo_WT,#MUSICIANS_WT,1
#Camillo_WT,#Mamillius_WT,1
#Camillo_WT,#Mopsa_WT,1
#Camillo_WT,#Paulina_WT,1
#Camillo_WT,#Perdita_WT,2
#Camillo_WT,#Polixenes_WT,4
#Camillo_WT,#SERVANTS.SHEPHERD.1_WT,1
#Camillo_WT,#SERVANTS.SHEPHERD_WT,1
#Camillo_WT,#SHEPHERDS_WT,1
#Camillo_WT,#Shepherd_WT,1
#Camillo_WT,#ShepherdsSon_WT,1
#Cleomenes_WT,#ATTENDANTS.X_WT,1
#Cleomenes_WT,#Dion_WT,3
#Cleomenes_WT,#OFFICERS.0.1_WT,1
#Cleomenes_WT,#OFFICERS_WT,1
#Cleomenes_WT,#SERVANTS.X.3_WT,1
#Dion_WT,#ATTENDANTS.X_WT,1
#Dion_WT,#OFFICERS.0.1_WT,1
#Dion_WT,#OFFICERS_WT,1
#Dion_WT,#SERVANTS.X.3_WT,1
#Dorcas_WT,#Florizell_WT,1
#Dorcas_WT,#MUSICIANS_WT,1
#Dorcas_WT,#Mopsa_WT,1
#Dorcas_WT,#Perdita_WT,1
#Dorcas_WT,#SERVANTS.SHEPHERD.1_WT,1
#Dorcas_WT,#SERVANTS.SHEPHERD_WT,1
#Dorcas_WT,#SHEPHERDS_WT,1
#Dorcas_WT,#Shepherd_WT,1
#Dorcas_WT,#ShepherdsSon_WT,1
#Florizell_WT,#ATTENDANTS.X_WT,1
#Florizell_WT,#Cleomenes_WT,1
#Florizell_WT,#Dion_WT,1
#Florizell_WT,#MUSICIANS_WT,1
#Florizell_WT,#Mopsa_WT,1
#Florizell_WT,#Paulina_WT,2
#Florizell_WT,#Perdita_WT,3
#Florizell_WT,#SERVANTS.SHEPHERD.1_WT,1
#Florizell_WT,#SERVANTS.SHEPHERD_WT,1
#Florizell_WT,#SERVANTS.X.3_WT,1
#Florizell_WT,#SERVANTS_WT,1
#Florizell_WT,#SHEPHERDS_WT,1
#Florizell_WT,#Shepherd_WT,1
#Florizell_WT,#ShepherdsSon_WT,1
#Hermione_WT,#ATTENDANTS.0.1_WT,2
#Hermione_WT,#Antigonus_WT,1
#Hermione_WT,#Cleomenes_WT,1
#Hermione_WT,#Dion_WT,1
#Hermione_WT,#Florizell_WT,1
#Hermione_WT,#LADIES.0.1_WT,1
#Hermione_WT,#LADIES.0.2_WT,1
#Hermione_WT,#LADIES_WT,2
#Hermione_WT,#Leontes_WT,4
#Hermione_WT,#Mamillius_WT,2
#Hermione_WT,#OFFICERS.0.1_WT,1
#Hermione_WT,#OFFICERS_WT,1
#Hermione_WT,#Paulina_WT,2
#Hermione_WT,#Perdita_WT,1
#Hermione_WT,#Polixenes_WT,2
#Hermione_WT,#SERVANTS.X.1_WT,1
#Jailer_WT,#LADIES.Emilia_WT,1
#LADIES.0.1_WT,#LADIES.0.2_WT,1
#LADIES.0.1_WT,#LADIES_WT,1
#LADIES.0.2_WT,#LADIES_WT,1
#LADIES_WT,#Cleomenes_WT,1
#LADIES_WT,#Dion_WT,1
#LADIES_WT,#OFFICERS.0.1_WT,1
#LADIES_WT,#OFFICERS_WT,1
#LADIES_WT,#SERVANTS.X.1_WT,1
#Leontes_WT,#ATTENDANTS.0.1_WT,3
#Leontes_WT,#ATTENDANTS.X_WT,1
#Leontes_WT,#Antigonus_WT,2
#Leontes_WT,#Cleomenes_WT,2
#Leontes_WT,#Dion_WT,2
#Leontes_WT,#Florizell_WT,2
#Leontes_WT,#LADIES.0.1_WT,1
#Leontes_WT,#LADIES.0.2_WT,1
#Leontes_WT,#LADIES_WT,2
#Leontes_WT,#Mamillius_WT,2
#Leontes_WT,#OFFICERS.0.1_WT,1
#Leontes_WT,#OFFICERS_WT,1
#Leontes_WT,#Paulina_WT,4
#Leontes_WT,#Perdita.Infant_WT,1
#Leontes_WT,#Perdita_WT,2
#Leontes_WT,#Polixenes_WT,2
#Leontes_WT,#SERVANTS.0_WT,1
#Leontes_WT,#SERVANTS.X.1_WT,2
#Leontes_WT,#SERVANTS.X.2_WT,1
#Leontes_WT,#SERVANTS.X.3_WT,1
#Leontes_WT,#SERVANTS_WT,2
#MUSICIANS_WT,#Mopsa_WT,1
#MUSICIANS_WT,#Perdita_WT,1
#MUSICIANS_WT,#SERVANTS.SHEPHERD.1_WT,1
#MUSICIANS_WT,#SERVANTS.SHEPHERD_WT,1
#MUSICIANS_WT,#SHEPHERDS_WT,1
#MUSICIANS_WT,#Shepherd_WT,1
#MUSICIANS_WT,#ShepherdsSon_WT,1
#Mamillius_WT,#ATTENDANTS.0.1_WT,1
#Mamillius_WT,#Antigonus_WT,1
#Mamillius_WT,#LADIES.0.1_WT,1
#Mamillius_WT,#LADIES.0.2_WT,1
#Mamillius_WT,#LADIES_WT,1
#Mamillius_WT,#Polixenes_WT,1
#Mopsa_WT,#Perdita_WT,1
#Mopsa_WT,#SERVANTS.SHEPHERD.1_WT,1
#Mopsa_WT,#SERVANTS.SHEPHERD_WT,1
#Mopsa_WT,#SHEPHERDS_WT,1
#Mopsa_WT,#Shepherd_WT,1
#Mopsa_WT,#ShepherdsSon_WT,1
#OFFICERS.0.1_WT,#OFFICERS_WT,1
#Paulina_WT,#ATTENDANTS.0.1_WT,2
#Paulina_WT,#ATTENDANTS.PAULINA.0.1_WT,1
