act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#Archidamus_WT,176,23,355,48
1,1,1,#Camillo_WT,179,25,355,48
1,2,2,#Hermione_WT,510,71,1563,230
1,2,2,#Leontes_WT,639,95,1563,230
1,2,2,#Mamillius_WT,15,3,1563,230
1,2,2,#Polixenes_WT,399,61,1563,230
1,2,3,#Camillo_WT,4,1,223,31
1,2,3,#Leontes_WT,213,29,223,31
1,2,3,#Mamillius_WT,6,1,223,31
1,2,4,#Camillo_WT,403,61,1103,161
1,2,4,#Leontes_WT,700,100,1103,161
1,2,5,#Camillo_WT,109,14,109,14
1,2,6,#Camillo_WT,327,48,826,119
1,2,6,#Polixenes_WT,499,71,826,119
2,1,7,#Hermione_WT,12,2,12,2
2,1,8,#LADIES.0.1_WT,13,3,37,6
2,1,8,#Mamillius_WT,24,3,37,6
2,1,9,#Hermione_WT,69,9,232,34
2,1,9,#LADIES.0.1_WT,36,6,232,34
2,1,9,#LADIES.0.2_WT,21,4,232,34
2,1,9,#Mamillius_WT,106,15,232,34
2,1,10,#Leontes_WT,9,1,9,1
2,1,11,#ATTENDANTS.0.1_WT,39,6,246,35
2,1,11,#Hermione_WT,4,1,246,35
2,1,11,#Leontes_WT,203,28,246,35
2,1,12,#Hermione_WT,250,34,520,73
2,1,12,#Leontes_WT,270,39,520,73
2,1,13,#ATTENDANTS.0.1_WT,89,13,615,88
2,1,13,#Antigonus_WT,219,31,615,88
2,1,13,#Leontes_WT,307,44,615,88
2,2,14,#Paulina_WT,32,5,32,5
2,2,15,#Jailer_WT,36,7,87,16
2,2,15,#Paulina_WT,51,9,87,16
2,2,16,#Jailer_WT,9,1,14,2
2,2,16,#Paulina_WT,5,1,14,2
2,2,17,#Paulina_WT,12,2,12,2
2,2,18,#Jailer_WT,27,4,374,55
2,2,18,#LADIES.Emilia_WT,142,21,374,55
2,2,18,#Paulina_WT,205,30,374,55
2,3,19,#Leontes_WT,78,9,78,9
2,3,20,#Leontes_WT,49,8,62,11
2,3,20,#SERVANTS.X.1_WT,13,3,62,11
2,3,21,#Leontes_WT,69,9,69,9
2,3,22,#ATTENDANTS.0.1_WT,4,1,36,6
2,3,22,#Antigonus_WT,2,1,36,6
2,3,22,#Paulina_WT,30,4,36,6
2,3,23,#Antigonus_WT,59,10,851,130
2,3,23,#Leontes_WT,191,35,851,130
2,3,23,#Paulina_WT,589,83,851,130
2,3,23,#SERVANTS.0_WT,12,2,851,130
2,3,24,#ATTENDANTS.0.1_WT,58,7,512,68
2,3,24,#ATTENDANTS_WT,13,2,512,68
2,3,24,#Antigonus_WT,119,18,512,68
2,3,24,#Leontes_WT,322,41,512,68
2,3,25,#Leontes_WT,6,2,6,2
2,3,26,#ATTENDANTS.0.1_WT,10,2,110,17
2,3,26,#Leontes_WT,69,10,110,17
2,3,26,#SERVANTS.X.2_WT,31,5,110,17
3,1,27,#Cleomenes_WT,60,11,171,27
3,1,27,#Dion_WT,111,16,171,27
3,2,28,#Leontes_WT,59,8,59,8
3,2,29,#OFFICERS.0.1_WT,14,2,14,2
3,2,30,#Hermione_WT,646,84,853,113
3,2,30,#Leontes_WT,127,18,853,113
3,2,30,#OFFICERS.0.1_WT,80,11,853,113
3,2,31,#ATTENDANTS.0.1_WT,15,3,15,3
3,2,32,#Hermione_WT,35,5,35,5
3,2,33,#ATTENDANTS_WT,6,1,137,21
3,2,33,#Cleomenes_WT,4,1,137,21
3,2,33,#Dion_WT,4,1,137,21
3,2,33,#Hermione_WT,1,1,137,21
3,2,33,#Leontes_WT,27,4,137,21
3,2,33,#OFFICERS.0.1_WT,99,14,137,21
3,2,34,#Leontes_WT,49,10,96,17
3,2,34,#Paulina_WT,15,2,96,17
3,2,34,#SERVANTS.X.1_WT,32,5,96,17
3,2,35,#Leontes_WT,138,20,138,20
3,2,36,#ATTENDANTS.0.1_WT,27,5,597,80
3,2,36,#Leontes_WT,113,15,597,80
3,2,36,#Paulina_WT,457,60,597,80
3,3,37,#Antigonus_WT,40,7,120,18
3,3,37,#Sailor_WT,80,11,120,18
3,3,38,#Antigonus_WT,346,46,346,46
3,3,39,#Shepherd_WT,174,19,174,19
3,3,40,#Shepherd_WT,197,25,508,62
3,3,40,#ShepherdsSon_WT,311,37,508,62
4,1,41,#Chorus_WT,266,33,266,33
4,2,42,#Camillo_WT,142,16,477,57
4,2,42,#Polixenes_WT,335,41,477,57
4,3,43,#Autolycus_WT,243,31,243,31
4,3,44,#Autolycus_WT,328,46,675,93
