act,scene,n_tokens,n_lines,onstage
1,1,355,48,#Archidamus_WT #Camillo_WT
1,2,3824,555,#ATTENDANTS_WT #Camillo_WT #Hermione_WT #Leontes_WT #Mamillius_WT #Polixenes_WT
2,1,1671,239,#ATTENDANTS.0.1_WT #ATTENDANTS_WT #Antigonus_WT #Hermione_WT #LADIES.0.1_WT #LADIES.0.2_WT #LADIES_WT #Leontes_WT #Mamillius_WT
2,2,519,80,#ATTENDANTS.PAULINA.0.1_WT #ATTENDANTS.PAULINA_WT #Jailer_WT #LADIES.Emilia_WT #Paulina_WT
2,3,1724,252,#ATTENDANTS.0.1_WT #ATTENDANTS_WT #Antigonus_WT #Leontes_WT #Paulina_WT #Perdita.Infant_WT #SERVANTS.0_WT #SERVANTS.X.1_WT #SERVANTS.X.2_WT #SERVANTS_WT
3,1,171,27,#Cleomenes_WT #Dion_WT
3,2,1944,269,#ATTENDANTS.0.1_WT #ATTENDANTS_WT #Cleomenes_WT #Dion_WT #Hermione_WT #LADIES_WT #Leontes_WT #OFFICERS.0.1_WT #OFFICERS_WT #Paulina_WT #SERVANTS.X.1_WT
3,3,1148,145,#Antigonus_WT #Perdita.Infant_WT #Sailor_WT #Shepherd_WT #ShepherdsSon_WT
4,1,266,33,#Chorus_WT
4,2,477,57,#Camillo_WT #Polixenes_WT
4,3,988,133,#Autolycus_WT #ShepherdsSon_WT
4,4,6874,975,#Autolycus_WT #Camillo_WT #Dorcas_WT #Florizell_WT #MUSICIANS_WT #Mopsa_WT #Perdita_WT #Polixenes_WT #SERVANTS.SHEPHERD.1_WT #SERVANTS.SHEPHERD_WT #SHEPHERDS_WT #Shepherd_WT #ShepherdsSon_WT
5,1,1898,287,#ATTENDANTS.X_WT #Cleomenes_WT #Dion_WT #Florizell_WT #Leontes_WT #Paulina_WT #Perdita_WT #SERVANTS.X.3_WT #SERVANTS_WT
5,2,1505,187,#ATTENDANTS.1_WT #ATTENDANTS.2_WT #ATTENDANTS.3_WT #Autolycus_WT #Shepherd_WT #ShepherdsSon_WT
5,3,1286,192,#ATTENDANTS_WT #Camillo_WT #Florizell_WT #Hermione_WT #Leontes_WT #Paulina_WT #Perdita_WT #Polixenes_WT
