node,node_type
#ATTENDANTS.0.1_WT,character
#ATTENDANTS.1_WT,character
#ATTENDANTS.2_WT,character
#ATTENDANTS.3_WT,character
#ATTENDANTS.PAULINA.0.1_WT,character
#ATTENDANTS.PAULINA_WT,character
#ATTENDANTS.X_WT,character
#ATTENDANTS_WT,character
#Antigonus_WT,character
#Archidamus_WT,character
#Autolycus_WT,character
#Camillo_WT,character
#Chorus_WT,character
#Cleomenes_WT,character
#Dion_WT,character
#Dorcas_WT,character
#Florizell_WT,character
#Hermione_WT,character
#Jailer_WT,character
#LADIES.0.1_WT,character
#LADIES.0.2_WT,character
#LADIES.Emilia_WT,character
#LADIES_WT,character
#Leontes_WT,character
#MUSICIANS_WT,character
#Mamillius_WT,character
#Mopsa_WT,character
#OFFICERS.0.1_WT,character
#OFFICERS_WT,character
#Paulina_WT,character
#Perdita.Infant_WT,character
#Perdita_WT,character
#Polixenes_WT,character
#SERVANTS.0_WT,character
#SERVANTS.SHEPHERD.1_WT,character
#SERVANTS.SHEPHERD_WT,character
#SERVANTS.X.1_WT,character
#SERVANTS.X.2_WT,character
#SERVANTS.X.3_WT,character
#SERVANTS_WT,character
#SHEPHERDS_WT,character
#Sailor_WT,character
#Shepherd_WT,character
#ShepherdsSon_WT,character
1.01,text_unit
1.02,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
