node1,node2,count
#ATTENDANTS.ALCIBIADES_Tim,#Alcibiades_Tim,5
#ATTENDANTS.ALCIBIADES_Tim,#SENATORS.0.1_Tim,4
#ATTENDANTS.ALCIBIADES_Tim,#SENATORS.0.2_Tim,3
#ATTENDANTS.ALCIBIADES_Tim,#SENATORS.0.3_Tim,2
#ATTENDANTS.TIMON.0.1_Tim,#SERVANTS.TIMON.1_Tim,1
#ATTENDANTS.TIMON.0.1_Tim,#SERVANTS.TIMON.2_Tim,1
#ATTENDANTS.TIMON.0.1_Tim,#SERVANTS.TIMON.3_Tim,1
#ATTENDANTS.TIMON_Tim,#ATTENDANTS.TIMON.0.1_Tim,8
#ATTENDANTS.TIMON_Tim,#Cupid_Tim,3
#ATTENDANTS.TIMON_Tim,#FRIENDS.Lucius_Tim,18
#ATTENDANTS.TIMON_Tim,#FRIENDS.Ventidius_Tim,18
#ATTENDANTS.TIMON_Tim,#Flavius_Tim,15
#ATTENDANTS.TIMON_Tim,#LADIES.0.1_Tim,11
#ATTENDANTS.TIMON_Tim,#LADIES_Tim,2
#ATTENDANTS.TIMON_Tim,#LORDS.0.1_Tim,17
#ATTENDANTS.TIMON_Tim,#LORDS.0.2_Tim,16
#ATTENDANTS.TIMON_Tim,#LORDS.0.3_Tim,15
#ATTENDANTS.TIMON_Tim,#LORDS_Tim,18
#ATTENDANTS.TIMON_Tim,#SERVANTS.TIMON.1_Tim,1
#ATTENDANTS.TIMON_Tim,#SERVANTS.TIMON.2_Tim,1
#ATTENDANTS.TIMON_Tim,#SERVANTS.TIMON.3_Tim,1
#ATTENDANTS.TIMON_Tim,#SERVANTS.TIMON.X.1_Tim,1
#ATTENDANTS_Tim,#SERVANTS.Caphis_Tim,1
#ATTENDANTS_Tim,#SERVANTS.ISIDORE.1_Tim,1
#ATTENDANTS_Tim,#SERVANTS.VARRO.1_Tim,1
#Alcibiades_Tim,#ATTENDANTS.TIMON.0.1_Tim,8
#Alcibiades_Tim,#ATTENDANTS.TIMON_Tim,18
#Alcibiades_Tim,#ATTENDANTS_Tim,1
#Alcibiades_Tim,#Cupid_Tim,3
#Alcibiades_Tim,#FRIENDS.Lucius_Tim,18
#Alcibiades_Tim,#FRIENDS.Ventidius_Tim,18
#Alcibiades_Tim,#Flavius_Tim,16
#Alcibiades_Tim,#LADIES.0.1_Tim,11
#Alcibiades_Tim,#LADIES_Tim,2
#Alcibiades_Tim,#LORDS.0.1_Tim,17
#Alcibiades_Tim,#LORDS.0.2_Tim,16
#Alcibiades_Tim,#LORDS.0.3_Tim,15
#Alcibiades_Tim,#LORDS_Tim,18
#Alcibiades_Tim,#Phrynia_Tim,1
#Alcibiades_Tim,#SENATORS.0.1_Tim,4
#Alcibiades_Tim,#SENATORS.0.2_Tim,3
#Alcibiades_Tim,#SENATORS.0.3_Tim,2
#Alcibiades_Tim,#SENATORS.1_Tim,2
#Alcibiades_Tim,#SENATORS.2_Tim,2
#Alcibiades_Tim,#SERVANTS.Caphis_Tim,1
#Alcibiades_Tim,#SERVANTS.ISIDORE.1_Tim,1
#Alcibiades_Tim,#SERVANTS.TIMON.1_Tim,1
#Alcibiades_Tim,#SERVANTS.TIMON.2_Tim,1
#Alcibiades_Tim,#SERVANTS.TIMON.3_Tim,1
#Alcibiades_Tim,#SERVANTS.TIMON.X.1_Tim,1
#Alcibiades_Tim,#SERVANTS.VARRO.1_Tim,1
#Alcibiades_Tim,#SOLDIERS.1_Tim,1
#Alcibiades_Tim,#SOLDIERS_Tim,3
#Alcibiades_Tim,#Timandra_Tim,1
#Apemantus_Tim,#ATTENDANTS.ALCIBIADES_Tim,1
#Apemantus_Tim,#ATTENDANTS.TIMON.0.1_Tim,10
#Apemantus_Tim,#ATTENDANTS.TIMON_Tim,18
#Apemantus_Tim,#Alcibiades_Tim,19
#Apemantus_Tim,#BANDITS.1_Tim,1
#Apemantus_Tim,#BANDITS.2_Tim,1
#Apemantus_Tim,#BANDITS.3_Tim,1
#Apemantus_Tim,#Cupid_Tim,3
#Apemantus_Tim,#FRIENDS.Lucius_Tim,18
#Apemantus_Tim,#FRIENDS.Ventidius_Tim,18
#Apemantus_Tim,#Flavius_Tim,16
#Apemantus_Tim,#Fool_Tim,4
#Apemantus_Tim,#LADIES.0.1_Tim,13
#Apemantus_Tim,#LADIES_Tim,2
#Apemantus_Tim,#LORDS.0.1_Tim,21
#Apemantus_Tim,#LORDS.0.2_Tim,19
#Apemantus_Tim,#LORDS.0.3_Tim,17
#Apemantus_Tim,#LORDS_Tim,20
#Apemantus_Tim,#MESSENGERS.X.2_Tim,1
#Apemantus_Tim,#SERVANTS.Caphis_Tim,4
#Apemantus_Tim,#SERVANTS.ISIDORE.1_Tim,4
#Apemantus_Tim,#SERVANTS.Page_Tim,1
#Apemantus_Tim,#SERVANTS.TIMON.1_Tim,1
#Apemantus_Tim,#SERVANTS.TIMON.2_Tim,1
#Apemantus_Tim,#SERVANTS.TIMON.3_Tim,1
#Apemantus_Tim,#SERVANTS.TIMON.X.1_Tim,1
#Apemantus_Tim,#SERVANTS.VARRO.1_Tim,4
#BANDITS.1_Tim,#BANDITS.2_Tim,2
#BANDITS.1_Tim,#BANDITS.3_Tim,2
#BANDITS.2_Tim,#BANDITS.3_Tim,2
#Cupid_Tim,#LADIES.0.1_Tim,1
#Cupid_Tim,#LADIES_Tim,2
#FRIENDS.0.1_Tim,#FRIENDS.0.2_Tim,7
#FRIENDS.0.1_Tim,#FRIENDS.0.3_Tim,5
#FRIENDS.0.1_Tim,#FRIENDS.0.4_Tim,1
#FRIENDS.0.1_Tim,#FRIENDS.0_Tim,4
#FRIENDS.0.1_Tim,#FRIENDS_Tim,7
#FRIENDS.0.2_Tim,#FRIENDS.0.3_Tim,5
#FRIENDS.0.2_Tim,#FRIENDS.0.4_Tim,1
#FRIENDS.0.2_Tim,#FRIENDS.0_Tim,4
#FRIENDS.0.2_Tim,#FRIENDS_Tim,6
#FRIENDS.0.3_Tim,#FRIENDS.0.4_Tim,1
#FRIENDS.0.3_Tim,#FRIENDS.0_Tim,4
#FRIENDS.0_Tim,#FRIENDS.0.4_Tim,1
#FRIENDS.Lucius_Tim,#ATTENDANTS.TIMON.0.1_Tim,8
#FRIENDS.Lucius_Tim,#Cupid_Tim,3
#FRIENDS.Lucius_Tim,#FRIENDS.Ventidius_Tim,18
#FRIENDS.Lucius_Tim,#Flavius_Tim,15
#FRIENDS.Lucius_Tim,#LADIES.0.1_Tim,11
#FRIENDS.Lucius_Tim,#LADIES_Tim,2
#FRIENDS.Lucius_Tim,#LORDS.0.1_Tim,17
#FRIENDS.Lucius_Tim,#LORDS.0.2_Tim,16
#FRIENDS.Lucius_Tim,#LORDS.0.3_Tim,15
#FRIENDS.Lucius_Tim,#LORDS_Tim,18
#FRIENDS.Lucius_Tim,#SERVANTS.TIMON.1_Tim,1
#FRIENDS.Lucius_Tim,#SERVANTS.TIMON.2_Tim,1
#FRIENDS.Lucius_Tim,#SERVANTS.TIMON.3_Tim,1
#FRIENDS.Lucius_Tim,#SERVANTS.TIMON.Servilius_Tim,1
#FRIENDS.Lucius_Tim,#SERVANTS.TIMON.X.1_Tim,1
#FRIENDS.Lucius_Tim,#STRANGERS.1_Tim,3
#FRIENDS.Lucius_Tim,#STRANGERS.2_Tim,3
#FRIENDS.Lucius_Tim,#STRANGERS.3_Tim,3
#FRIENDS.Ventidius_Tim,#ATTENDANTS.TIMON.0.1_Tim,8
