node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Bassianus_Tit,#Marcus_Tit,0,1,1,1,453,63,1
#Bassianus_Tit,#ROMANS_Tit,0,1,1,1,453,63,1
#Bassianus_Tit,#SENATORS_Tit,0,1,1,1,453,63,1
#Bassianus_Tit,#Saturninus_Tit,0,1,1,1,453,63,1
#Bassianus_Tit,#TRIBUNES_Tit,0,1,1,1,453,63,1
#Marcus_Tit,#ROMANS_Tit,0,1,1,1,453,63,1
#Marcus_Tit,#SENATORS_Tit,0,1,1,1,453,63,1
#Marcus_Tit,#Saturninus_Tit,0,1,1,1,453,63,1
#Marcus_Tit,#TRIBUNES_Tit,0,1,1,1,453,63,1
#ROMANS_Tit,#SENATORS_Tit,0,1,1,1,453,63,1
#ROMANS_Tit,#Saturninus_Tit,0,1,1,1,453,63,1
#ROMANS_Tit,#TRIBUNES_Tit,0,1,1,1,453,63,1
#SENATORS_Tit,#Saturninus_Tit,0,1,1,1,453,63,1
#SENATORS_Tit,#TRIBUNES_Tit,0,1,1,1,453,63,1
#Saturninus_Tit,#TRIBUNES_Tit,0,1,1,1,453,63,1
#ROMANS_Tit,#Captain_Tit,0,1,1,2,41,6,2
#Aaron_Tit,#Alarbus_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Chiron_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Demetrius_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Lucius_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Martius_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Mutius_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Quintus_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#ROMANS.0_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Tamora_Tit,0,1,1,3,454,60,3
#Aaron_Tit,#Titus_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Chiron_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Demetrius_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Lucius_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Martius_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Mutius_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Quintus_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#ROMANS.0_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Tamora_Tit,0,1,1,3,454,60,3
#Alarbus_Tit,#Titus_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Aaron_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Alarbus_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Chiron_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Demetrius_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Lucius_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Martius_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Mutius_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Quintus_Tit,0,1,1,3,454,60,3
#Captain_Tit,#ROMANS.0_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Tamora_Tit,0,1,1,3,454,60,3
#Captain_Tit,#Titus_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#Demetrius_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#Lucius_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#Martius_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#Mutius_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#Quintus_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#ROMANS.0_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#Tamora_Tit,0,1,1,3,454,60,3
#Chiron_Tit,#Titus_Tit,0,1,1,3,454,60,3
#Demetrius_Tit,#Lucius_Tit,0,1,1,3,454,60,3
#Demetrius_Tit,#Martius_Tit,0,1,1,3,454,60,3
#Demetrius_Tit,#Mutius_Tit,0,1,1,3,454,60,3
#Demetrius_Tit,#Quintus_Tit,0,1,1,3,454,60,3
#Demetrius_Tit,#ROMANS.0_Tit,0,1,1,3,454,60,3
#Demetrius_Tit,#Tamora_Tit,0,1,1,3,454,60,3
#Demetrius_Tit,#Titus_Tit,0,1,1,3,454,60,3
#Lucius_Tit,#Martius_Tit,0,1,1,3,454,60,3
#Lucius_Tit,#Mutius_Tit,0,1,1,3,454,60,3
