node1,node2,count
#ATTENDANTS_Tit,#Aemilius_Tit,6
#ATTENDANTS_Tit,#CountryFellow_Tit,1
#ATTENDANTS_Tit,#GOTHS.0.1_Tit,5
#ATTENDANTS_Tit,#GOTHS.0_Tit,1
#ATTENDANTS_Tit,#GOTHS_Tit,5
#ATTENDANTS_Tit,#Infant_Tit,5
#ATTENDANTS_Tit,#SERVANTS_Tit,1
#ATTENDANTS_Tit,#TRIBUNES.0.1_Tit,2
#ATTENDANTS_Tit,#YoungLucius_Tit,4
#Aaron_Tit,#ATTENDANTS_Tit,3
#Aaron_Tit,#Aemilius_Tit,2
#Aaron_Tit,#Alarbus_Tit,1
#Aaron_Tit,#Captain_Tit,10
#Aaron_Tit,#Chiron_Tit,15
#Aaron_Tit,#Demetrius_Tit,15
#Aaron_Tit,#GOTHS.0.1_Tit,5
#Aaron_Tit,#GOTHS.0.2_Tit,3
#Aaron_Tit,#GOTHS.0_Tit,3
#Aaron_Tit,#GOTHS_Tit,6
#Aaron_Tit,#GUARDS_Tit,3
#Aaron_Tit,#Infant_Tit,8
#Aaron_Tit,#Lavinia_Tit,10
#Aaron_Tit,#Lucius_Tit,17
#Aaron_Tit,#Martius_Tit,10
#Aaron_Tit,#Mutius_Tit,9
#Aaron_Tit,#Nurse_Tit,1
#Aaron_Tit,#Quintus_Tit,10
#Aaron_Tit,#ROMANS.0_Tit,11
#Aaron_Tit,#SERVANTS_Tit,1
#Aaron_Tit,#TRIBUNES.0.1_Tit,1
#Aaron_Tit,#Tamora_Tit,15
#Aaron_Tit,#Titus_Tit,16
#Aaron_Tit,#YoungLucius_Tit,2
#Aemilius_Tit,#GOTHS.0.2_Tit,1
#Aemilius_Tit,#GOTHS.0_Tit,2
#Aemilius_Tit,#TRIBUNES.0.1_Tit,2
#Bassianus_Tit,#ATTENDANTS_Tit,3
#Bassianus_Tit,#Aaron_Tit,8
#Bassianus_Tit,#Captain_Tit,3
#Bassianus_Tit,#Chiron_Tit,6
#Bassianus_Tit,#Demetrius_Tit,6
#Bassianus_Tit,#GUARDS_Tit,2
#Bassianus_Tit,#Lavinia_Tit,8
#Bassianus_Tit,#Lucius_Tit,6
#Bassianus_Tit,#Marcus_Tit,6
#Bassianus_Tit,#Martius_Tit,9
#Bassianus_Tit,#Mutius_Tit,3
#Bassianus_Tit,#Quintus_Tit,9
#Bassianus_Tit,#ROMANS.0_Tit,4
#Bassianus_Tit,#ROMANS_Tit,4
#Bassianus_Tit,#SENATORS_Tit,2
#Bassianus_Tit,#Saturninus_Tit,7
#Bassianus_Tit,#TRIBUNES_Tit,2
#Bassianus_Tit,#Tamora_Tit,10
#Bassianus_Tit,#Titus_Tit,6
#Caius_Tit,#CountryFellow_Tit,1
#Caius_Tit,#Publius_Tit,6
#Caius_Tit,#Sempronius_Tit,3
#Caius_Tit,#Valentine_Tit,3
#Captain_Tit,#Alarbus_Tit,1
#Captain_Tit,#Chiron_Tit,10
#Captain_Tit,#Demetrius_Tit,10
#Captain_Tit,#GUARDS_Tit,3
#Captain_Tit,#Lavinia_Tit,4
#Captain_Tit,#Lucius_Tit,8
#Captain_Tit,#Martius_Tit,6
#Captain_Tit,#Mutius_Tit,11
#Captain_Tit,#Quintus_Tit,6
#Captain_Tit,#ROMANS.0_Tit,12
#Captain_Tit,#Tamora_Tit,10
#Captain_Tit,#Titus_Tit,12
#Chiron_Tit,#ATTENDANTS_Tit,6
#Chiron_Tit,#Aemilius_Tit,1
#Chiron_Tit,#Alarbus_Tit,1
#Chiron_Tit,#Caius_Tit,3
#Chiron_Tit,#CountryFellow_Tit,1
#Chiron_Tit,#Demetrius_Tit,33
#Chiron_Tit,#GUARDS_Tit,3
#Chiron_Tit,#Infant_Tit,1
#Chiron_Tit,#Lavinia_Tit,9
#Chiron_Tit,#Lucius_Tit,9
#Chiron_Tit,#Martius_Tit,8
#Chiron_Tit,#Mutius_Tit,9
#Chiron_Tit,#Nurse_Tit,1
#Chiron_Tit,#Publius_Tit,3
#Chiron_Tit,#Quintus_Tit,8
#Chiron_Tit,#ROMANS.0_Tit,11
#Chiron_Tit,#SERVANTS_Tit,1
#Chiron_Tit,#Tamora_Tit,24
#Chiron_Tit,#Titus_Tit,19
#Chiron_Tit,#Valentine_Tit,3
#Chiron_Tit,#YoungLucius_Tit,1
#Demetrius_Tit,#ATTENDANTS_Tit,6
