node1,node2,count
#ATTENDANTS_Tit,#Aemilius_Tit,2
#ATTENDANTS_Tit,#CountryFellow_Tit,1
#ATTENDANTS_Tit,#GOTHS.0.1_Tit,1
#ATTENDANTS_Tit,#GOTHS.0_Tit,1
#ATTENDANTS_Tit,#GOTHS_Tit,1
#ATTENDANTS_Tit,#Infant_Tit,1
#ATTENDANTS_Tit,#SERVANTS_Tit,1
#ATTENDANTS_Tit,#TRIBUNES.0.1_Tit,1
#ATTENDANTS_Tit,#YoungLucius_Tit,1
#Aaron_Tit,#ATTENDANTS_Tit,2
#Aaron_Tit,#Aemilius_Tit,2
#Aaron_Tit,#Alarbus_Tit,1
#Aaron_Tit,#Bassianus_Tit,2
#Aaron_Tit,#Captain_Tit,1
#Aaron_Tit,#Chiron_Tit,4
#Aaron_Tit,#Demetrius_Tit,4
#Aaron_Tit,#GOTHS.0.1_Tit,2
#Aaron_Tit,#GOTHS.0.2_Tit,1
#Aaron_Tit,#GOTHS.0_Tit,2
#Aaron_Tit,#GOTHS_Tit,2
#Aaron_Tit,#GUARDS_Tit,1
#Aaron_Tit,#Infant_Tit,3
#Aaron_Tit,#Lavinia_Tit,4
#Aaron_Tit,#Lucius_Tit,5
#Aaron_Tit,#Marcus_Tit,3
#Aaron_Tit,#Martius_Tit,3
#Aaron_Tit,#Messenger_Tit,1
#Aaron_Tit,#Mutius_Tit,1
#Aaron_Tit,#Nurse_Tit,1
#Aaron_Tit,#Quintus_Tit,3
#Aaron_Tit,#ROMANS.0_Tit,1
#Aaron_Tit,#ROMANS_Tit,1
#Aaron_Tit,#SENATORS_Tit,2
#Aaron_Tit,#SERVANTS_Tit,2
#Aaron_Tit,#Saturninus_Tit,3
#Aaron_Tit,#TRIBUNES.0.1_Tit,1
#Aaron_Tit,#TRIBUNES_Tit,3
#Aaron_Tit,#Tamora_Tit,3
#Aaron_Tit,#Titus_Tit,4
#Aaron_Tit,#YoungLucius_Tit,2
#Aemilius_Tit,#CountryFellow_Tit,1
#Aemilius_Tit,#GOTHS.0.1_Tit,2
#Aemilius_Tit,#GOTHS.0.2_Tit,1
#Aemilius_Tit,#GOTHS.0_Tit,2
#Aemilius_Tit,#GOTHS_Tit,2
#Aemilius_Tit,#TRIBUNES.0.1_Tit,1
#Alarbus_Tit,#Bassianus_Tit,1
#Alarbus_Tit,#Captain_Tit,1
#Alarbus_Tit,#Chiron_Tit,1
#Alarbus_Tit,#Demetrius_Tit,1
#Alarbus_Tit,#GUARDS_Tit,1
#Alarbus_Tit,#Lavinia_Tit,1
#Alarbus_Tit,#Lucius_Tit,1
#Alarbus_Tit,#Marcus_Tit,1
#Alarbus_Tit,#Martius_Tit,1
#Alarbus_Tit,#Mutius_Tit,1
#Alarbus_Tit,#Quintus_Tit,1
#Alarbus_Tit,#ROMANS.0_Tit,1
#Alarbus_Tit,#ROMANS_Tit,1
#Alarbus_Tit,#SENATORS_Tit,1
#Alarbus_Tit,#Saturninus_Tit,1
#Alarbus_Tit,#TRIBUNES_Tit,1
#Alarbus_Tit,#Tamora_Tit,1
#Alarbus_Tit,#Titus_Tit,1
#Bassianus_Tit,#ATTENDANTS_Tit,2
#Bassianus_Tit,#Captain_Tit,1
#Bassianus_Tit,#Chiron_Tit,3
#Bassianus_Tit,#Demetrius_Tit,3
#Bassianus_Tit,#GUARDS_Tit,1
#Bassianus_Tit,#Lavinia_Tit,3
#Bassianus_Tit,#Lucius_Tit,3
#Bassianus_Tit,#Marcus_Tit,2
#Bassianus_Tit,#Martius_Tit,3
#Bassianus_Tit,#Mutius_Tit,1
#Bassianus_Tit,#Quintus_Tit,3
#Bassianus_Tit,#ROMANS.0_Tit,1
#Bassianus_Tit,#ROMANS_Tit,1
#Bassianus_Tit,#SENATORS_Tit,1
#Bassianus_Tit,#Saturninus_Tit,3
#Bassianus_Tit,#TRIBUNES_Tit,1
#Bassianus_Tit,#Tamora_Tit,3
#Bassianus_Tit,#Titus_Tit,3
#Caius_Tit,#Publius_Tit,2
#Caius_Tit,#Sempronius_Tit,1
#Caius_Tit,#Valentine_Tit,1
