source,target,n_lines,n_tokens,edge_type
#ATTENDANTS_Tit,5.03.0080,1,6,active
#ATTENDANTS_Tit,5.03.0081,1,6,active
#Aaron_Tit,2.01.0020,25,173,active
#Aaron_Tit,2.01.0021,65,469,active
#Aaron_Tit,2.03.0024,9,68,active
#Aaron_Tit,2.03.0025,21,153,active
#Aaron_Tit,2.03.0026,3,23,active
#Aaron_Tit,2.03.0030,6,51,active
#Aaron_Tit,2.03.0033,1,9,active
#Aaron_Tit,3.01.0040,9,75,active
#Aaron_Tit,3.01.0041,4,33,active
#Aaron_Tit,3.01.0042,6,53,active
#Aaron_Tit,4.02.0050,1,8,active
#Aaron_Tit,4.02.0051,18,142,active
#Aaron_Tit,4.02.0052,85,671,active
#Aaron_Tit,4.02.0053,9,79,active
#Aaron_Tit,5.01.0064,61,500,active
#Aaron_Tit,5.01.0065,26,214,active
#Aaron_Tit,5.03.0078,3,23,active
#Aaron_Tit,5.03.0082,7,61,active
#Aemilius_Tit,4.04.0060,8,57,active
#Aemilius_Tit,5.01.0066,6,44,active
#Aemilius_Tit,5.03.0080,4,31,active
#Bassianus_Tit,1.01.0001,19,130,active
#Bassianus_Tit,1.01.0007,5,38,active
#Bassianus_Tit,1.01.0008,3,23,active
#Bassianus_Tit,1.01.0009,2,13,active
#Bassianus_Tit,1.01.0019,19,159,active
#Bassianus_Tit,2.02.0023,1,4,active
#Bassianus_Tit,2.03.0027,14,94,active
#Captain_Tit,1.01.0002,6,41,active
#Chiron_Tit,1.01.0004,1,6,active
#Chiron_Tit,2.01.0021,20,151,active
#Chiron_Tit,2.03.0028,11,87,active
#Chiron_Tit,2.04.0034,4,36,active
#Chiron_Tit,4.02.0050,2,13,active
#Chiron_Tit,4.02.0051,5,41,active
#Chiron_Tit,4.02.0052,6,35,active
#Chiron_Tit,5.02.0070,2,18,active
#Chiron_Tit,5.02.0073,1,9,active
#Chiron_Tit,5.02.0075,1,7,active
#CountryFellow_Tit,4.03.0055,17,123,active
#CountryFellow_Tit,4.04.0058,8,50,active
#Demetrius_Tit,1.01.0004,10,70,active
#Demetrius_Tit,2.01.0021,33,250,active
#Demetrius_Tit,2.02.0023,2,18,active
#Demetrius_Tit,2.03.0028,13,105,active
#Demetrius_Tit,2.04.0034,6,57,active
#Demetrius_Tit,4.02.0050,1,6,active
#Demetrius_Tit,4.02.0051,12,82,active
#Demetrius_Tit,4.02.0052,15,117,active
#Demetrius_Tit,5.02.0070,1,8,active
#Demetrius_Tit,5.02.0072,1,7,active
#GOTHS.0.1_Tit,5.01.0063,8,58,active
#GOTHS.0.1_Tit,5.03.0078,1,8,active
#GOTHS.0.2_Tit,5.01.0064,20,160,active
#GOTHS.0_Tit,5.01.0065,1,9,active
#GOTHS.0_Tit,5.01.0066,3,19,active
#GOTHS_Tit,5.01.0063,1,10,active
#Lavinia_Tit,1.01.0006,8,62,active
#Lavinia_Tit,1.01.0007,2,13,active
#Lavinia_Tit,2.02.0023,2,12,active
#Lavinia_Tit,2.03.0027,13,98,active
#Lavinia_Tit,2.03.0028,34,272,active
#Lucius_Tit,1.01.0003,9,71,active
#Lucius_Tit,1.01.0005,6,44,active
#Lucius_Tit,1.01.0007,2,12,active
#Lucius_Tit,1.01.0008,1,9,active
#Lucius_Tit,1.01.0012,2,17,active
#Lucius_Tit,1.01.0013,2,16,active
