node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Pandarus_Tro,#Troilus_Tro,0,1,1,2,707,90,2
#Troilus_Tro,#Aeneas_Tro,0,1,1,4,93,14,4
#Alexander_Tro,#Cressida_Tro,0,1,2,5,293,40,5
#Alexander_Tro,#Cressida_Tro,1,1,2,6,1006,149,6
#Pandarus_Tro,#Alexander_Tro,0,1,2,6,1006,149,6
#Pandarus_Tro,#Cressida_Tro,0,1,2,6,1006,149,6
#Pandarus_Tro,#Cressida_Tro,1,1,2,7,676,89,7
#Cressida_Tro,#Boy_Tro,0,1,2,8,23,4,8
#Pandarus_Tro,#Boy_Tro,0,1,2,8,23,4,8
#Pandarus_Tro,#Cressida_Tro,2,1,2,8,23,4,8
#Pandarus_Tro,#Cressida_Tro,3,1,2,9,37,6,9
#ATTENDANTS.GREEK_Tro,#Agamemnon_Tro,0,1,3,11,1575,218,11
#ATTENDANTS.GREEK_Tro,#Diomedes_Tro,0,1,3,11,1575,218,11
#ATTENDANTS.GREEK_Tro,#Menelaus_Tro,0,1,3,11,1575,218,11
#ATTENDANTS.GREEK_Tro,#Nestor_Tro,0,1,3,11,1575,218,11
#ATTENDANTS.GREEK_Tro,#Ulysses_Tro,0,1,3,11,1575,218,11
#Agamemnon_Tro,#Diomedes_Tro,0,1,3,11,1575,218,11
#Agamemnon_Tro,#Menelaus_Tro,0,1,3,11,1575,218,11
#Agamemnon_Tro,#Nestor_Tro,0,1,3,11,1575,218,11
#Agamemnon_Tro,#Ulysses_Tro,0,1,3,11,1575,218,11
#Diomedes_Tro,#Menelaus_Tro,0,1,3,11,1575,218,11
#Diomedes_Tro,#Nestor_Tro,0,1,3,11,1575,218,11
#Diomedes_Tro,#Ulysses_Tro,0,1,3,11,1575,218,11
#Menelaus_Tro,#Nestor_Tro,0,1,3,11,1575,218,11
#Menelaus_Tro,#Ulysses_Tro,0,1,3,11,1575,218,11
#Nestor_Tro,#Ulysses_Tro,0,1,3,11,1575,218,11
#ATTENDANTS.GREEK_Tro,#Agamemnon_Tro,1,1,3,12,745,99,12
#ATTENDANTS.GREEK_Tro,#Diomedes_Tro,1,1,3,12,745,99,12
#ATTENDANTS.GREEK_Tro,#Menelaus_Tro,1,1,3,12,745,99,12
#ATTENDANTS.GREEK_Tro,#Nestor_Tro,1,1,3,12,745,99,12
#ATTENDANTS.GREEK_Tro,#Trumpeter_Tro,0,1,3,12,745,99,12
#ATTENDANTS.GREEK_Tro,#Ulysses_Tro,1,1,3,12,745,99,12
#Aeneas_Tro,#ATTENDANTS.GREEK_Tro,0,1,3,12,745,99,12
#Aeneas_Tro,#Agamemnon_Tro,0,1,3,12,745,99,12
#Aeneas_Tro,#Diomedes_Tro,0,1,3,12,745,99,12
#Aeneas_Tro,#Menelaus_Tro,0,1,3,12,745,99,12
#Aeneas_Tro,#Nestor_Tro,0,1,3,12,745,99,12
#Aeneas_Tro,#Trumpeter_Tro,0,1,3,12,745,99,12
#Aeneas_Tro,#Ulysses_Tro,0,1,3,12,745,99,12
#Agamemnon_Tro,#Diomedes_Tro,1,1,3,12,745,99,12
#Agamemnon_Tro,#Menelaus_Tro,1,1,3,12,745,99,12
#Agamemnon_Tro,#Nestor_Tro,1,1,3,12,745,99,12
#Agamemnon_Tro,#Trumpeter_Tro,0,1,3,12,745,99,12
#Agamemnon_Tro,#Ulysses_Tro,1,1,3,12,745,99,12
#Diomedes_Tro,#Menelaus_Tro,1,1,3,12,745,99,12
#Diomedes_Tro,#Nestor_Tro,1,1,3,12,745,99,12
#Diomedes_Tro,#Trumpeter_Tro,0,1,3,12,745,99,12
#Diomedes_Tro,#Ulysses_Tro,1,1,3,12,745,99,12
#Menelaus_Tro,#Nestor_Tro,1,1,3,12,745,99,12
#Menelaus_Tro,#Trumpeter_Tro,0,1,3,12,745,99,12
#Menelaus_Tro,#Ulysses_Tro,1,1,3,12,745,99,12
#Nestor_Tro,#Trumpeter_Tro,0,1,3,12,745,99,12
#Nestor_Tro,#Ulysses_Tro,1,1,3,12,745,99,12
#Ulysses_Tro,#Trumpeter_Tro,0,1,3,12,745,99,12
#Nestor_Tro,#Ulysses_Tro,2,1,3,13,600,82,13
#Ajax_Tro,#Thersites_Tro,0,2,1,14,338,56,14
#Achilles_Tro,#Patroclus_Tro,0,2,1,15,441,67,15
#Ajax_Tro,#Achilles_Tro,0,2,1,15,441,67,15
#Ajax_Tro,#Patroclus_Tro,0,2,1,15,441,67,15
#Ajax_Tro,#Thersites_Tro,1,2,1,15,441,67,15
#Thersites_Tro,#Achilles_Tro,0,2,1,15,441,67,15
#Thersites_Tro,#Patroclus_Tro,0,2,1,15,441,67,15
#Achilles_Tro,#Patroclus_Tro,1,2,1,16,72,10,16
#Ajax_Tro,#Achilles_Tro,1,2,1,16,72,10,16
#Ajax_Tro,#Patroclus_Tro,1,2,1,16,72,10,16
#Hector_Tro,#Helenus_Tro,0,2,2,18,773,102,18
#Hector_Tro,#Paris_Tro,0,2,2,18,773,102,18
#Hector_Tro,#Priam_Tro,0,2,2,18,773,102,18
#Helenus_Tro,#Paris_Tro,0,2,2,18,773,102,18
#Helenus_Tro,#Priam_Tro,0,2,2,18,773,102,18
#Paris_Tro,#Priam_Tro,0,2,2,18,773,102,18
#Troilus_Tro,#Hector_Tro,0,2,2,18,773,102,18
#Troilus_Tro,#Helenus_Tro,0,2,2,18,773,102,18
#Troilus_Tro,#Paris_Tro,0,2,2,18,773,102,18
#Troilus_Tro,#Priam_Tro,0,2,2,18,773,102,18
#Hector_Tro,#Cassandra_Tro,0,2,2,19,113,17,19
#Hector_Tro,#Helenus_Tro,1,2,2,19,113,17,19
#Hector_Tro,#Paris_Tro,1,2,2,19,113,17,19
#Hector_Tro,#Priam_Tro,1,2,2,19,113,17,19
#Helenus_Tro,#Cassandra_Tro,0,2,2,19,113,17,19
#Helenus_Tro,#Paris_Tro,1,2,2,19,113,17,19
#Helenus_Tro,#Priam_Tro,1,2,2,19,113,17,19
#Paris_Tro,#Cassandra_Tro,0,2,2,19,113,17,19
#Paris_Tro,#Priam_Tro,1,2,2,19,113,17,19
#Priam_Tro,#Cassandra_Tro,0,2,2,19,113,17,19
#Troilus_Tro,#Cassandra_Tro,0,2,2,19,113,17,19
#Troilus_Tro,#Hector_Tro,1,2,2,19,113,17,19
#Troilus_Tro,#Helenus_Tro,1,2,2,19,113,17,19
#Troilus_Tro,#Paris_Tro,1,2,2,19,113,17,19
#Troilus_Tro,#Priam_Tro,1,2,2,19,113,17,19
#Hector_Tro,#Helenus_Tro,2,2,2,20,762,104,20
#Hector_Tro,#Paris_Tro,2,2,2,20,762,104,20
#Hector_Tro,#Priam_Tro,2,2,2,20,762,104,20
#Helenus_Tro,#Paris_Tro,2,2,2,20,762,104,20
#Helenus_Tro,#Priam_Tro,2,2,2,20,762,104,20
#Paris_Tro,#Priam_Tro,2,2,2,20,762,104,20
#Troilus_Tro,#Hector_Tro,2,2,2,20,762,104,20
#Troilus_Tro,#Helenus_Tro,2,2,2,20,762,104,20
#Troilus_Tro,#Paris_Tro,2,2,2,20,762,104,20
#Troilus_Tro,#Priam_Tro,2,2,2,20,762,104,20
#Thersites_Tro,#Patroclus_Tro,1,2,3,22,111,17,22
#Achilles_Tro,#Patroclus_Tro,2,2,3,23,179,32,23
#Thersites_Tro,#Achilles_Tro,1,2,3,23,179,32,23
#Thersites_Tro,#Patroclus_Tro,2,2,3,23,179,32,23
#Achilles_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Achilles_Tro,#Patroclus_Tro,3,2,3,24,15,3,24
#Agamemnon_Tro,#Achilles_Tro,0,2,3,24,15,3,24
#Agamemnon_Tro,#Ajax_Tro,0,2,3,24,15,3,24
#Agamemnon_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Agamemnon_Tro,#Diomedes_Tro,2,2,3,24,15,3,24
#Agamemnon_Tro,#Nestor_Tro,2,2,3,24,15,3,24
#Agamemnon_Tro,#Patroclus_Tro,0,2,3,24,15,3,24
#Agamemnon_Tro,#Thersites_Tro,0,2,3,24,15,3,24
#Agamemnon_Tro,#Ulysses_Tro,2,2,3,24,15,3,24
#Ajax_Tro,#Achilles_Tro,2,2,3,24,15,3,24
#Ajax_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Ajax_Tro,#Patroclus_Tro,2,2,3,24,15,3,24
#Ajax_Tro,#Thersites_Tro,2,2,3,24,15,3,24
#Diomedes_Tro,#Achilles_Tro,0,2,3,24,15,3,24
#Diomedes_Tro,#Ajax_Tro,0,2,3,24,15,3,24
#Diomedes_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Diomedes_Tro,#Nestor_Tro,2,2,3,24,15,3,24
#Diomedes_Tro,#Patroclus_Tro,0,2,3,24,15,3,24
#Diomedes_Tro,#Thersites_Tro,0,2,3,24,15,3,24
#Diomedes_Tro,#Ulysses_Tro,2,2,3,24,15,3,24
#Nestor_Tro,#Achilles_Tro,0,2,3,24,15,3,24
#Nestor_Tro,#Ajax_Tro,0,2,3,24,15,3,24
#Nestor_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Nestor_Tro,#Patroclus_Tro,0,2,3,24,15,3,24
#Nestor_Tro,#Thersites_Tro,0,2,3,24,15,3,24
#Nestor_Tro,#Ulysses_Tro,3,2,3,24,15,3,24
#Patroclus_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Thersites_Tro,#Achilles_Tro,2,2,3,24,15,3,24
#Thersites_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Thersites_Tro,#Patroclus_Tro,3,2,3,24,15,3,24
#Ulysses_Tro,#Achilles_Tro,0,2,3,24,15,3,24
#Ulysses_Tro,#Ajax_Tro,0,2,3,24,15,3,24
#Ulysses_Tro,#Calchas_Tro,0,2,3,24,15,3,24
#Ulysses_Tro,#Patroclus_Tro,0,2,3,24,15,3,24
#Ulysses_Tro,#Thersites_Tro,0,2,3,24,15,3,24
#Agamemnon_Tro,#Ajax_Tro,1,2,3,25,43,5,25
#Agamemnon_Tro,#Calchas_Tro,1,2,3,25,43,5,25
#Agamemnon_Tro,#Diomedes_Tro,3,2,3,25,43,5,25
#Agamemnon_Tro,#Nestor_Tro,3,2,3,25,43,5,25
#Agamemnon_Tro,#Patroclus_Tro,1,2,3,25,43,5,25
#Agamemnon_Tro,#Thersites_Tro,1,2,3,25,43,5,25
#Agamemnon_Tro,#Ulysses_Tro,3,2,3,25,43,5,25
#Ajax_Tro,#Calchas_Tro,1,2,3,25,43,5,25
#Ajax_Tro,#Patroclus_Tro,3,2,3,25,43,5,25
#Ajax_Tro,#Thersites_Tro,3,2,3,25,43,5,25
#Diomedes_Tro,#Ajax_Tro,1,2,3,25,43,5,25
#Diomedes_Tro,#Calchas_Tro,1,2,3,25,43,5,25
#Diomedes_Tro,#Nestor_Tro,3,2,3,25,43,5,25
#Diomedes_Tro,#Patroclus_Tro,1,2,3,25,43,5,25
