node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#Aeneas_Tro,#Pandarus_Tro,0,1,1,928,120,2
#Aeneas_Tro,#Troilus_Tro,0,1,1,928,120,2
#Pandarus_Tro,#Troilus_Tro,0,1,1,928,120,2
#Alexander_Tro,#Boy_Tro,0,1,2,2147,302,3
#Alexander_Tro,#Cressida_Tro,0,1,2,2147,302,3
#Boy_Tro,#Cressida_Tro,0,1,2,2147,302,3
#Pandarus_Tro,#Alexander_Tro,0,1,2,2147,302,3
#Pandarus_Tro,#Boy_Tro,0,1,2,2147,302,3
#Pandarus_Tro,#Cressida_Tro,0,1,2,2147,302,3
#ATTENDANTS.GREEK_Tro,#Agamemnon_Tro,0,1,3,2920,399,4
#ATTENDANTS.GREEK_Tro,#Diomedes_Tro,0,1,3,2920,399,4
#ATTENDANTS.GREEK_Tro,#Menelaus_Tro,0,1,3,2920,399,4
#ATTENDANTS.GREEK_Tro,#Nestor_Tro,0,1,3,2920,399,4
#ATTENDANTS.GREEK_Tro,#Trumpeter_Tro,0,1,3,2920,399,4
#ATTENDANTS.GREEK_Tro,#Ulysses_Tro,0,1,3,2920,399,4
#Aeneas_Tro,#ATTENDANTS.GREEK_Tro,0,1,3,2920,399,4
#Aeneas_Tro,#Agamemnon_Tro,0,1,3,2920,399,4
#Aeneas_Tro,#Diomedes_Tro,0,1,3,2920,399,4
#Aeneas_Tro,#Menelaus_Tro,0,1,3,2920,399,4
#Aeneas_Tro,#Nestor_Tro,0,1,3,2920,399,4
#Aeneas_Tro,#Trumpeter_Tro,0,1,3,2920,399,4
#Aeneas_Tro,#Ulysses_Tro,0,1,3,2920,399,4
#Agamemnon_Tro,#Diomedes_Tro,0,1,3,2920,399,4
#Agamemnon_Tro,#Menelaus_Tro,0,1,3,2920,399,4
#Agamemnon_Tro,#Nestor_Tro,0,1,3,2920,399,4
#Agamemnon_Tro,#Trumpeter_Tro,0,1,3,2920,399,4
#Agamemnon_Tro,#Ulysses_Tro,0,1,3,2920,399,4
#Diomedes_Tro,#Menelaus_Tro,0,1,3,2920,399,4
#Diomedes_Tro,#Nestor_Tro,0,1,3,2920,399,4
#Diomedes_Tro,#Trumpeter_Tro,0,1,3,2920,399,4
#Diomedes_Tro,#Ulysses_Tro,0,1,3,2920,399,4
#Menelaus_Tro,#Nestor_Tro,0,1,3,2920,399,4
#Menelaus_Tro,#Trumpeter_Tro,0,1,3,2920,399,4
#Menelaus_Tro,#Ulysses_Tro,0,1,3,2920,399,4
