act,scene,stagegroup,n_tokens,n_lines,onstage
0,0,1,224,31,#Prologue_Tro
1,1,2,707,90,#Pandarus_Tro #Troilus_Tro
1,1,3,128,16,#Troilus_Tro
1,1,4,93,14,#Aeneas_Tro #Troilus_Tro
1,2,5,293,40,#Alexander_Tro #Cressida_Tro
1,2,6,1006,149,#Alexander_Tro #Cressida_Tro #Pandarus_Tro
1,2,7,676,89,#Cressida_Tro #Pandarus_Tro
1,2,8,23,4,#Boy_Tro #Cressida_Tro #Pandarus_Tro
1,2,9,37,6,#Cressida_Tro #Pandarus_Tro
1,2,10,112,14,#Cressida_Tro
1,3,11,1575,218,#ATTENDANTS.GREEK_Tro #Agamemnon_Tro #Diomedes_Tro #Menelaus_Tro #Nestor_Tro #Ulysses_Tro
1,3,12,745,99,#ATTENDANTS.GREEK_Tro #Aeneas_Tro #Agamemnon_Tro #Diomedes_Tro #Menelaus_Tro #Nestor_Tro #Trumpeter_Tro #Ulysses_Tro
1,3,13,600,82,#Nestor_Tro #Ulysses_Tro
2,1,14,338,56,#Ajax_Tro #Thersites_Tro
2,1,15,441,67,#Achilles_Tro #Ajax_Tro #Patroclus_Tro #Thersites_Tro
2,1,16,72,10,#Achilles_Tro #Ajax_Tro #Patroclus_Tro
2,1,17,10,1,#Ajax_Tro
2,2,18,773,102,#Hector_Tro #Helenus_Tro #Paris_Tro #Priam_Tro #Troilus_Tro
2,2,19,113,17,#Cassandra_Tro #Hector_Tro #Helenus_Tro #Paris_Tro #Priam_Tro #Troilus_Tro
2,2,20,762,104,#Hector_Tro #Helenus_Tro #Paris_Tro #Priam_Tro #Troilus_Tro
2,3,21,197,23,#Thersites_Tro
2,3,22,111,17,#Patroclus_Tro #Thersites_Tro
2,3,23,179,32,#Achilles_Tro #Patroclus_Tro #Thersites_Tro
2,3,24,15,3,#Achilles_Tro #Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro #Patroclus_Tro #Thersites_Tro #Ulysses_Tro
2,3,25,43,5,#Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro #Patroclus_Tro #Thersites_Tro #Ulysses_Tro
2,3,26,63,9,#Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro #Patroclus_Tro #Ulysses_Tro
2,3,27,122,19,#Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro #Ulysses_Tro
2,3,28,301,41,#Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro #Patroclus_Tro #Ulysses_Tro
2,3,29,144,19,#Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro
2,3,30,765,110,#Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro #Ulysses_Tro
3,1,31,257,41,#Pandarus_Tro #SERVANTS.PARIS.1_Tro
3,1,32,692,105,#ATTENDANTS.TROJAN_Tro #Helen_Tro #Pandarus_Tro #Paris_Tro #SERVANTS.PARIS.1_Tro
3,1,33,97,12,#ATTENDANTS.TROJAN_Tro #Helen_Tro #Paris_Tro #SERVANTS.PARIS.1_Tro
3,2,34,19,3,#Pandarus_Tro #SERVANTS.TROILUS.1_Tro
3,2,35,11,2,#Pandarus_Tro #SERVANTS.TROILUS.1_Tro #Troilus_Tro
3,2,36,73,11,#Pandarus_Tro #Troilus_Tro
3,2,37,86,12,#Troilus_Tro
3,2,38,48,5,#Pandarus_Tro #Troilus_Tro
3,2,39,33,5,#Troilus_Tro
3,2,40,186,22,#Cressida_Tro #Pandarus_Tro #Troilus_Tro
3,2,41,315,39,#Cressida_Tro #Troilus_Tro
3,2,42,853,113,#Cressida_Tro #Pandarus_Tro #Troilus_Tro
3,2,43,14,2,#Pandarus_Tro
3,3,44,285,38,#Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Menelaus_Tro #Nestor_Tro #Ulysses_Tro
3,3,45,180,25,#Achilles_Tro #Agamemnon_Tro #Ajax_Tro #Menelaus_Tro #Nestor_Tro #Patroclus_Tro #Ulysses_Tro
3,3,46,10,2,#Achilles_Tro #Ajax_Tro #Menelaus_Tro #Patroclus_Tro #Ulysses_Tro
3,3,47,21,6,#Achilles_Tro #Ajax_Tro #Patroclus_Tro #Ulysses_Tro
3,3,48,1147,153,#Achilles_Tro #Patroclus_Tro #Ulysses_Tro
3,3,49,207,28,#Achilles_Tro #Patroclus_Tro
3,3,50,460,72,#Achilles_Tro #Patroclus_Tro #Thersites_Tro
3,3,51,31,3,#Thersites_Tro
4,1,52,389,55,#ATTENDANTS.GREEK_Tro #Aeneas_Tro #Antenor_Tro #Deiphobus_Tro #Diomedes_Tro #Paris_Tro #SERVANTS.AENEAS.1_Tro
4,1,53,229,30,#ATTENDANTS.GREEK_Tro #Antenor_Tro #Deiphobus_Tro #Diomedes_Tro #Paris_Tro
4,2,54,153,22,#Cressida_Tro #Troilus_Tro
4,2,55,181,23,#Cressida_Tro #Pandarus_Tro #Troilus_Tro
4,2,56,11,2,#Pandarus_Tro
4,2,57,121,15,#Aeneas_Tro #Pandarus_Tro
4,2,58,117,17,#Aeneas_Tro #Pandarus_Tro #Troilus_Tro
4,2,59,29,4,#Pandarus_Tro
4,2,60,245,32,#Cressida_Tro #Pandarus_Tro
4,3,61,73,10,#Aeneas_Tro #Antenor_Tro #Deiphobus_Tro #Diomedes_Tro #Paris_Tro #Troilus_Tro
4,3,62,21,3,#Aeneas_Tro #Antenor_Tro #Deiphobus_Tro #Diomedes_Tro #Paris_Tro
4,4,63,75,10,#Cressida_Tro #Pandarus_Tro
4,4,64,278,40,#Cressida_Tro #Pandarus_Tro #Troilus_Tro
4,4,65,49,6,#Aeneas_Tro #Cressida_Tro #Pandarus_Tro #Troilus_Tro
4,4,66,331,49,#Aeneas_Tro #Cressida_Tro #Troilus_Tro
4,4,67,81,11,#Aeneas_Tro #Cressida_Tro #Paris_Tro #Troilus_Tro
