act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
0,0,1,#Prologue_Tro,224,31,224,31
1,1,2,#Pandarus_Tro,350,40,707,90
1,1,2,#Troilus_Tro,357,50,707,90
1,1,3,#Troilus_Tro,128,16,128,16
1,1,4,#Aeneas_Tro,30,5,93,14
1,1,4,#Troilus_Tro,63,9,93,14
1,2,5,#Alexander_Tro,248,32,293,40
1,2,5,#Cressida_Tro,45,8,293,40
1,2,6,#Alexander_Tro,11,2,1006,149
1,2,6,#Cressida_Tro,346,56,1006,149
1,2,6,#Pandarus_Tro,649,91,1006,149
1,2,7,#Cressida_Tro,171,26,676,89
1,2,7,#Pandarus_Tro,505,63,676,89
1,2,8,#Boy_Tro,16,2,23,4
1,2,8,#Pandarus_Tro,7,2,23,4
1,2,9,#Cressida_Tro,13,3,37,6
1,2,9,#Pandarus_Tro,24,3,37,6
1,2,10,#Cressida_Tro,112,14,112,14
1,3,11,#Agamemnon_Tro,279,38,1575,218
1,3,11,#Menelaus_Tro,2,1,1575,218
1,3,11,#Nestor_Tro,292,41,1575,218
1,3,11,#Ulysses_Tro,1002,138,1575,218
1,3,12,#Aeneas_Tro,444,59,745,99
1,3,12,#Agamemnon_Tro,202,28,745,99
1,3,12,#Nestor_Tro,98,11,745,99
1,3,12,#Ulysses_Tro,1,1,745,99
1,3,13,#Nestor_Tro,292,41,600,82
1,3,13,#Ulysses_Tro,308,41,600,82
2,1,14,#Ajax_Tro,58,17,338,56
2,1,14,#Thersites_Tro,280,39,338,56
2,1,15,#Achilles_Tro,91,19,441,67
2,1,15,#Ajax_Tro,39,6,441,67
2,1,15,#Patroclus_Tro,8,2,441,67
2,1,15,#Thersites_Tro,303,40,441,67
2,1,16,#Achilles_Tro,64,8,72,10
2,1,16,#Ajax_Tro,5,1,72,10
2,1,16,#Patroclus_Tro,3,1,72,10
2,1,17,#Ajax_Tro,10,1,10,1
2,2,18,#Hector_Tro,209,28,773,102
2,2,18,#Helenus_Tro,37,4,773,102
2,2,18,#Priam_Tro,54,7,773,102
2,2,18,#Troilus_Tro,473,63,773,102
2,2,19,#Cassandra_Tro,92,13,113,17
2,2,19,#Hector_Tro,6,2,113,17
2,2,19,#Priam_Tro,6,1,113,17
2,2,19,#Troilus_Tro,9,1,113,17
2,2,20,#Hector_Tro,315,45,762,104
2,2,20,#Paris_Tro,231,30,762,104
2,2,20,#Priam_Tro,28,4,762,104
2,2,20,#Troilus_Tro,188,25,762,104
2,3,21,#Thersites_Tro,197,23,197,23
2,3,22,#Patroclus_Tro,18,5,111,17
2,3,22,#Thersites_Tro,93,12,111,17
2,3,23,#Achilles_Tro,43,9,179,32
2,3,23,#Patroclus_Tro,26,6,179,32
2,3,23,#Thersites_Tro,110,17,179,32
2,3,24,#Achilles_Tro,10,2,15,3
2,3,24,#Thersites_Tro,5,1,15,3
2,3,25,#Thersites_Tro,43,5,43,5
2,3,26,#Agamemnon_Tro,50,7,63,9
2,3,26,#Patroclus_Tro,13,2,63,9
2,3,27,#Ajax_Tro,36,4,122,19
2,3,27,#Nestor_Tro,43,7,122,19
2,3,27,#Ulysses_Tro,43,8,122,19
2,3,28,#Agamemnon_Tro,225,30,301,41
2,3,28,#Nestor_Tro,4,1,301,41
2,3,28,#Patroclus_Tro,52,7,301,41
2,3,28,#Ulysses_Tro,20,3,301,41
2,3,29,#Agamemnon_Tro,74,10,144,19
2,3,29,#Ajax_Tro,61,8,144,19
2,3,29,#Nestor_Tro,9,1,144,19
2,3,30,#Agamemnon_Tro,84,12,765,110
