node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.GREEK_Tro,5093,3,707,1
#ATTENDANTS.TROJAN_Tro,1499,0,219,0
#Achilles_Tro,5619,1304,811,196
#Aeneas_Tro,4356,1052,599,146
#Agamemnon_Tro,6853,1407,964,197
#Ajax_Tro,5283,539,767,86
#Alexander_Tro,1299,259,189,34
#Andromache_Tro,620,113,88,15
#Antenor_Tro,1328,4,178,1
#Bastard_Tro,74,14,11,3
#Boy_Tro,23,16,4,2
#Calchas_Tro,3176,229,470,31
#Cassandra_Tro,546,259,80,37
#Cressida_Tro,6313,2119,885,300
#Deiphobus_Tro,1328,14,178,3
#Diomedes_Tro,8329,703,1186,105
#Hector_Tro,4588,1528,638,216
#Helen_Tro,789,187,117,29
#Helenus_Tro,2358,37,325,4
#MYRMIDONS.0.1_Tro,54,8,7,1
#MYRMIDONS_Tro,203,0,26,0
#Menelaus_Tro,5150,86,719,14
#Nestor_Tro,7450,1135,1045,158
#Pandarus_Tro,6034,3154,833,425
#Paris_Tro,4586,721,635,99
#Patroclus_Tro,5739,404,825,72
#Priam_Tro,1928,139,264,20
#Prologue_Tro,224,224,31,31
#SERVANTS.AENEAS.1_Tro,389,0,55,0
#SERVANTS.DIOMEDES.1_Tro,41,4,6,1
#SERVANTS.PARIS.1_Tro,1046,117,158,18
#SERVANTS.TROILUS.1_Tro,30,10,5,1
#SOLDIERS.GREEK.1_Tro,208,0,26,0
#SOLDIERS.GREEK_Tro,87,0,12,0
#SOLDIERS.TROJAN_Tro,276,4,36,1
#SOLDIERS_Tro,65,5,8,1
#Thersites_Tro,4355,2287,654,300
#Troilus_Tro,10098,3962,1402,545
#Trumpeter_Tro,2900,0,404,0
#Ulysses_Tro,9806,3520,1396,494
