node1,node2,n_lines,n_tokens
#Prologue_Tro,0.00.0001,31,224
#Pandarus_Tro,1.01.0002,90,707
#Troilus_Tro,1.01.0002,90,707
#Troilus_Tro,1.01.0003,16,128
#Aeneas_Tro,1.01.0004,14,93
#Troilus_Tro,1.01.0004,14,93
#Alexander_Tro,1.02.0005,40,293
#Cressida_Tro,1.02.0005,40,293
#Alexander_Tro,1.02.0006,149,1006
#Cressida_Tro,1.02.0006,149,1006
#Pandarus_Tro,1.02.0006,149,1006
#Cressida_Tro,1.02.0007,89,676
#Pandarus_Tro,1.02.0007,89,676
#Boy_Tro,1.02.0008,4,23
#Cressida_Tro,1.02.0008,4,23
#Pandarus_Tro,1.02.0008,4,23
#Cressida_Tro,1.02.0009,6,37
#Pandarus_Tro,1.02.0009,6,37
#Cressida_Tro,1.02.0010,14,112
#ATTENDANTS.GREEK_Tro,1.03.0011,218,1575
#Agamemnon_Tro,1.03.0011,218,1575
#Diomedes_Tro,1.03.0011,218,1575
#Menelaus_Tro,1.03.0011,218,1575
#Nestor_Tro,1.03.0011,218,1575
#Ulysses_Tro,1.03.0011,218,1575
#ATTENDANTS.GREEK_Tro,1.03.0012,99,745
#Aeneas_Tro,1.03.0012,99,745
#Agamemnon_Tro,1.03.0012,99,745
#Diomedes_Tro,1.03.0012,99,745
#Menelaus_Tro,1.03.0012,99,745
#Nestor_Tro,1.03.0012,99,745
#Trumpeter_Tro,1.03.0012,99,745
#Ulysses_Tro,1.03.0012,99,745
#Nestor_Tro,1.03.0013,82,600
#Ulysses_Tro,1.03.0013,82,600
#Ajax_Tro,2.01.0014,56,338
#Thersites_Tro,2.01.0014,56,338
#Achilles_Tro,2.01.0015,67,441
#Ajax_Tro,2.01.0015,67,441
#Patroclus_Tro,2.01.0015,67,441
#Thersites_Tro,2.01.0015,67,441
#Achilles_Tro,2.01.0016,10,72
#Ajax_Tro,2.01.0016,10,72
#Patroclus_Tro,2.01.0016,10,72
#Ajax_Tro,2.01.0017,1,10
#Hector_Tro,2.02.0018,102,773
#Helenus_Tro,2.02.0018,102,773
#Paris_Tro,2.02.0018,102,773
#Priam_Tro,2.02.0018,102,773
#Troilus_Tro,2.02.0018,102,773
#Cassandra_Tro,2.02.0019,17,113
#Hector_Tro,2.02.0019,17,113
#Helenus_Tro,2.02.0019,17,113
