node1,node2,count
#ATTENDANTS.OLIVIA_TN,#AndrewAguecheek_TN,1
#ATTENDANTS.OLIVIA_TN,#Antonio_TN,1
#ATTENDANTS.OLIVIA_TN,#Fabian_TN,1
#ATTENDANTS.OLIVIA_TN,#Malvolio_TN,2
#ATTENDANTS.OLIVIA_TN,#Maria_TN,1
#ATTENDANTS.OLIVIA_TN,#OFFICERS.1_TN,1
#ATTENDANTS.OLIVIA_TN,#OFFICERS.2_TN,1
#ATTENDANTS.OLIVIA_TN,#Olivia_TN,2
#ATTENDANTS.OLIVIA_TN,#Priest_TN,1
#ATTENDANTS.OLIVIA_TN,#Sebastian_TN,1
#ATTENDANTS.OLIVIA_TN,#TobyBelch_TN,2
#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.OLIVIA_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.ORSINO.Valentine_TN,2
#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.ORSINO_TN,4
#ATTENDANTS.ORSINO.Curio_TN,#AndrewAguecheek_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Antonio_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Fabian_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Feste_TN,2
#ATTENDANTS.ORSINO.Curio_TN,#MUSICIANS_TN,2
#ATTENDANTS.ORSINO.Curio_TN,#Malvolio_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#OFFICERS.1_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#OFFICERS.2_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Olivia_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Orsino_TN,4
#ATTENDANTS.ORSINO.Curio_TN,#Priest_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Sebastian_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#TobyBelch_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Viola_TN,3
#ATTENDANTS.ORSINO.Valentine_TN,#ATTENDANTS.ORSINO_TN,2
#ATTENDANTS.ORSINO.Valentine_TN,#MUSICIANS_TN,1
#ATTENDANTS.ORSINO.Valentine_TN,#Orsino_TN,2
#ATTENDANTS.ORSINO.Valentine_TN,#Viola_TN,1
#ATTENDANTS.ORSINO_TN,#ATTENDANTS.OLIVIA_TN,1
#ATTENDANTS.ORSINO_TN,#AndrewAguecheek_TN,1
#ATTENDANTS.ORSINO_TN,#Antonio_TN,1
#ATTENDANTS.ORSINO_TN,#Fabian_TN,1
#ATTENDANTS.ORSINO_TN,#Feste_TN,2
#ATTENDANTS.ORSINO_TN,#MUSICIANS_TN,2
#ATTENDANTS.ORSINO_TN,#Malvolio_TN,1
#ATTENDANTS.ORSINO_TN,#OFFICERS.1_TN,1
#ATTENDANTS.ORSINO_TN,#OFFICERS.2_TN,1
#ATTENDANTS.ORSINO_TN,#Olivia_TN,1
#ATTENDANTS.ORSINO_TN,#Orsino_TN,4
#ATTENDANTS.ORSINO_TN,#Priest_TN,1
#ATTENDANTS.ORSINO_TN,#Sebastian_TN,1
#ATTENDANTS.ORSINO_TN,#TobyBelch_TN,1
#ATTENDANTS.ORSINO_TN,#Viola_TN,3
#AndrewAguecheek_TN,#ATTENDANTS.OLIVIA.1_TN,1
#AndrewAguecheek_TN,#Antonio_TN,2
#AndrewAguecheek_TN,#Fabian_TN,5
#AndrewAguecheek_TN,#Malvolio_TN,4
#AndrewAguecheek_TN,#Maria_TN,6
#AndrewAguecheek_TN,#OFFICERS.1_TN,2
#AndrewAguecheek_TN,#OFFICERS.2_TN,2
#AndrewAguecheek_TN,#Olivia_TN,4
#AndrewAguecheek_TN,#Priest_TN,1
#AndrewAguecheek_TN,#Sebastian_TN,2
#AndrewAguecheek_TN,#TobyBelch_TN,8
#Antonio_TN,#ATTENDANTS.OLIVIA.1_TN,1
#Antonio_TN,#Fabian_TN,2
#Antonio_TN,#Malvolio_TN,2
#Antonio_TN,#Maria_TN,1
#Antonio_TN,#OFFICERS.1_TN,2
#Antonio_TN,#OFFICERS.2_TN,2
#Antonio_TN,#Olivia_TN,2
#Antonio_TN,#Priest_TN,1
#Antonio_TN,#Sebastian_TN,3
#Antonio_TN,#TobyBelch_TN,2
#Captain_TN,#SAILORS_TN,1
#Fabian_TN,#ATTENDANTS.OLIVIA.1_TN,1
#Fabian_TN,#Malvolio_TN,3
#Fabian_TN,#Maria_TN,3
#Fabian_TN,#OFFICERS.1_TN,2
#Fabian_TN,#OFFICERS.2_TN,2
#Fabian_TN,#Olivia_TN,3
#Fabian_TN,#Priest_TN,1
#Fabian_TN,#Sebastian_TN,2
#Fabian_TN,#TobyBelch_TN,5
#Feste_TN,#ATTENDANTS.OLIVIA_TN,2
#Feste_TN,#AndrewAguecheek_TN,4
#Feste_TN,#Antonio_TN,1
#Feste_TN,#Fabian_TN,2
#Feste_TN,#Malvolio_TN,4
#Feste_TN,#Maria_TN,4
#Feste_TN,#OFFICERS.1_TN,1
#Feste_TN,#OFFICERS.2_TN,1
#Feste_TN,#Olivia_TN,4
#Feste_TN,#Priest_TN,1
#Feste_TN,#Sebastian_TN,2
#Feste_TN,#TobyBelch_TN,6
#MUSICIANS_TN,#Feste_TN,1
#MUSICIANS_TN,#Orsino_TN,2
#MUSICIANS_TN,#Viola_TN,1
#Malvolio_TN,#ATTENDANTS.OLIVIA.1_TN,1
#Malvolio_TN,#Maria_TN,5
#Malvolio_TN,#OFFICERS.1_TN,2
#Malvolio_TN,#OFFICERS.2_TN,2
#Malvolio_TN,#Olivia_TN,3
#Malvolio_TN,#Priest_TN,1
#Malvolio_TN,#Sebastian_TN,1
#Malvolio_TN,#TobyBelch_TN,6
#Maria_TN,#ATTENDANTS.OLIVIA.1_TN,1
#OFFICERS.1_TN,#ATTENDANTS.OLIVIA.1_TN,1
#OFFICERS.1_TN,#Maria_TN,1
#OFFICERS.1_TN,#OFFICERS.2_TN,2
#OFFICERS.1_TN,#Olivia_TN,2
#OFFICERS.1_TN,#Priest_TN,1
#OFFICERS.1_TN,#Sebastian_TN,1
#OFFICERS.1_TN,#TobyBelch_TN,2
#OFFICERS.2_TN,#ATTENDANTS.OLIVIA.1_TN,1
#OFFICERS.2_TN,#Maria_TN,1
#OFFICERS.2_TN,#Olivia_TN,2
#OFFICERS.2_TN,#Priest_TN,1
#OFFICERS.2_TN,#Sebastian_TN,1
#OFFICERS.2_TN,#TobyBelch_TN,2
#Olivia_TN,#ATTENDANTS.OLIVIA.1_TN,1
#Olivia_TN,#Maria_TN,3
#Olivia_TN,#Priest_TN,2
#Olivia_TN,#Sebastian_TN,3
#Olivia_TN,#TobyBelch_TN,5
#Orsino_TN,#ATTENDANTS.OLIVIA_TN,1
#Orsino_TN,#AndrewAguecheek_TN,1
#Orsino_TN,#Antonio_TN,1
#Orsino_TN,#Fabian_TN,1
#Orsino_TN,#Feste_TN,2
#Orsino_TN,#Malvolio_TN,1
#Orsino_TN,#OFFICERS.1_TN,1
#Orsino_TN,#OFFICERS.2_TN,1
#Orsino_TN,#Olivia_TN,1
#Orsino_TN,#Priest_TN,1
#Orsino_TN,#Sebastian_TN,1
#Orsino_TN,#TobyBelch_TN,1
#Orsino_TN,#Viola_TN,3
#Priest_TN,#Sebastian_TN,2
#Priest_TN,#TobyBelch_TN,1
#Sebastian_TN,#TobyBelch_TN,2
#TobyBelch_TN,#ATTENDANTS.OLIVIA.1_TN,1
#TobyBelch_TN,#Maria_TN,8
#Viola_TN,#ATTENDANTS.OLIVIA.1_TN,1
#Viola_TN,#ATTENDANTS.OLIVIA_TN,2
#Viola_TN,#AndrewAguecheek_TN,3
#Viola_TN,#Antonio_TN,2
#Viola_TN,#Captain_TN,1
#Viola_TN,#Fabian_TN,2
#Viola_TN,#Feste_TN,4
#Viola_TN,#Malvolio_TN,4
#Viola_TN,#Maria_TN,3
#Viola_TN,#OFFICERS.1_TN,2
#Viola_TN,#OFFICERS.2_TN,2
#Viola_TN,#Olivia_TN,4
#Viola_TN,#Priest_TN,1
#Viola_TN,#SAILORS_TN,1
#Viola_TN,#Sebastian_TN,1
#Viola_TN,#TobyBelch_TN,4
