act,scene,stagegroup,n_tokens,n_lines,onstage
1,1,1,168,24,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN
1,1,2,153,19,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN
1,2,3,481,67,#Captain_TN #SAILORS_TN #Viola_TN
1,3,4,336,43,#Maria_TN #TobyBelch_TN
1,3,5,208,36,#AndrewAguecheek_TN #Maria_TN #TobyBelch_TN
1,3,6,465,60,#AndrewAguecheek_TN #TobyBelch_TN
1,4,7,60,9,#ATTENDANTS.ORSINO.Valentine_TN #Viola_TN
1,4,8,267,37,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #Orsino_TN #Viola_TN
1,5,9,233,29,#Feste_TN #Maria_TN
1,5,10,530,68,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Olivia_TN
1,5,11,60,9,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Maria_TN #Olivia_TN
1,5,12,24,3,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Olivia_TN
1,5,13,48,6,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN
1,5,14,79,13,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN #TobyBelch_TN
1,5,15,73,9,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN
1,5,16,204,27,#ATTENDANTS.OLIVIA_TN #Malvolio_TN #Olivia_TN
1,5,17,16,2,#ATTENDANTS.OLIVIA_TN #Maria_TN #Olivia_TN
1,5,18,435,54,#ATTENDANTS.OLIVIA_TN #Maria_TN #Olivia_TN #Viola_TN
1,5,19,542,75,#Olivia_TN #Viola_TN
1,5,20,81,12,#Olivia_TN
1,5,21,70,9,#Malvolio_TN #Olivia_TN
1,5,22,37,4,#Olivia_TN
2,1,23,353,42,#Antonio_TN #Sebastian_TN
2,1,24,42,5,#Antonio_TN
2,2,25,136,16,#Malvolio_TN #Viola_TN
2,2,26,208,25,#Viola_TN
2,3,27,115,14,#AndrewAguecheek_TN #TobyBelch_TN
2,3,28,398,58,#AndrewAguecheek_TN #Feste_TN #TobyBelch_TN
2,3,29,110,14,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN
2,3,30,287,37,#AndrewAguecheek_TN #Feste_TN #Malvolio_TN #Maria_TN #TobyBelch_TN
2,3,31,418,52,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN
2,3,32,93,14,#AndrewAguecheek_TN #Feste_TN #TobyBelch_TN
2,4,33,89,15,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN #Viola_TN
