act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#ATTENDANTS.ORSINO.Curio_TN,8,2,321,43
1,1,#ATTENDANTS.ORSINO.Valentine_TN,70,9,153,19
1,1,#Orsino_TN,243,32,321,43
1,2,#Captain_TN,239,32,481,67
1,2,#Viola_TN,242,35,481,67
1,3,#AndrewAguecheek_TN,335,48,673,96
1,3,#Maria_TN,214,31,544,79
1,3,#TobyBelch_TN,460,60,1009,139
1,4,#ATTENDANTS.ORSINO.Valentine_TN,32,5,327,46
1,4,#Orsino_TN,200,27,267,37
1,4,#Viola_TN,95,14,327,46
1,5,#Feste_TN,478,59,1047,137
1,5,#Malvolio_TN,275,35,888,116
1,5,#Maria_TN,173,23,744,94
1,5,#Olivia_TN,911,126,2199,291
1,5,#TobyBelch_TN,44,6,79,13
1,5,#Viola_TN,551,71,977,129
2,1,#Antonio_TN,89,13,395,47
2,1,#Sebastian_TN,306,34,353,42
2,2,#Malvolio_TN,113,13,136,16
2,2,#Viola_TN,231,28,344,41
2,3,#AndrewAguecheek_TN,340,48,1421,189
2,3,#Feste_TN,205,30,1306,175
2,3,#Malvolio_TN,162,20,287,37
2,3,#Maria_TN,309,36,815,103
2,3,#TobyBelch_TN,405,55,1421,189
2,4,#ATTENDANTS.ORSINO.Curio_TN,33,5,346,55
2,4,#Feste_TN,177,27,251,39
2,4,#Orsino_TN,498,74,950,138
2,4,#Viola_TN,242,32,950,138
2,5,#AndrewAguecheek_TN,69,13,1492,212
2,5,#Fabian_TN,201,31,1492,212
2,5,#Malvolio_TN,842,109,1117,162
2,5,#Maria_TN,153,18,239,32
2,5,#TobyBelch_TN,227,41,1492,212
3,1,#AndrewAguecheek_TN,32,6,160,26
3,1,#Feste_TN,324,39,472,60
3,1,#Olivia_TN,426,56,635,87
3,1,#TobyBelch_TN,36,5,160,26
3,1,#Viola_TN,470,66,1288,172
3,2,#AndrewAguecheek_TN,86,11,420,51
3,2,#Fabian_TN,188,24,677,82
3,2,#Maria_TN,136,15,154,18
3,2,#TobyBelch_TN,267,32,677,82
3,3,#Antonio_TN,258,34,396,54
3,3,#Sebastian_TN,138,20,396,54
3,4,#ATTENDANTS.OLIVIA.1_TN,21,3,25,4
3,4,#AndrewAguecheek_TN,118,17,1269,174
3,4,#Antonio_TN,251,34,473,67
3,4,#Fabian_TN,255,37,2157,289
3,4,#Malvolio_TN,388,57,780,119
3,4,#Maria_TN,189,28,1258,187
3,4,#OFFICERS.1_TN,53,7,411,60
3,4,#OFFICERS.2_TN,19,4,411,60
3,4,#Olivia_TN,297,48,575,93
3,4,#TobyBelch_TN,1067,131,2184,293
3,4,#Viola_TN,395,52,1386,181
4,1,#AndrewAguecheek_TN,48,6,196,30
4,1,#Feste_TN,161,18,240,31
4,1,#Olivia_TN,127,19,168,25
4,1,#Sebastian_TN,122,18,512,70
4,1,#TobyBelch_TN,54,9,196,30
4,2,#Feste_TN,512,72,941,133
4,2,#Malvolio_TN,300,44,769,112
4,2,#Maria_TN,42,5,476,67
4,2,#TobyBelch_TN,87,12,448,64
4,3,#Olivia_TN,98,13,115,15
4,3,#Sebastian_TN,198,24,296,37
5,1,#AndrewAguecheek_TN,143,19,275,37
5,1,#Antonio_TN,205,29,2639,366
5,1,#Fabian_TN,218,28,2366,323
5,1,#Feste_TN,586,73,1521,202
5,1,#Malvolio_TN,144,19,421,57
5,1,#OFFICERS.1_TN,47,6,2639,366
5,1,#Olivia_TN,452,70,2272,316
5,1,#Orsino_TN,676,94,2968,405
5,1,#Priest_TN,57,9,1855,254
5,1,#Sebastian_TN,241,32,1415,193
5,1,#TobyBelch_TN,47,6,129,17
5,1,#Viola_TN,338,46,2968,405
1,1,#ATTENDANTS.ORSINO_TN,0,0,321,43
1,1,#MUSICIANS_TN,0,0,321,43
1,2,#SAILORS_TN,0,0,481,67
1,4,#ATTENDANTS.ORSINO.Curio_TN,0,0,267,37
1,4,#ATTENDANTS.ORSINO_TN,0,0,267,37
1,5,#ATTENDANTS.OLIVIA_TN,0,0,1469,191
2,4,#ATTENDANTS.ORSINO_TN,0,0,572,88
2,4,#MUSICIANS_TN,0,0,572,88
3,1,#Maria_TN,0,0,56,10
4,1,#Fabian_TN,0,0,196,30
4,3,#Priest_TN,0,0,115,15
5,1,#ATTENDANTS.OLIVIA_TN,0,0,2272,316
5,1,#ATTENDANTS.ORSINO.Curio_TN,0,0,2968,405
5,1,#ATTENDANTS.ORSINO_TN,0,0,2968,405
5,1,#OFFICERS.2_TN,0,0,2639,366
