act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,8,2
1,1,1,#Orsino_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,160,22
1,1,2,#ATTENDANTS.ORSINO.Valentine_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,70,9
1,1,2,#Orsino_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,83,10
1,2,3,#Captain_TN,#Captain_TN #SAILORS_TN #Viola_TN,239,32
1,2,3,#Viola_TN,#Captain_TN #SAILORS_TN #Viola_TN,242,35
1,3,4,#Maria_TN,#Maria_TN #TobyBelch_TN,148,20
1,3,4,#TobyBelch_TN,#Maria_TN #TobyBelch_TN,188,23
1,3,5,#AndrewAguecheek_TN,#AndrewAguecheek_TN #Maria_TN #TobyBelch_TN,105,18
1,3,5,#Maria_TN,#AndrewAguecheek_TN #Maria_TN #TobyBelch_TN,66,11
1,3,5,#TobyBelch_TN,#AndrewAguecheek_TN #Maria_TN #TobyBelch_TN,37,7
1,3,6,#AndrewAguecheek_TN,#AndrewAguecheek_TN #TobyBelch_TN,230,30
1,3,6,#TobyBelch_TN,#AndrewAguecheek_TN #TobyBelch_TN,235,30
1,4,7,#ATTENDANTS.ORSINO.Valentine_TN,#ATTENDANTS.ORSINO.Valentine_TN #Viola_TN,32,5
1,4,7,#Viola_TN,#ATTENDANTS.ORSINO.Valentine_TN #Viola_TN,28,4
1,4,8,#Orsino_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #Orsino_TN #Viola_TN,200,27
1,4,8,#Viola_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #Orsino_TN #Viola_TN,67,10
1,5,9,#Feste_TN,#Feste_TN #Maria_TN,101,12
1,5,9,#Maria_TN,#Feste_TN #Maria_TN,132,17
1,5,10,#Feste_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Olivia_TN,299,37
1,5,10,#Malvolio_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Olivia_TN,95,11
1,5,10,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Olivia_TN,136,20
1,5,11,#Maria_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Maria_TN #Olivia_TN,32,5
1,5,11,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Maria_TN #Olivia_TN,28,4
1,5,12,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Olivia_TN,24,3
1,5,13,#Feste_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN,35,4
1,5,13,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN,13,2
1,5,14,#Feste_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN #TobyBelch_TN,3,1
1,5,14,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN #TobyBelch_TN,32,6
1,5,14,#TobyBelch_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN #TobyBelch_TN,44,6
1,5,15,#Feste_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN,40,5
1,5,15,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Feste_TN #Olivia_TN,33,4
1,5,16,#Malvolio_TN,#ATTENDANTS.OLIVIA_TN #Malvolio_TN #Olivia_TN,172,22
1,5,16,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Malvolio_TN #Olivia_TN,32,5
1,5,17,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Maria_TN #Olivia_TN,16,2
1,5,18,#Maria_TN,#ATTENDANTS.OLIVIA_TN #Maria_TN #Olivia_TN #Viola_TN,9,1
1,5,18,#Olivia_TN,#ATTENDANTS.OLIVIA_TN #Maria_TN #Olivia_TN #Viola_TN,144,20
1,5,18,#Viola_TN,#ATTENDANTS.OLIVIA_TN #Maria_TN #Olivia_TN #Viola_TN,282,33
1,5,19,#Olivia_TN,#Olivia_TN #Viola_TN,273,37
1,5,19,#Viola_TN,#Olivia_TN #Viola_TN,269,38
1,5,20,#Olivia_TN,#Olivia_TN,81,12
1,5,21,#Malvolio_TN,#Malvolio_TN #Olivia_TN,8,2
1,5,21,#Olivia_TN,#Malvolio_TN #Olivia_TN,62,7
1,5,22,#Olivia_TN,#Olivia_TN,37,4
2,1,23,#Antonio_TN,#Antonio_TN #Sebastian_TN,47,8
2,1,23,#Sebastian_TN,#Antonio_TN #Sebastian_TN,306,34
2,1,24,#Antonio_TN,#Antonio_TN,42,5
2,2,25,#Malvolio_TN,#Malvolio_TN #Viola_TN,113,13
2,2,25,#Viola_TN,#Malvolio_TN #Viola_TN,23,3
2,2,26,#Viola_TN,#Viola_TN,208,25
2,3,27,#AndrewAguecheek_TN,#AndrewAguecheek_TN #TobyBelch_TN,33,4
2,3,27,#TobyBelch_TN,#AndrewAguecheek_TN #TobyBelch_TN,82,10
2,3,28,#AndrewAguecheek_TN,#AndrewAguecheek_TN #Feste_TN #TobyBelch_TN,171,25
2,3,28,#Feste_TN,#AndrewAguecheek_TN #Feste_TN #TobyBelch_TN,158,23
2,3,28,#TobyBelch_TN,#AndrewAguecheek_TN #Feste_TN #TobyBelch_TN,69,10
2,3,29,#AndrewAguecheek_TN,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN,27,3
2,3,29,#Feste_TN,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN,7,1
2,3,29,#Maria_TN,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN,34,4
2,3,29,#TobyBelch_TN,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN,42,6
2,3,30,#Feste_TN,#AndrewAguecheek_TN #Feste_TN #Malvolio_TN #Maria_TN #TobyBelch_TN,40,6
2,3,30,#Malvolio_TN,#AndrewAguecheek_TN #Feste_TN #Malvolio_TN #Maria_TN #TobyBelch_TN,162,20
2,3,30,#Maria_TN,#AndrewAguecheek_TN #Feste_TN #Malvolio_TN #Maria_TN #TobyBelch_TN,4,1
2,3,30,#TobyBelch_TN,#AndrewAguecheek_TN #Feste_TN #Malvolio_TN #Maria_TN #TobyBelch_TN,81,10
2,3,31,#AndrewAguecheek_TN,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN,74,10
2,3,31,#Maria_TN,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN,271,31
2,3,31,#TobyBelch_TN,#AndrewAguecheek_TN #Feste_TN #Maria_TN #TobyBelch_TN,73,11
2,3,32,#AndrewAguecheek_TN,#AndrewAguecheek_TN #Feste_TN #TobyBelch_TN,35,6
2,3,32,#TobyBelch_TN,#AndrewAguecheek_TN #Feste_TN #TobyBelch_TN,58,8
2,4,33,#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN #Viola_TN,33,5
2,4,33,#Orsino_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN #Viola_TN,56,10
2,4,34,#Orsino_TN,#ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN #Viola_TN,178,25
2,4,34,#Viola_TN,#ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN #Viola_TN,48,8
2,4,35,#Feste_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #Feste_TN #MUSICIANS_TN #Orsino_TN #Viola_TN,177,27
2,4,35,#Orsino_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #Feste_TN #MUSICIANS_TN #Orsino_TN #Viola_TN,74,12
2,4,36,#Orsino_TN,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN #Viola_TN,6,1
2,4,37,#Orsino_TN,#Orsino_TN #Viola_TN,184,26
2,4,37,#Viola_TN,#Orsino_TN #Viola_TN,194,24
2,5,38,#AndrewAguecheek_TN,#AndrewAguecheek_TN #Fabian_TN #TobyBelch_TN,10,1
2,5,38,#Fabian_TN,#AndrewAguecheek_TN #Fabian_TN #TobyBelch_TN,38,4
2,5,38,#TobyBelch_TN,#AndrewAguecheek_TN #Fabian_TN #TobyBelch_TN,42,6
2,5,39,#Maria_TN,#AndrewAguecheek_TN #Fabian_TN #Maria_TN #TobyBelch_TN,67,8
2,5,39,#TobyBelch_TN,#AndrewAguecheek_TN #Fabian_TN #Maria_TN #TobyBelch_TN,11,2
2,5,40,#AndrewAguecheek_TN,#AndrewAguecheek_TN #Fabian_TN #Malvolio_TN #TobyBelch_TN,39,7
2,5,40,#Fabian_TN,#AndrewAguecheek_TN #Fabian_TN #Malvolio_TN #TobyBelch_TN,138,24
2,5,40,#Malvolio_TN,#AndrewAguecheek_TN #Fabian_TN #Malvolio_TN #TobyBelch_TN,842,109
2,5,40,#TobyBelch_TN,#AndrewAguecheek_TN #Fabian_TN #Malvolio_TN #TobyBelch_TN,98,22
