source,target,key,n_lines,n_tokens,edge_index,edge_type
#Orsino_TN,1.01.0001,0,15,114,1,active
1.01.0001,#ATTENDANTS.ORSINO.Curio_TN,0,15,114,1,passive
1.01.0001,#ATTENDANTS.ORSINO_TN,0,15,114,1,passive
1.01.0001,#MUSICIANS_TN,0,15,114,1,passive
#ATTENDANTS.ORSINO.Curio_TN,1.01.0001,0,1,6,2,active
1.01.0001,#ATTENDANTS.ORSINO_TN,1,1,6,2,passive
1.01.0001,#MUSICIANS_TN,1,1,6,2,passive
1.01.0001,#Orsino_TN,0,1,6,2,passive
#Orsino_TN,1.01.0001,1,1,2,3,active
1.01.0001,#ATTENDANTS.ORSINO.Curio_TN,1,1,2,3,passive
1.01.0001,#ATTENDANTS.ORSINO_TN,2,1,2,3,passive
1.01.0001,#MUSICIANS_TN,2,1,2,3,passive
#ATTENDANTS.ORSINO.Curio_TN,1.01.0001,1,1,2,4,active
1.01.0001,#ATTENDANTS.ORSINO_TN,3,1,2,4,passive
1.01.0001,#MUSICIANS_TN,3,1,2,4,passive
1.01.0001,#Orsino_TN,1,1,2,4,passive
#Orsino_TN,1.01.0001,2,6,44,5,active
1.01.0001,#ATTENDANTS.ORSINO.Curio_TN,2,6,44,5,passive
1.01.0001,#ATTENDANTS.ORSINO_TN,4,6,44,5,passive
1.01.0001,#MUSICIANS_TN,4,6,44,5,passive
#Orsino_TN,1.01.0002,0,1,6,6,active
1.01.0002,#ATTENDANTS.ORSINO.Curio_TN,0,1,6,6,passive
1.01.0002,#ATTENDANTS.ORSINO.Valentine_TN,0,1,6,6,passive
1.01.0002,#ATTENDANTS.ORSINO_TN,0,1,6,6,passive
1.01.0002,#MUSICIANS_TN,0,1,6,6,passive
#ATTENDANTS.ORSINO.Valentine_TN,1.01.0002,0,9,70,7,active
1.01.0002,#ATTENDANTS.ORSINO.Curio_TN,1,9,70,7,passive
1.01.0002,#ATTENDANTS.ORSINO_TN,1,9,70,7,passive
1.01.0002,#MUSICIANS_TN,1,9,70,7,passive
1.01.0002,#Orsino_TN,0,9,70,7,passive
#Orsino_TN,1.01.0002,1,9,77,8,active
1.01.0002,#ATTENDANTS.ORSINO.Curio_TN,2,9,77,8,passive
1.01.0002,#ATTENDANTS.ORSINO.Valentine_TN,1,9,77,8,passive
1.01.0002,#ATTENDANTS.ORSINO_TN,2,9,77,8,passive
1.01.0002,#MUSICIANS_TN,2,9,77,8,passive
#Viola_TN,1.02.0003,0,1,5,9,active
1.02.0003,#Captain_TN,0,1,5,9,passive
1.02.0003,#SAILORS_TN,0,1,5,9,passive
#Captain_TN,1.02.0003,0,1,4,10,active
1.02.0003,#SAILORS_TN,1,1,4,10,passive
1.02.0003,#Viola_TN,0,1,4,10,passive
#Viola_TN,1.02.0003,1,4,22,11,active
1.02.0003,#Captain_TN,1,4,22,11,passive
1.02.0003,#SAILORS_TN,2,4,22,11,passive
#Captain_TN,1.02.0003,1,1,8,12,active
1.02.0003,#SAILORS_TN,3,1,8,12,passive
1.02.0003,#Viola_TN,1,1,8,12,passive
#Viola_TN,1.02.0003,2,1,10,13,active
1.02.0003,#Captain_TN,2,1,10,13,passive
1.02.0003,#SAILORS_TN,4,1,10,13,passive
#Captain_TN,1.02.0003,2,10,77,14,active
1.02.0003,#SAILORS_TN,5,10,77,14,passive
1.02.0003,#Viola_TN,2,10,77,14,passive
#Viola_TN,1.02.0003,3,4,26,15,active
1.02.0003,#Captain_TN,3,4,26,15,passive
1.02.0003,#SAILORS_TN,6,4,26,15,passive
#Captain_TN,1.02.0003,3,2,17,16,active
1.02.0003,#SAILORS_TN,7,2,17,16,passive
1.02.0003,#Viola_TN,3,2,17,16,passive
#Viola_TN,1.02.0003,4,1,3,17,active
1.02.0003,#Captain_TN,4,1,3,17,passive
1.02.0003,#SAILORS_TN,8,1,3,17,passive
#Captain_TN,1.02.0003,4,1,8,18,active
1.02.0003,#SAILORS_TN,9,1,8,18,passive
1.02.0003,#Viola_TN,4,1,8,18,passive
#Viola_TN,1.02.0003,5,1,4,19,active
1.02.0003,#Captain_TN,5,1,4,19,passive
1.02.0003,#SAILORS_TN,10,1,4,19,passive
#Captain_TN,1.02.0003,5,1,1,20,active
1.02.0003,#SAILORS_TN,11,1,1,20,passive
1.02.0003,#Viola_TN,5,1,1,20,passive
#Viola_TN,1.02.0003,6,2,13,21,active
1.02.0003,#Captain_TN,6,2,13,21,passive
1.02.0003,#SAILORS_TN,12,2,13,21,passive
#Captain_TN,1.02.0003,6,5,45,22,active
1.02.0003,#SAILORS_TN,13,5,45,22,passive
1.02.0003,#Viola_TN,6,5,45,22,passive
#Viola_TN,1.02.0003,7,1,2,23,active
1.02.0003,#Captain_TN,7,1,2,23,passive
1.02.0003,#SAILORS_TN,14,1,2,23,passive
#Captain_TN,1.02.0003,7,6,43,24,active
1.02.0003,#SAILORS_TN,15,6,43,24,passive
1.02.0003,#Viola_TN,7,6,43,24,passive
#Viola_TN,1.02.0003,8,4,26,25,active
1.02.0003,#Captain_TN,8,4,26,25,passive
1.02.0003,#SAILORS_TN,16,4,26,25,passive
#Captain_TN,1.02.0003,8,3,17,26,active
1.02.0003,#SAILORS_TN,17,3,17,26,passive
1.02.0003,#Viola_TN,8,3,17,26,passive
#Viola_TN,1.02.0003,9,15,125,27,active
1.02.0003,#Captain_TN,9,15,125,27,passive
1.02.0003,#SAILORS_TN,18,15,125,27,passive
#Captain_TN,1.02.0003,9,2,19,28,active
1.02.0003,#SAILORS_TN,19,2,19,28,passive
1.02.0003,#Viola_TN,9,2,19,28,passive
#Viola_TN,1.02.0003,10,1,6,29,active
1.02.0003,#Captain_TN,10,1,6,29,passive
1.02.0003,#SAILORS_TN,20,1,6,29,passive
#TobyBelch_TN,1.03.0004,0,3,22,30,active
1.03.0004,#Maria_TN,0,3,22,30,passive
#Maria_TN,1.03.0004,0,3,23,31,active
1.03.0004,#TobyBelch_TN,0,3,23,31,passive
#TobyBelch_TN,1.03.0004,1,1,6,32,active
1.03.0004,#Maria_TN,1,1,6,32,passive
