tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Theseus_MND', '#Philostrate_MND', '#ATTENDANTS_MND', '#Hippolyta_MND'}",,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,SD 1.1.0,Enter,fs-mnd-0000070,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,SD 1.1.0,Theseus,fs-mnd-0000090,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
pc,,SD 1.1.0,",",fs-mnd-0000100,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,SD 1.1.0,Hippolyta,fs-mnd-0000120,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
pc,,SD 1.1.0,",",fs-mnd-0000130,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,SD 1.1.0,and,fs-mnd-0000150,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,SD 1.1.0,Philostrate,fs-mnd-0000170,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
pc,,SD 1.1.0,",",fs-mnd-0000180,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,SD 1.1.0,with,fs-mnd-0000200,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,SD 1.1.0,others,fs-mnd-0000220,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
pc,,SD 1.1.0,.,fs-mnd-0000230,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
sp,,,,sp-0001,{'#Theseus_MND'},,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
