xml:id,corresp
ATTENDANTS.ANTONY_Ant,#ATTENDANTS_Ant
ATTENDANTS.CAESAR.0_Ant,#ATTENDANTS.CAESAR_Ant
ATTENDANTS.CAESAR_Ant,#ATTENDANTS_Ant
ATTENDANTS.OCTAVIA_Ant,#ATTENDANTS_Ant
ATTENDANTS.ROMAN_Ant,#ATTENDANTS_Ant
ATTENDANTS_Ant,
Agrippa_Ant,
Alexas_Ant,
Ambassador_Ant,
Antony_JC,
Boy_Ant,
CAPTAINS.0.1_Ant,#CAPTAINS_Ant
CAPTAINS_Ant,
Canidius_Ant,
Charmian_Ant,
Cleopatra_Ant,
Countryman_Ant,
Demetrius_Ant,
Diomedes_Ant,
Dolabella_Ant,
EUNUCHS_Ant,
Egyptian_Ant,
Enobarbus_Ant,
Eros_Ant,
GUARDS.0.1_Ant,#GUARDS_ANT
GUARDS.0.2_Ant,#GUARDS_ANT
GUARDS.0.3_Ant,#GUARDS_ANT
GUARDS.CAESAR.0.1_Ant,#GUARDS.CAESAR_ANT
GUARDS.CAESAR.0.2_Ant,#GUARDS.CAESAR_ANT
GUARDS.CAESAR.0.3_Ant,#GUARDS.CAESAR_ANT
GUARDS.CAESAR.1_Ant,#GUARDS.CAESAR_ANT
GUARDS.CAESAR_Ant,#GUARDS_ANT
GUARDS.Dercetus_Ant,#GUARDS_Ant
GUARDS_Ant,
Gallus_Ant,
Iras_Ant,
LADIES_Ant,
Lepidus_JC,
MESSENGERS.ANTONY.1_Ant,#MESSENGERS_ANT
MESSENGERS.ANTONY.2_Ant,#MESSENGERS_ANT
MESSENGERS.ANTONY.3_Ant,#MESSENGERS_ANT
MESSENGERS.CAESAR.1_Ant,#MESSENGERS_ANT
MESSENGERS.CAESAR.2_Ant,#MESSENGERS_ANT
MESSENGERS.X.1_Ant,#MESSENGERS_ANT
MESSENGERS.X.2_Ant,#MESSENGERS_ANT
MESSENGERS.X.3_Ant,#MESSENGERS_ANT
MESSENGERS.X.4_Ant,#MESSENGERS_ANT
MESSENGERS.X.5_Ant,#MESSENGERS_ANT
MESSENGERS_Ant,
Maecenas_Ant,
Mardian_Ant,
Menas_Ant,
Menecrates_Ant,
Octavia_Ant,
Octavius_JC,
Philo_Ant,
Pompey_Ant,
Proculeius_Ant,
SERVANTS.0.1_Ant,#SERVANTS_Ant
SERVANTS.0.2_Ant,#SERVANTS_Ant
SERVANTS.ANTONY_Ant,#SERVANTS_Ant
SERVANTS.Lamprius_Ant,#SERVANTS_Ant
SERVANTS.Lucillius_Ant,#SERVANTS_Ant
SERVANTS.Rannius_Ant,#SERVANTS_Ant
SERVANTS.X.1_Ant,#SERVANTS_Ant
SERVANTS.X.2_Ant,#SERVANTS_Ant
SERVANTS_Ant,
SOLDIERS.ANTONY.0.1_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY.0.2_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY.0.3_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY.0.4_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY.0_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY.X.1_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY.X.2_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY.X.3_Ant,#SOLDIERS.ANTONY_Ant
SOLDIERS.ANTONY_Ant,#SOLDIERS_Ant
SOLDIERS.CAESAR.X.1_Ant,#SOLDIERS.CAESAR_Ant
SOLDIERS.CAESAR_Ant,#SOLDIERS_Ant
SOLDIERS_Ant,
Scarus_Ant,
Seleucus_Ant,
Silius_Ant,
Soothsayer_Ant,
Taurus_Ant,
Thidias_Ant,
Varrius_Ant,
Ventidius_Ant,
WATCHMEN.1_Ant,#WATCHMEN_ANT
WATCHMEN.2_Ant,#WATCHMEN_ANT
WATCHMEN.Sentry_Ant,#WATCHMEN_ANT
WATCHMEN_Ant,
,
