tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#ATTENDANTS.1_Cym', '#ATTENDANTS.2_Cym'}",,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,SD 1.1.0,Enter,fs-cym-0000070,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,SD 1.1.0,two,fs-cym-0000090,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,SD 1.1.0,Gentlemen,fs-cym-0000110,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
pc,,SD 1.1.0,.,fs-cym-0000120,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
sp,,,,sp-0001,{'#ATTENDANTS.1_Cym'},,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.1,,ftln-0001,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.1,You,fs-cym-0000160,,you,#pn,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,do,fs-cym-0000180,,do,#vvb,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,not,fs-cym-0000200,,not,#xx,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,meet,fs-cym-0000220,,meet,#vvi,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,a,fs-cym-0000240,,a,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,man,fs-cym-0000260,,man,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
