tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,next,unit,corresp,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Francisco_Ham', '#Barnardo_Ham'}",,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,SD 1.1.0,Enter,fs-ham-0000070,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,SD 1.1.0,Barnardo,fs-ham-0000090,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,SD 1.1.0,and,fs-ham-0000110,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,SD 1.1.0,Francisco,fs-ham-0000130,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
pc,,SD 1.1.0,",",fs-ham-0000140,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,SD 1.1.0,two,fs-ham-0000160,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,SD 1.1.0,sentinels,fs-ham-0000180,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
pc,,SD 1.1.0,.,fs-ham-0000190,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
sp,,,,sp-0001,{'#Barnardo_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
p,,,,p-0001,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
lb,,1.1.1,,ftln-0001,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.1,Who’s,fs-ham-0000210,,who|be,#crq-q|vvz,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.1,there,fs-ham-0000230,,there,#acp-av,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.1,?,fs-ham-0000240,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
sp,,,,sp-0002,{'#Francisco_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
l,,1.1.2,,ftln-0002,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
w,,1.1.2,Nay,fs-ham-0000260,,nay,#uh,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
