xml:id,corresp
ATTENDANTS_1H4,
Archbishop_1H4,
Bardolph_1H4,
Bedford_H5,
Blunt_1H4,
Chamberlain_1H4,
DRAWERS.Francis_1H4,
Douglas_1H4,
Falstaff_1H4,
Gadshill_1H4,
Glendower_1H4,
HenryIV_1H4,
HenryV_H5,
Hotspur_R2,
LadyMortimer_1H4,
LadyPercy_1H4,
MESSENGERS.1_1H4,#MESSENGERS_1H4
MESSENGERS.2_1H4,#MESSENGERS_1H4
MESSENGERS.X_1H4,#MESSENGERS_1H4
MESSENGERS_1H4,
MistressQuickly_1H4,
Mortimer_1H4,
Northumberland_R2,
Ostler_1H4,
Peto_1H4,
Poins_1H4,
SERVANTS.HOTSPUR.1_1H4,#SERVANTS_1H4
SERVANTS_1H4,
SOLDIERS.HENRY.0_1H4,#SOLDIERS.HENRY_1H4
SOLDIERS.HENRY_1H4,#SOLDIERS_1H4
SOLDIERS.HOTSPUR_1H4,#SOLDIERS_1H4
SOLDIERS_1H4,
Sheriff_1H4,
SirMichael_1H4,
TRAVELERS.CARRIERS.1_1H4,#TRAVELERS.GENTLEMEN.CARRIERS_1H4
TRAVELERS.CARRIERS.2_1H4,#TRAVELERS.GENTLEMEN.CARRIERS_1H4
TRAVELERS.CARRIERS.X_1H4,#TRAVELERS.GENTLEMEN.CARRIERS_1H4
TRAVELERS.CARRIERS_1H4,#TRAVELERS.GENTLEMEN_1H4
TRAVELERS.GENTLEMEN.0.1_1H4,#TRAVELERS.GENTLEMEN_1H4
TRAVELERS.GENTLEMEN_1H4,#TRAVELERS.GENTLEMEN_1H4
TRAVELERS_1H4,
Vernon_1H4,
Vintner_1H4,
Westmoreland_1H4,
Worcester_1H4,
