tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
div,induction,IND,,,,,,,,,0,0,,0,
stage,entrance,SD IND.0,,stg-0000,{'#Chorus_2H4'},,,,,,0,0,#Chorus_2H4,1,
w,,SD IND.0,Enter,fs-2h4-0000020,,,,,,,0,0,#Chorus_2H4,1,
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,SD IND.0,Rumor,fs-2h4-0000040,,,,,,,0,0,#Chorus_2H4,1,
pc,,SD IND.0,",",fs-2h4-0000050,,,,,,,0,0,#Chorus_2H4,1,
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,SD IND.0,painted,fs-2h4-0000070,,,,,,,0,0,#Chorus_2H4,1,
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,SD IND.0,full,fs-2h4-0000090,,,,,,,0,0,#Chorus_2H4,1,
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,SD IND.0,of,fs-2h4-0000110,,,,,,,0,0,#Chorus_2H4,1,
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,SD IND.0,tongues,fs-2h4-0000130,,,,,,,0,0,#Chorus_2H4,1,
pc,,SD IND.0,.,fs-2h4-0000140,,,,,,,0,0,#Chorus_2H4,1,
sp,,,,sp-0001,{'#Chorus_2H4'},,,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
l,,IND.1,,ftln-0001,,,,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
w,,IND.1,Open,fs-2h4-0000160,,open,#vvb,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,IND.1,your,fs-2h4-0000180,,your,#po,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,IND.1,ears,fs-2h4-0000200,,ear,#n2,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
pc,,IND.1,",",fs-2h4-0000210,,,,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,IND.1,for,fs-2h4-0000230,,for,#acp-p,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,IND.1,which,fs-2h4-0000250,,which,#crq-r,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,IND.1,of,fs-2h4-0000270,,of,#acp-p,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,IND.1,you,fs-2h4-0000290,,you,#pn,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
c,,, ,,,,,,,,0,0,#Chorus_2H4,1,
w,,IND.1,will,fs-2h4-0000310,,will,#vmb,,,,0,0,#Chorus_2H4,1,#Chorus_2H4
