xml:id,corresp
AMBASSADORS.ARMAGNAC.1_1H6,#AMBASSADORS_1H6
AMBASSADORS.EMPEROR.1_1H6,#AMBASSADORS_1H6
AMBASSADORS_1H6,
ATTENDANTS.ENGLISH.0.1_1H6,#ATTENDANTS.ENGLISH_1H6
ATTENDANTS.ENGLISH_1H6,#ATTENDANTS_1H6
ATTENDANTS.FRENCH_1H6,#ATTENDANTS_1H6
ATTENDANTS_1H6,
Alanson_1H6,
Basset_1H6,
Bastard_1H6,
Bedford_H5,
Boy_1H6,
Burgundy_1H6,
CardinalBeaufort_1H6,
Charles_1H6,
Countess_1H6,
Exeter_H5,
Fastolf_1H6,
Gargrave_1H6,
General_1H6,
Glansdale_1H6,
Gloucester_2H4,
Governor_1H6,
HERALDS.ENGLISH_1H6,#HERALDS_1H6
HERALDS.FRENCH.1_1H6,#HERALDS_1H6
HERALDS_1H6,
HenryVI_1H6,
JAILERS.0.1_1H6,#JAILERS_1H6
JAILERS_1H6,
JohnTalbot_1H6,
Lawyer_1H6,
Legate_1H6,
Lucy_1H6,
MESSENGERS.ENGLISH.1_1H6,#MESSENGERS.ENGLISH_1H6
MESSENGERS.ENGLISH.2_1H6,#MESSENGERS.ENGLISH_1H6
MESSENGERS.ENGLISH.3_1H6,#MESSENGERS.ENGLISH_1H6
MESSENGERS.ENGLISH.X.1_1H6,#MESSENGERS.ENGLISH_1H6
MESSENGERS.ENGLISH.X.2_1H6,#MESSENGERS.ENGLISH_1H6
MESSENGERS.ENGLISH_1H6,#MESSENGERS_1H6
MESSENGERS.FRENCH.1_1H6,#MESSENGERS_1H6
MESSENGERS_1H6,
MasterGunner_1H6,
Mayor_1H6,
Mortimer_1H4,
OFFICERS.0.1_1H6,#OFFICERS_1H6
OFFICERS_1H6,
Porter_1H6,
Pucelle_1H6,
QueenMargaret_1H6,
Reignier_1H6,
SERVANTS.1_1H6,#SERVANTS_1H6
SERVANTS.2_1H6,#SERVANTS_1H6
SERVANTS.3_1H6,#SERVANTS_1H6
SERVANTS.GLOUCESTER.0.1_1H6,#SERVANTS.GLOUCESTER_1H6
SERVANTS.GLOUCESTER.0.2_1H6,#SERVANTS.GLOUCESTER_1H6
SERVANTS.GLOUCESTER_1H6,#SERVANTS_1H6
SERVANTS.TALBOT.1_1H6,#SERVANTS_1H6
SERVANTS.WINCHESTER.0.1_1H6,#SERVANTS.WINCHESTER_1H6
SERVANTS.WINCHESTER_1H6,#SERVANTS_1H6
SERVANTS_1H6,
SOLDIERS.ENGLISH.0.1_1H6,#SOLDIERS.ENGLISH_1H6
SOLDIERS.ENGLISH.0_1H6,#SOLDIERS.ENGLISH_1H6
SOLDIERS.ENGLISH.1_1H6,#SOLDIERS.ENGLISH_1H6
SOLDIERS.ENGLISH.Captain_1H6,#SOLDIERS.ENGLISH_1H6
SOLDIERS.ENGLISH.SOMERSET.0.1_1H6,#SOLDIERS.ENGLISH.SOMERSET_1H6
SOLDIERS.ENGLISH.SOMERSET_1H6,#SOLDIERS.ENGLISH_1H6
SOLDIERS.ENGLISH.YORK_1H6,#SOLDIERS.ENGLISH_1H6
SOLDIERS.ENGLISH_1H6,#SOLDIERS_1H6
SOLDIERS.FRENCH.PUCELLE.0.1_1H6,#SOLDIERS.FRENCH.PUCELLE_1H6
SOLDIERS.FRENCH.PUCELLE_1H6,#SOLDIERS.FRENCH_1H6
SOLDIERS.FRENCH.Scout_1H6,SOLDIERS.FRENCH_1H6
SOLDIERS.FRENCH.Sergeant_1H6,SOLDIERS.FRENCH_1H6
SOLDIERS.FRENCH_1H6,#SOLDIERS_1H6
SOLDIERS_1H6,
SPIRITS_1H6,
Salisbury_1H6,
Shepherd_1H6,
Somerset_1H6,
Suffolk_1H6,
Talbot_1H6,
Vernon_1H6,
WARDERS.1_1H6,#WARDERS_1H6
WARDERS.2_1H6,#WARDERS_1H6
WARDERS_1H6,
WATCHMEN.1_1H6,#WATCHMEN_1H6
WATCHMEN.2_1H6,#WATCHMEN_1H6
WATCHMEN_1H6,#SOLDIERS.FRENCH_1H6
Warwick_2H4,
Watchman_1H6,
Woodville_1H6,
York_1H6,
