act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
0,0,1,1,1,#Prologue_H8,#Prologue_H8,32,266
1,1,2,3,2,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,2,15
1,1,2,3,3,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,3,16
1,1,2,3,4,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,4,26
1,1,2,3,5,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,7,42
1,1,2,3,6,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,2,9
1,1,2,3,7,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,26,198
1,1,2,3,8,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,1,4
1,1,2,3,9,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,7,50
1,1,2,3,10,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,3,20
1,1,2,3,11,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,2,10
1,1,2,3,12,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,1,6
1,1,2,3,13,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,2,15
1,1,2,3,14,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,6,47
1,1,2,3,15,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,10,74
1,1,2,3,16,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Abergavenny_H8,7,53
1,1,2,3,17,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,9,68
1,1,2,3,18,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Abergavenny_H8,4,25
1,1,2,3,19,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,5,27
1,1,2,3,20,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,3,18
1,1,2,3,21,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,6,35
1,1,2,3,22,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,3,18
1,1,2,3,23,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Abergavenny_H8,2,7
1,1,2,3,24,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,1,3
1,1,2,3,25,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Abergavenny_H8,2,12
1,1,2,3,26,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Buckingham_H8,2,8
1,1,2,3,27,#Abergavenny_H8 #Buckingham_H8 #Norfolk_H8,#Norfolk_H8,15,114
1,1,3,4,28,#Abergavenny_H8 #Buckingham_H8 #GUARDS_H8 #Norfolk_H8 #SECRETARIES_H8 #Wolsey_H8,#Wolsey_H8,2,9
1,1,4,5,29,#Abergavenny_H8 #Buckingham_H8 #GUARDS_H8 #Norfolk_H8 #SECRETARIES.0.1_H8 #SECRETARIES_H8 #Wolsey_H8,#SECRETARIES.0.1_H8,1,4
1,1,4,5,30,#Abergavenny_H8 #Buckingham_H8 #GUARDS_H8 #Norfolk_H8 #SECRETARIES.0.1_H8 #SECRETARIES_H8 #Wolsey_H8,#Wolsey_H8,1,5
1,1,4,5,31,#Abergavenny_H8 #Buckingham_H8 #GUARDS_H8 #Norfolk_H8 #SECRETARIES.0.1_H8 #SECRETARIES_H8 #Wolsey_H8,#SECRETARIES.0.1_H8,1,4
