xml:id,corresp
ATTENDANTS.ENGLISH_Jn,#ATTENDANTS_Jn
ATTENDANTS.FRENCH_Jn,#ATTENDANTS_Jn
ATTENDANTS_Jn,
Arthur_Jn,
Austria_Jn,
Bastard_Jn,
Bigot_Jn,
Blanche_Jn,
CITIZENS.0.1_Jn,#CITIZENS_Jn
CITIZENS_Jn,
Chatillion_Jn,
Constance_Jn,
Dauphin_Jn,
EXECUTIONERS.0.1_Jn,#EXECUTIONERS_Jn
EXECUTIONERS_Jn,
Essex_Jn,
Gurney_Jn,
HERALDS.ENGLISH_Jn,#HERALDS_Jn
HERALDS.FRENCH_Jn,#HERALDS_Jn
HERALDS_Jn,
Hubert_Jn,
KingJohn_Jn,
KingPhilip_Jn,
LadyFaulconbridge_Jn,
MESSENGERS.ENGLISH.1_Jn,#MESSENGERS_Jn
MESSENGERS.FRENCH.1_Jn,#MESSENGERS_Jn
MESSENGERS_Jn,
Melun_Jn,
Pandulph_Jn,
Pembroke_Jn,
Peter_Jn,
PrinceHenry_Jn,
QueenEleanor_Jn,
RobertFaulconbridge_Jn,
SOLDIERS.1_Jn,#SOLDIERS_Jn
SOLDIERS.ENGLISH_Jn,#SOLDIERS_Jn
SOLDIERS.FRENCH_Jn,#SOLDIERS_Jn
SOLDIERS_Jn,
Salisbury_Jn,
Sheriff_Jn,
