tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#QueenEleanor_Jn', '#Pembroke_Jn', '#KingJohn_Jn', '#Essex_Jn', '#Chatillion_Jn', '#Salisbury_Jn'}",,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
w,,SD 1.1.0,Enter,fs-jn-0000070,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
c,,, ,,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
w,,SD 1.1.0,King,fs-jn-0000090,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
c,,, ,,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
w,,SD 1.1.0,John,fs-jn-0000110,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
pc,,SD 1.1.0,",",fs-jn-0000120,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
c,,, ,,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
w,,SD 1.1.0,Queen,fs-jn-0000140,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
c,,, ,,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
w,,SD 1.1.0,Eleanor,fs-jn-0000160,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
pc,,SD 1.1.0,",",fs-jn-0000170,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
c,,, ,,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
w,,SD 1.1.0,Pembroke,fs-jn-0000190,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
pc,,SD 1.1.0,",",fs-jn-0000200,,,,,,,1,1,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn,1,
