tag,type,n,text,xml:id,who,lemma,ana,prev,part,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Longaville_LLL', '#Berowne_LLL', '#Dumaine_LLL', '#King_LLL'}",,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,Enter,fs-lll-0000070,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
c,,, ,,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,Ferdinand,fs-lll-0000090,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
pc,,SD 1.1.0,",",fs-lll-0000100,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
c,,, ,,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,King,fs-lll-0000120,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
c,,, ,,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,of,fs-lll-0000140,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
c,,, ,,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,Navarre,fs-lll-0000160,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
pc,,SD 1.1.0,",",fs-lll-0000170,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
c,,, ,,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,Berowne,fs-lll-0000190,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
pc,,SD 1.1.0,",",fs-lll-0000200,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,Longaville,fs-lll-0000210,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
pc,,SD 1.1.0,",",fs-lll-0000220,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
c,,, ,,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,and,fs-lll-0000240,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
c,,, ,,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
w,,SD 1.1.0,Dumaine,fs-lll-0000260,,,,,,,1,1,#Berowne_LLL #Dumaine_LLL #King_LLL #Longaville_LLL,1,
