tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,{'#RichardIII_R3'},,,,,,1,1,#RichardIII_R3,1,
w,,SD 1.1.0,Enter,fs-r3-0000070,,,,,,,1,1,#RichardIII_R3,1,
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,SD 1.1.0,Richard,fs-r3-0000090,,,,,,,1,1,#RichardIII_R3,1,
pc,,SD 1.1.0,",",fs-r3-0000100,,,,,,,1,1,#RichardIII_R3,1,
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,SD 1.1.0,Duke,fs-r3-0000120,,,,,,,1,1,#RichardIII_R3,1,
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,SD 1.1.0,of,fs-r3-0000140,,,,,,,1,1,#RichardIII_R3,1,
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,SD 1.1.0,Gloucester,fs-r3-0000160,,,,,,,1,1,#RichardIII_R3,1,
pc,,SD 1.1.0,",",fs-r3-0000170,,,,,,,1,1,#RichardIII_R3,1,
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,SD 1.1.0,alone,fs-r3-0000190,,,,,,,1,1,#RichardIII_R3,1,
pc,,SD 1.1.0,.,fs-r3-0000200,,,,,,,1,1,#RichardIII_R3,1,
sp,,,,sp-0001,{'#RichardIII_R3'},,,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
l,,1.1.1,,ftln-0001,,,,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
w,,1.1.1,Now,fs-r3-0000220,,now,#av,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,1.1.1,is,fs-r3-0000240,,be,#vvz,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,1.1.1,the,fs-r3-0000260,,the,#d,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,1.1.1,winter,fs-r3-0000280,,winter,#n1,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,1.1.1,of,fs-r3-0000300,,of,#acp-p,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,1.1.1,our,fs-r3-0000320,,our,#po,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
w,,1.1.1,discontent,fs-r3-0000340,,discontent,#n1_j,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
l,,1.1.2,,ftln-0002,,,,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
w,,1.1.2,Made,fs-r3-0000350,,make,#vvn,,,,1,1,#RichardIII_R3,1,#RichardIII_R3
c,,, ,,,,,,,,1,1,#RichardIII_R3,1,
