tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
div,prologue,PRO,,,,,,,,,0,0,,0,
stage,entrance,SD PRO.0,,stg-0000,{'#Chorus_Rom'},,,,,,0,0,#Chorus_Rom,1,
w,,SD PRO.0,Enter,fs-rom-0000040,,,,,,,0,0,#Chorus_Rom,1,
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,SD PRO.0,Chorus,fs-rom-0000060,,,,,,,0,0,#Chorus_Rom,1,
pc,,SD PRO.0,.,fs-rom-0000070,,,,,,,0,0,#Chorus_Rom,1,
sp,,,,sp-0001,{'#Chorus_Rom'},,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.1,,ftln-0001,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.1,Two,fs-rom-0000080,,two,#crd,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.1,households,fs-rom-0000100,,household,#n2,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.1,",",fs-rom-0000110,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.1,both,fs-rom-0000130,,both,#av_d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.1,alike,fs-rom-0000150,,alike,#av,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.1,in,fs-rom-0000170,,in,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.1,dignity,fs-rom-0000190,,dignity,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.2,,ftln-0002,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.2,(,fs-rom-0000200,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.2,In,fs-rom-0000210,,in,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.2,fair,fs-rom-0000230,,fair,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.2,Verona,fs-rom-0000250,,Verona,#n1-nn,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.2,",",fs-rom-0000260,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.2,where,fs-rom-0000280,,where,#crq-cs,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.2,we,fs-rom-0000300,,we,#pns,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.2,lay,fs-rom-0000320,,lay,#vvb,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.2,our,fs-rom-0000340,,our,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.2,scene,fs-rom-0000360,,scene,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
