act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#Boatswain_Tmp #Shipmaster_Tmp,#Shipmaster_Tmp,1,1
1,1,1,1,2,#Boatswain_Tmp #Shipmaster_Tmp,#Boatswain_Tmp,1,4
1,1,1,1,3,#Boatswain_Tmp #Shipmaster_Tmp,#Shipmaster_Tmp,2,16
1,1,2,3,4,#Boatswain_Tmp #SAILORS_Tmp,#Boatswain_Tmp,4,27
1,1,3,4,5,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Alonso_Tmp,2,10
1,1,3,4,6,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Boatswain_Tmp,1,5
1,1,3,4,7,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Antonio_Tmp,1,5
1,1,3,4,8,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Boatswain_Tmp,2,17
1,1,3,4,9,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Gonzalo_Tmp,1,4
1,1,3,4,10,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Boatswain_Tmp,3,20
1,1,3,4,11,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Gonzalo_Tmp,2,7
1,1,3,4,12,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Boatswain_Tmp,8,72
1,1,4,5,13,#Alonso_Tmp #Antonio_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Gonzalo_Tmp,6,53
1,1,5,7,14,#Boatswain_Tmp #SAILORS_Tmp,#Boatswain_Tmp,4,29
1,1,6,8,15,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Boatswain_Tmp,2,18
1,1,6,8,16,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Sebastian_Tmp,2,10
1,1,6,8,17,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Boatswain_Tmp,1,3
1,1,6,8,18,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Antonio_Tmp,3,17
1,1,6,8,19,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Gonzalo_Tmp,3,21
1,1,6,8,20,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#Boatswain_Tmp,2,15
1,1,6,8,21,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,#SAILORS_Tmp,1,8
1,1,7,9,22,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,#Boatswain_Tmp,1,6
1,1,7,9,23,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,#Gonzalo_Tmp,2,15
1,1,7,9,24,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,#Sebastian_Tmp,1,5
1,1,7,9,25,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,#Antonio_Tmp,3,22
1,1,8,10,26,#Antonio_Tmp #Gonzalo_Tmp #Sebastian_Tmp,#Gonzalo_Tmp,2,19
1,1,8,10,27,#Antonio_Tmp #Gonzalo_Tmp #Sebastian_Tmp,#Antonio_Tmp,1,6
1,1,8,10,28,#Antonio_Tmp #Gonzalo_Tmp #Sebastian_Tmp,#Sebastian_Tmp,1,5
1,1,9,11,29,#Gonzalo_Tmp,#Gonzalo_Tmp,4,33
1,2,10,13,30,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,13,111
1,2,10,13,31,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,3,13
1,2,10,13,32,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,1,4
1,2,10,13,33,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,7,51
1,2,10,13,34,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,2,9
1,2,10,13,35,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,15,90
1,2,10,13,36,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,4,23
1,2,10,13,37,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,6,42
1,2,10,13,38,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,1,4
1,2,10,13,39,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,3,20
1,2,10,13,40,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,4,26
1,2,10,13,41,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,5,41
1,2,10,13,42,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,1,5
1,2,10,13,43,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,3,19
1,2,10,13,44,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,1,6
1,2,10,13,45,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,4,30
1,2,10,13,46,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,3,19
1,2,10,13,47,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,3,18
1,2,10,13,48,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,4,23
1,2,10,13,49,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,13,100
1,2,10,13,50,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,1,3
1,2,10,13,51,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,9,79
1,2,10,13,52,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,1,5
1,2,10,13,53,#Miranda_Tmp #Prospero_Tmp,#Prospero_Tmp,19,140
1,2,10,13,54,#Miranda_Tmp #Prospero_Tmp,#Miranda_Tmp,1,6
