tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Camillo_WT', '#Archidamus_WT'}",,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,SD 1.1.0,Enter,fs-wt-0000070,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,SD 1.1.0,Camillo,fs-wt-0000090,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,SD 1.1.0,and,fs-wt-0000110,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,SD 1.1.0,Archidamus,fs-wt-0000130,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
pc,,SD 1.1.0,.,fs-wt-0000140,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
sp,,,,sp-0001,{'#Archidamus_WT'},,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
p,,,,p-0001,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
lb,,1.1.1,,ftln-0001,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
w,,1.1.1,If,fs-wt-0000160,,if,#cs,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.1,you,fs-wt-0000180,,you,#pn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.1,shall,fs-wt-0000200,,shall,#vmb,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.1,chance,fs-wt-0000220,,chance,#vvi,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.1,",",fs-wt-0000230,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.1,Camillo,fs-wt-0000250,,Camillo,#n1-nn,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
pc,,1.1.1,",",fs-wt-0000260,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.1,to,fs-wt-0000280,,to,#acp-cs,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
w,,1.1.1,visit,fs-wt-0000300,,visit,#vvi,,,,1,1,#Archidamus_WT #Camillo_WT,1,#Archidamus_WT
c,,, ,,,,,,,,1,1,#Archidamus_WT #Camillo_WT,1,
