act,scene,stagegroup,stagegroup_raw,setting,onstage,speaker,n_lines,n_tokens
1,1,1,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,1,3
1,1,1,1,2,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,1,5
1,1,1,1,3,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,1,10
1,1,1,1,4,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,1,6
1,1,1,1,5,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,5,32
1,1,1,1,6,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,1,8
1,1,1,1,7,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Merchant_Tim,1,5
1,1,1,1,8,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Jeweler_Tim,1,4
1,1,1,1,9,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Merchant_Tim,3,16
1,1,1,1,10,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Jeweler_Tim,1,5
1,1,1,1,11,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Merchant_Tim,1,10
1,1,1,1,12,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Jeweler_Tim,1,9
1,1,1,1,13,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,3,21
1,1,1,1,14,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Merchant_Tim,1,4
1,1,1,1,15,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Jeweler_Tim,1,8
1,1,1,1,16,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,2,13
1,1,1,1,17,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,6,47
1,1,1,1,18,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,1,8
1,1,1,1,19,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,2,11
1,1,1,1,20,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,1,4
1,1,1,1,21,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,1,8
1,1,1,1,22,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,1,1
1,1,1,1,23,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,5,32
1,1,1,1,24,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Painter_Tim,2,15
1,1,1,1,25,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,#Poet_Tim,3,17
1,1,2,2,26,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Painter_Tim,1,5
1,1,2,2,27,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Poet_Tim,1,6
1,1,2,2,28,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Painter_Tim,1,2
1,1,2,2,29,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Poet_Tim,10,69
1,1,2,2,30,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Painter_Tim,1,5
1,1,2,2,31,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Poet_Tim,12,88
1,1,2,2,32,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Painter_Tim,1,5
1,1,2,2,33,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Poet_Tim,10,79
1,1,2,2,34,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Painter_Tim,6,38
1,1,2,2,35,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Poet_Tim,7,49
1,1,2,2,36,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Painter_Tim,1,5
1,1,2,2,37,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Poet_Tim,5,41
1,1,2,2,38,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,#Painter_Tim,7,39
1,1,3,3,39,#Jeweler_Tim #MESSENGERS.X.1_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,5
1,1,3,3,40,#Jeweler_Tim #MESSENGERS.X.1_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#MESSENGERS.X.1_Tim,5,33
1,1,3,3,41,#Jeweler_Tim #MESSENGERS.X.1_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,5,41
1,1,3,3,42,#Jeweler_Tim #MESSENGERS.X.1_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#MESSENGERS.X.1_Tim,1,5
1,1,3,3,43,#Jeweler_Tim #MESSENGERS.X.1_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,4,33
1,1,3,3,44,#Jeweler_Tim #MESSENGERS.X.1_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#MESSENGERS.X.1_Tim,1,5
1,1,4,5,45,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,1,5
1,1,4,5,46,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,3
1,1,4,5,47,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,1,6
1,1,4,5,48,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,6
1,1,4,5,49,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,1,8
1,1,4,5,50,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,6
1,1,4,5,51,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#SERVANTS.TIMON.Lucilius_Tim,1,5
1,1,4,5,52,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,5,40
1,1,4,5,53,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,3
1,1,4,5,54,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,8,65
1,1,4,5,55,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,4
1,1,4,5,56,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,3,17
1,1,4,5,57,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,4
1,1,4,5,58,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,3,16
1,1,4,5,59,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,4
1,1,4,5,60,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#SERVANTS.TIMON.Lucilius_Tim,1,9
1,1,4,5,61,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,4,30
1,1,4,5,62,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,2,13
1,1,4,5,63,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,1,8
1,1,4,5,64,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,5,40
1,1,4,5,65,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#OldMan_Tim,2,12
1,1,4,5,66,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,9
1,1,4,5,67,#Jeweler_Tim #Merchant_Tim #OldMan_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON.Lucilius_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#SERVANTS.TIMON.Lucilius_Tim,3,21
1,1,5,6,68,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Poet_Tim,1,8
1,1,5,6,69,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,2,18
1,1,5,6,70,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Painter_Tim,2,12
1,1,5,6,71,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,7,50
1,1,5,6,72,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Painter_Tim,1,4
1,1,5,6,73,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,3,20
1,1,5,6,74,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Jeweler_Tim,1,4
1,1,5,6,75,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,3,20
1,1,5,6,76,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Jeweler_Tim,5,39
1,1,5,6,77,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,2
1,1,5,6,78,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Merchant_Tim,2,15
1,1,6,7,79,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,8
1,1,6,7,80,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Jeweler_Tim,1,5
1,1,6,7,81,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Merchant_Tim,1,3
1,1,6,7,82,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,6
1,1,6,7,83,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Apemantus_Tim,2,19
1,1,6,7,84,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,2,10
1,1,6,7,85,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Apemantus_Tim,1,4
1,1,6,7,86,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,1
1,1,6,7,87,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Apemantus_Tim,1,4
1,1,6,7,88,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Jeweler_Tim,1,4
1,1,6,7,89,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Apemantus_Tim,2,10
1,1,6,7,90,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,4
1,1,6,7,91,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Apemantus_Tim,2,11
1,1,6,7,92,#Apemantus_Tim #Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim #SERVANTS.TIMON_Tim #Timon_Tim,#Timon_Tim,1,3
