xml:id,corresp
ATTENDANTS.OLIVIA.0.1_TN,ATTENDANTS.OLIVIA_TN
ATTENDANTS.OLIVIA.1_TN,ATTENDANTS.OLIVIA_TN
ATTENDANTS.OLIVIA_TN,ATTENDANTS_TN
ATTENDANTS.ORSINO.0_TN,ATTENDANTS.ORSINO_TN
ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.ORSINO_TN
ATTENDANTS.ORSINO.Valentine_TN,#ATTENDANTS.ORSINO_TN
ATTENDANTS.ORSINO_TN,ATTENDANTS_TN
ATTENDANTS_TN,
AndrewAguecheek_TN,
Antonio_TN,
Captain_TN,
Fabian_TN,
Feste_TN,
MUSICIANS_TN,
Malvolio_TN,
Maria_TN,
OFFICERS.1_TN,#OFFICERS_TN
OFFICERS.2_TN,#OFFICERS_TN
OFFICERS_TN,
Olivia_TN,
Orsino_TN,
Priest_TN,
SAILORS_TN,
Sebastian_TN,
TobyBelch_TN,
Viola_TN,
