node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#ATTENDANTS_MND,#Hippolyta_MND,0,1,1,1,108,16,1
#ATTENDANTS_MND,#Philostrate_MND,0,1,1,1,108,16,1
#ATTENDANTS_MND,#Theseus_MND,0,1,1,1,108,16,1
#Hippolyta_MND,#Philostrate_MND,0,1,1,1,108,16,1
#Hippolyta_MND,#Theseus_MND,0,1,1,1,108,16,1
#Philostrate_MND,#Theseus_MND,0,1,1,1,108,16,1
#ATTENDANTS_MND,#Hippolyta_MND,1,1,1,2,29,4,2
#ATTENDANTS_MND,#Theseus_MND,1,1,1,2,29,4,2
#Hippolyta_MND,#Theseus_MND,1,1,1,2,29,4,2
#ATTENDANTS_MND,#Demetrius_MND,0,1,1,3,799,109,3
#ATTENDANTS_MND,#Egeus_MND,0,1,1,3,799,109,3
#ATTENDANTS_MND,#Hermia_MND,0,1,1,3,799,109,3
#ATTENDANTS_MND,#Hippolyta_MND,2,1,1,3,799,109,3
#ATTENDANTS_MND,#Lysander_MND,0,1,1,3,799,109,3
#ATTENDANTS_MND,#Theseus_MND,2,1,1,3,799,109,3
#Demetrius_MND,#Egeus_MND,0,1,1,3,799,109,3
#Demetrius_MND,#Hermia_MND,0,1,1,3,799,109,3
#Demetrius_MND,#Lysander_MND,0,1,1,3,799,109,3
#Egeus_MND,#Hermia_MND,0,1,1,3,799,109,3
#Egeus_MND,#Lysander_MND,0,1,1,3,799,109,3
#Hermia_MND,#Lysander_MND,0,1,1,3,799,109,3
#Hippolyta_MND,#Demetrius_MND,0,1,1,3,799,109,3
#Hippolyta_MND,#Egeus_MND,0,1,1,3,799,109,3
#Hippolyta_MND,#Hermia_MND,0,1,1,3,799,109,3
#Hippolyta_MND,#Lysander_MND,0,1,1,3,799,109,3
#Hippolyta_MND,#Theseus_MND,2,1,1,3,799,109,3
#Theseus_MND,#Demetrius_MND,0,1,1,3,799,109,3
#Theseus_MND,#Egeus_MND,0,1,1,3,799,109,3
#Theseus_MND,#Hermia_MND,0,1,1,3,799,109,3
#Theseus_MND,#Lysander_MND,0,1,1,3,799,109,3
#Hermia_MND,#Lysander_MND,1,1,1,4,413,53,4
#Hermia_MND,#Helena_MND,0,1,1,5,353,47,5
#Hermia_MND,#Lysander_MND,2,1,1,5,353,47,5
#Lysander_MND,#Helena_MND,0,1,1,5,353,47,5
#Lysander_MND,#Helena_MND,1,1,1,6,10,2,6
#Bottom_MND,#Flute_MND,0,1,2,8,764,107,8
#Bottom_MND,#Quince_MND,0,1,2,8,764,107,8
#Bottom_MND,#Snout_MND,0,1,2,8,764,107,8
#Bottom_MND,#Snug_MND,0,1,2,8,764,107,8
#Bottom_MND,#Starveling_MND,0,1,2,8,764,107,8
#Flute_MND,#Quince_MND,0,1,2,8,764,107,8
#Flute_MND,#Snout_MND,0,1,2,8,764,107,8
#Flute_MND,#Snug_MND,0,1,2,8,764,107,8
#Flute_MND,#Starveling_MND,0,1,2,8,764,107,8
#Quince_MND,#Snout_MND,0,1,2,8,764,107,8
#Quince_MND,#Snug_MND,0,1,2,8,764,107,8
#Quince_MND,#Starveling_MND,0,1,2,8,764,107,8
#Snout_MND,#Snug_MND,0,1,2,8,764,107,8
#Snout_MND,#Starveling_MND,0,1,2,8,764,107,8
#Snug_MND,#Starveling_MND,0,1,2,8,764,107,8
#FAIRIES.TITANIA.1_MND,#RobinGoodfellow_MND,0,2,1,9,434,61,9
#FAIRIES.OBERON_MND,#FAIRIES.TITANIA_MND,0,2,1,10,651,89,10
#FAIRIES.OBERON_MND,#Oberon_MND,0,2,1,10,651,89,10
#FAIRIES.OBERON_MND,#Titania_MND,0,2,1,10,651,89,10
#FAIRIES.TITANIA.1_MND,#FAIRIES.OBERON_MND,0,2,1,10,651,89,10
#FAIRIES.TITANIA.1_MND,#FAIRIES.TITANIA_MND,0,2,1,10,651,89,10
#FAIRIES.TITANIA.1_MND,#Oberon_MND,0,2,1,10,651,89,10
#FAIRIES.TITANIA.1_MND,#RobinGoodfellow_MND,1,2,1,10,651,89,10
#FAIRIES.TITANIA.1_MND,#Titania_MND,0,2,1,10,651,89,10
#FAIRIES.TITANIA_MND,#Oberon_MND,0,2,1,10,651,89,10
#FAIRIES.TITANIA_MND,#Titania_MND,0,2,1,10,651,89,10
#Oberon_MND,#Titania_MND,0,2,1,10,651,89,10
#RobinGoodfellow_MND,#FAIRIES.OBERON_MND,0,2,1,10,651,89,10
#RobinGoodfellow_MND,#FAIRIES.TITANIA_MND,0,2,1,10,651,89,10
#RobinGoodfellow_MND,#Oberon_MND,0,2,1,10,651,89,10
#RobinGoodfellow_MND,#Titania_MND,0,2,1,10,651,89,10
#FAIRIES.OBERON_MND,#Oberon_MND,1,2,1,11,234,32,11
#RobinGoodfellow_MND,#FAIRIES.OBERON_MND,1,2,1,11,234,32,11
#RobinGoodfellow_MND,#Oberon_MND,1,2,1,11,234,32,11
#FAIRIES.OBERON_MND,#Oberon_MND,2,2,1,12,93,12,12
#Demetrius_MND,#FAIRIES.OBERON_MND,0,2,1,13,464,55,13
#Demetrius_MND,#Helena_MND,0,2,1,13,464,55,13
#Demetrius_MND,#Oberon_MND,0,2,1,13,464,55,13
#FAIRIES.OBERON_MND,#Oberon_MND,3,2,1,13,464,55,13
#Helena_MND,#FAIRIES.OBERON_MND,0,2,1,13,464,55,13
#Helena_MND,#Oberon_MND,0,2,1,13,464,55,13
#FAIRIES.OBERON_MND,#Oberon_MND,4,2,1,14,18,2,14
#Helena_MND,#FAIRIES.OBERON_MND,1,2,1,14,18,2,14
#Helena_MND,#Oberon_MND,1,2,1,14,18,2,14
#FAIRIES.OBERON_MND,#Oberon_MND,5,2,1,15,20,2,15
#FAIRIES.OBERON_MND,#Oberon_MND,6,2,1,16,178,23,16
#RobinGoodfellow_MND,#FAIRIES.OBERON_MND,2,2,1,16,178,23,16
#RobinGoodfellow_MND,#Oberon_MND,2,2,1,16,178,23,16
#FAIRIES.TITANIA_MND,#Titania_MND,1,2,2,17,67,8,17
#FAIRIES.TITANIA_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,18,104,22,18
#FAIRIES.TITANIA_MND,#Titania_MND,2,2,2,18,104,22,18
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,18,104,22,18
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,19,10,2,19
#FAIRIES.TITANIA_MND,#FAIRIES.TITANIA.0.1_MND,1,2,2,19,10,2,19
#FAIRIES.TITANIA_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,19,10,2,19
#FAIRIES.TITANIA_MND,#Titania_MND,3,2,2,19,10,2,19
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,1,2,2,19,10,2,19
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,19,10,2,19
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,1,2,2,20,53,8,20
#Oberon_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,20,53,8,20
#Oberon_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,20,53,8,20
#Oberon_MND,#Titania_MND,1,2,2,20,53,8,20
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,2,2,2,20,53,8,20
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,1,2,2,20,53,8,20
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,2,2,2,21,251,31,21
#Hermia_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,21,251,31,21
#Hermia_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,21,251,31,21
#Hermia_MND,#Lysander_MND,3,2,2,21,251,31,21
#Hermia_MND,#Titania_MND,0,2,2,21,251,31,21
#Lysander_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,21,251,31,21
#Lysander_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,21,251,31,21
#Lysander_MND,#Titania_MND,0,2,2,21,251,31,21
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,3,2,2,21,251,31,21
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,2,2,2,21,251,31,21
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,3,2,2,22,105,18,22
#Hermia_MND,#FAIRIES.TITANIA.0.1_MND,1,2,2,22,105,18,22
#Hermia_MND,#FAIRIES.TITANIA.0.2_MND,1,2,2,22,105,18,22
#Hermia_MND,#Lysander_MND,4,2,2,22,105,18,22
#Hermia_MND,#RobinGoodfellow_MND,0,2,2,22,105,18,22
#Hermia_MND,#Titania_MND,1,2,2,22,105,18,22
#Lysander_MND,#FAIRIES.TITANIA.0.1_MND,1,2,2,22,105,18,22
#Lysander_MND,#FAIRIES.TITANIA.0.2_MND,1,2,2,22,105,18,22
#Lysander_MND,#RobinGoodfellow_MND,0,2,2,22,105,18,22
#Lysander_MND,#Titania_MND,1,2,2,22,105,18,22
#RobinGoodfellow_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,22,105,18,22
#RobinGoodfellow_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,22,105,18,22
#RobinGoodfellow_MND,#Titania_MND,1,2,2,22,105,18,22
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,4,2,2,22,105,18,22
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,3,2,2,22,105,18,22
#Demetrius_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,23,34,4,23
#Demetrius_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,23,34,4,23
#Demetrius_MND,#Helena_MND,1,2,2,23,34,4,23
#Demetrius_MND,#Hermia_MND,1,2,2,23,34,4,23
#Demetrius_MND,#Lysander_MND,1,2,2,23,34,4,23
#Demetrius_MND,#Titania_MND,0,2,2,23,34,4,23
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,4,2,2,23,34,4,23
#Helena_MND,#FAIRIES.TITANIA.0.1_MND,0,2,2,23,34,4,23
#Helena_MND,#FAIRIES.TITANIA.0.2_MND,0,2,2,23,34,4,23
#Helena_MND,#Titania_MND,0,2,2,23,34,4,23
#Hermia_MND,#FAIRIES.TITANIA.0.1_MND,2,2,2,23,34,4,23
#Hermia_MND,#FAIRIES.TITANIA.0.2_MND,2,2,2,23,34,4,23
#Hermia_MND,#Helena_MND,1,2,2,23,34,4,23
#Hermia_MND,#Lysander_MND,5,2,2,23,34,4,23
#Hermia_MND,#Titania_MND,2,2,2,23,34,4,23
#Lysander_MND,#FAIRIES.TITANIA.0.1_MND,2,2,2,23,34,4,23
#Lysander_MND,#FAIRIES.TITANIA.0.2_MND,2,2,2,23,34,4,23
#Lysander_MND,#Helena_MND,2,2,2,23,34,4,23
#Lysander_MND,#Titania_MND,2,2,2,23,34,4,23
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,5,2,2,23,34,4,23
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,4,2,2,23,34,4,23
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,5,2,2,24,377,48,24
#Helena_MND,#FAIRIES.TITANIA.0.1_MND,1,2,2,24,377,48,24
#Helena_MND,#FAIRIES.TITANIA.0.2_MND,1,2,2,24,377,48,24
#Helena_MND,#Titania_MND,1,2,2,24,377,48,24
#Hermia_MND,#FAIRIES.TITANIA.0.1_MND,3,2,2,24,377,48,24
#Hermia_MND,#FAIRIES.TITANIA.0.2_MND,3,2,2,24,377,48,24
#Hermia_MND,#Helena_MND,2,2,2,24,377,48,24
#Hermia_MND,#Lysander_MND,6,2,2,24,377,48,24
#Hermia_MND,#Titania_MND,3,2,2,24,377,48,24
#Lysander_MND,#FAIRIES.TITANIA.0.1_MND,3,2,2,24,377,48,24
#Lysander_MND,#FAIRIES.TITANIA.0.2_MND,3,2,2,24,377,48,24
#Lysander_MND,#Helena_MND,3,2,2,24,377,48,24
#Lysander_MND,#Titania_MND,3,2,2,24,377,48,24
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,6,2,2,24,377,48,24
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,5,2,2,24,377,48,24
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,6,2,2,25,79,10,25
#Hermia_MND,#FAIRIES.TITANIA.0.1_MND,4,2,2,25,79,10,25
#Hermia_MND,#FAIRIES.TITANIA.0.2_MND,4,2,2,25,79,10,25
#Hermia_MND,#Lysander_MND,7,2,2,25,79,10,25
#Hermia_MND,#Titania_MND,4,2,2,25,79,10,25
#Lysander_MND,#FAIRIES.TITANIA.0.1_MND,4,2,2,25,79,10,25
#Lysander_MND,#FAIRIES.TITANIA.0.2_MND,4,2,2,25,79,10,25
#Lysander_MND,#Titania_MND,4,2,2,25,79,10,25
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,7,2,2,25,79,10,25
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,6,2,2,25,79,10,25
#FAIRIES.TITANIA.0.1_MND,#FAIRIES.TITANIA.0.2_MND,7,2,2,26,96,12,26
#Hermia_MND,#FAIRIES.TITANIA.0.1_MND,5,2,2,26,96,12,26
#Hermia_MND,#FAIRIES.TITANIA.0.2_MND,5,2,2,26,96,12,26
#Hermia_MND,#Titania_MND,5,2,2,26,96,12,26
#Titania_MND,#FAIRIES.TITANIA.0.1_MND,8,2,2,26,96,12,26
#Titania_MND,#FAIRIES.TITANIA.0.2_MND,7,2,2,26,96,12,26
#Bottom_MND,#Flute_MND,1,3,1,27,590,75,27
#Bottom_MND,#Quince_MND,1,3,1,27,590,75,27
#Bottom_MND,#Snout_MND,1,3,1,27,590,75,27
#Bottom_MND,#Snug_MND,1,3,1,27,590,75,27
#Bottom_MND,#Starveling_MND,1,3,1,27,590,75,27
#Flute_MND,#Quince_MND,1,3,1,27,590,75,27
#Flute_MND,#Snout_MND,1,3,1,27,590,75,27
#Flute_MND,#Snug_MND,1,3,1,27,590,75,27
#Flute_MND,#Starveling_MND,1,3,1,27,590,75,27
#Quince_MND,#Snout_MND,1,3,1,27,590,75,27
#Quince_MND,#Snug_MND,1,3,1,27,590,75,27
#Quince_MND,#Starveling_MND,1,3,1,27,590,75,27
#Snout_MND,#Snug_MND,1,3,1,27,590,75,27
#Snout_MND,#Starveling_MND,1,3,1,27,590,75,27
#Snug_MND,#Starveling_MND,1,3,1,27,590,75,27
#Bottom_MND,#Flute_MND,2,3,1,28,74,11,28
#Bottom_MND,#Quince_MND,2,3,1,28,74,11,28
#Bottom_MND,#RobinGoodfellow_MND,0,3,1,28,74,11,28
#Bottom_MND,#Snout_MND,2,3,1,28,74,11,28
#Bottom_MND,#Snug_MND,2,3,1,28,74,11,28
#Bottom_MND,#Starveling_MND,2,3,1,28,74,11,28
#Flute_MND,#Quince_MND,2,3,1,28,74,11,28
#Flute_MND,#RobinGoodfellow_MND,0,3,1,28,74,11,28
#Flute_MND,#Snout_MND,2,3,1,28,74,11,28
#Flute_MND,#Snug_MND,2,3,1,28,74,11,28
#Flute_MND,#Starveling_MND,2,3,1,28,74,11,28
#Quince_MND,#RobinGoodfellow_MND,0,3,1,28,74,11,28
#Quince_MND,#Snout_MND,2,3,1,28,74,11,28
#Quince_MND,#Snug_MND,2,3,1,28,74,11,28
#Quince_MND,#Starveling_MND,2,3,1,28,74,11,28
#Snout_MND,#RobinGoodfellow_MND,0,3,1,28,74,11,28
#Snout_MND,#Snug_MND,2,3,1,28,74,11,28
#Snout_MND,#Starveling_MND,2,3,1,28,74,11,28
#Snug_MND,#RobinGoodfellow_MND,0,3,1,28,74,11,28
#Snug_MND,#Starveling_MND,2,3,1,28,74,11,28
#Starveling_MND,#RobinGoodfellow_MND,0,3,1,28,74,11,28
#Flute_MND,#Quince_MND,3,3,1,29,7,1,29
