act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Demetrius_MND,13,2,799,109
1,1,#Egeus_MND,217,30,799,109
1,1,#Helena_MND,350,45,571,75
1,1,#Hermia_MND,432,56,1565,209
1,1,#Hippolyta_MND,35,5,936,129
1,1,#Lysander_MND,405,54,1575,211
1,1,#Theseus_MND,468,65,936,129
1,2,#Bottom_MND,375,53,764,107
1,2,#Flute_MND,29,5,764,107
1,2,#Quince_MND,348,47,764,107
1,2,#Snout_MND,10,2,764,107
1,2,#Snug_MND,27,3,764,107
1,2,#Starveling_MND,10,2,764,107
2,1,#Demetrius_MND,190,23,464,55
2,1,#FAIRIES.TITANIA.1_MND,187,28,1085,150
2,1,#Helena_MND,292,34,482,57
2,1,#Oberon_MND,605,80,1658,215
2,1,#RobinGoodfellow_MND,273,38,1497,205
2,1,#Titania_MND,545,73,651,89
2,2,#Demetrius_MND,18,2,34,4
2,2,#FAIRIES.TITANIA.0.1_MND,44,8,1109,155
2,2,#FAIRIES.TITANIA.0.2_MND,10,2,1005,133
2,2,#FAIRIES.TITANIA_MND,60,14,181,32
2,2,#Helena_MND,256,33,411,52
2,2,#Hermia_MND,204,26,942,123
2,2,#Lysander_MND,359,44,846,111
2,2,#Oberon_MND,53,8,53,8
2,2,#RobinGoodfellow_MND,105,18,105,18
2,2,#Titania_MND,67,8,1176,163
3,1,#Bottom_MND,707,91,1368,191
3,1,#FAIRIES.TITANIA.Cobweb_MND,8,4,249,44
3,1,#FAIRIES.TITANIA.Mote_MND,7,3,249,44
3,1,#FAIRIES.TITANIA.Mustardseed_MND,8,4,249,44
3,1,#FAIRIES.TITANIA.Peaseblossom_MND,8,4,249,44
3,1,#Flute_MND,56,9,807,106
3,1,#Quince_MND,274,37,815,108
3,1,#RobinGoodfellow_MND,90,12,155,22
3,1,#Snout_MND,57,10,831,110
3,1,#Starveling_MND,18,3,807,106
3,1,#Titania_MND,268,34,512,78
3,2,#Demetrius_MND,482,65,2751,374
3,2,#Helena_MND,900,117,2025,275
3,2,#Hermia_MND,632,81,1839,249
3,2,#Lysander_MND,476,61,2162,294
3,2,#Oberon_MND,460,63,3149,417
3,2,#RobinGoodfellow_MND,672,106,3487,474
4,1,#Bottom_MND,396,49,1681,230
4,1,#Demetrius_MND,198,25,308,43
4,1,#Egeus_MND,79,12,644,87
4,1,#FAIRIES.TITANIA.Cobweb_MND,1,1,105,17
4,1,#FAIRIES.TITANIA.Mustardseed_MND,4,2,294,43
4,1,#FAIRIES.TITANIA.Peaseblossom_MND,1,1,294,43
4,1,#Helena_MND,18,4,78,12
4,1,#Hermia_MND,16,3,90,14
4,1,#Hippolyta_MND,54,7,644,87
4,1,#Lysander_MND,76,10,460,64
4,1,#Oberon_MND,337,47,744,107
4,1,#RobinGoodfellow_MND,21,4,420,60
4,1,#Theseus_MND,305,42,644,87
4,1,#Titania_MND,175,23,744,107
4,2,#Bottom_MND,157,18,171,21
4,2,#Flute_MND,91,12,349,45
4,2,#Quince_MND,59,9,349,45
4,2,#Snug_MND,31,4,252,31
4,2,#Starveling_MND,11,2,349,45
5,1,#Bottom_MND,405,64,1145,178
5,1,#Demetrius_MND,165,26,2430,359
5,1,#Flute_MND,179,34,632,97
5,1,#Hippolyta_MND,161,24,2624,387
5,1,#Lysander_MND,79,12,2430,359
5,1,#Oberon_MND,152,28,177,32
5,1,#Philostrate_MND,183,24,2467,366
5,1,#Quince_MND,281,38,300,41
5,1,#RobinGoodfellow_MND,209,36,386,68
5,1,#Snout_MND,98,12,627,85
5,1,#Snug_MND,67,10,575,84
5,1,#Starveling_MND,55,7,770,120
5,1,#Theseus_MND,951,136,2624,387
5,1,#Titania_MND,25,4,177,32
1,1,#ATTENDANTS_MND,0,0,936,129
1,1,#Philostrate_MND,0,0,108,16
2,1,#FAIRIES.OBERON_MND,0,0,1658,215
2,1,#FAIRIES.TITANIA_MND,0,0,651,89
3,1,#Snug_MND,0,0,807,106
4,1,#ATTENDANTS_MND,0,0,644,87
4,1,#FAIRIES.TITANIA.Mote_MND,0,0,294,43
4,2,#Snout_MND,0,0,349,45
5,1,#ATTENDANTS_MND,0,0,2624,387
5,1,#FAIRIES_MND,0,0,177,32
5,1,#Helena_MND,0,0,2430,359
5,1,#Hermia_MND,0,0,2430,359
