node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_MND,4204,0,603,0
#Bottom_MND,5129,2040,727,275
#Demetrius_MND,6786,1066,944,143
#Egeus_MND,1443,296,196,42
#FAIRIES.OBERON_MND,1658,0,215,0
#FAIRIES.TITANIA.0.1_MND,1109,44,155,8
#FAIRIES.TITANIA.0.2_MND,1005,10,133,2
#FAIRIES.TITANIA.1_MND,1085,187,150,28
#FAIRIES.TITANIA.Cobweb_MND,354,9,61,5
#FAIRIES.TITANIA.Mote_MND,543,7,87,3
#FAIRIES.TITANIA.Mustardseed_MND,543,12,87,6
#FAIRIES.TITANIA.Peaseblossom_MND,543,9,87,5
#FAIRIES.TITANIA_MND,832,60,121,14
#FAIRIES_MND,177,0,32,0
#Flute_MND,2552,355,355,60
#Helena_MND,5997,1816,830,233
#Hermia_MND,6866,1284,954,166
#Hippolyta_MND,4204,250,603,36
#Lysander_MND,7473,1395,1039,181
#Oberon_MND,5781,1607,779,226
#Philostrate_MND,2575,183,382,24
#Quince_MND,2228,962,301,131
#RobinGoodfellow_MND,6050,1370,847,214
#Snout_MND,2571,165,347,24
#Snug_MND,2398,125,328,17
#Starveling_MND,2690,94,378,14
#Theseus_MND,4204,1724,603,243
#Titania_MND,3260,1080,469,142
