node1,node2,n_lines,n_tokens
#ATTENDANTS_MND,1.01.0001,16,108
#Hippolyta_MND,1.01.0001,16,108
#Philostrate_MND,1.01.0001,16,108
#Theseus_MND,1.01.0001,16,108
#ATTENDANTS_MND,1.01.0002,4,29
#Hippolyta_MND,1.01.0002,4,29
#Theseus_MND,1.01.0002,4,29
#ATTENDANTS_MND,1.01.0003,109,799
#Demetrius_MND,1.01.0003,109,799
#Egeus_MND,1.01.0003,109,799
#Hermia_MND,1.01.0003,109,799
#Hippolyta_MND,1.01.0003,109,799
#Lysander_MND,1.01.0003,109,799
#Theseus_MND,1.01.0003,109,799
#Hermia_MND,1.01.0004,53,413
#Lysander_MND,1.01.0004,53,413
#Helena_MND,1.01.0005,47,353
#Hermia_MND,1.01.0005,47,353
#Lysander_MND,1.01.0005,47,353
#Helena_MND,1.01.0006,2,10
#Lysander_MND,1.01.0006,2,10
#Helena_MND,1.01.0007,26,208
#Bottom_MND,1.02.0008,107,764
#Flute_MND,1.02.0008,107,764
#Quince_MND,1.02.0008,107,764
#Snout_MND,1.02.0008,107,764
#Snug_MND,1.02.0008,107,764
#Starveling_MND,1.02.0008,107,764
#FAIRIES.TITANIA.1_MND,2.01.0009,61,434
#RobinGoodfellow_MND,2.01.0009,61,434
#FAIRIES.OBERON_MND,2.01.0010,89,651
#FAIRIES.TITANIA.1_MND,2.01.0010,89,651
#FAIRIES.TITANIA_MND,2.01.0010,89,651
#Oberon_MND,2.01.0010,89,651
#RobinGoodfellow_MND,2.01.0010,89,651
#Titania_MND,2.01.0010,89,651
#FAIRIES.OBERON_MND,2.01.0011,32,234
#Oberon_MND,2.01.0011,32,234
#RobinGoodfellow_MND,2.01.0011,32,234
#FAIRIES.OBERON_MND,2.01.0012,12,93
#Oberon_MND,2.01.0012,12,93
#Demetrius_MND,2.01.0013,55,464
#FAIRIES.OBERON_MND,2.01.0013,55,464
#Helena_MND,2.01.0013,55,464
#Oberon_MND,2.01.0013,55,464
#FAIRIES.OBERON_MND,2.01.0014,2,18
#Helena_MND,2.01.0014,2,18
#Oberon_MND,2.01.0014,2,18
#FAIRIES.OBERON_MND,2.01.0015,2,20
#Oberon_MND,2.01.0015,2,20
#FAIRIES.OBERON_MND,2.01.0016,23,178
#Oberon_MND,2.01.0016,23,178
#RobinGoodfellow_MND,2.01.0016,23,178
#FAIRIES.TITANIA_MND,2.02.0017,8,67
#Titania_MND,2.02.0017,8,67
#FAIRIES.TITANIA.0.1_MND,2.02.0018,22,104
#FAIRIES.TITANIA_MND,2.02.0018,22,104
#Titania_MND,2.02.0018,22,104
#FAIRIES.TITANIA.0.1_MND,2.02.0019,2,10
#FAIRIES.TITANIA.0.2_MND,2.02.0019,2,10
#FAIRIES.TITANIA_MND,2.02.0019,2,10
#Titania_MND,2.02.0019,2,10
#FAIRIES.TITANIA.0.1_MND,2.02.0020,8,53
#FAIRIES.TITANIA.0.2_MND,2.02.0020,8,53
#Oberon_MND,2.02.0020,8,53
#Titania_MND,2.02.0020,8,53
#FAIRIES.TITANIA.0.1_MND,2.02.0021,31,251
#FAIRIES.TITANIA.0.2_MND,2.02.0021,31,251
#Hermia_MND,2.02.0021,31,251
#Lysander_MND,2.02.0021,31,251
#Titania_MND,2.02.0021,31,251
#FAIRIES.TITANIA.0.1_MND,2.02.0022,18,105
#FAIRIES.TITANIA.0.2_MND,2.02.0022,18,105
#Hermia_MND,2.02.0022,18,105
