source,target,key,n_lines,n_tokens,edge_index,edge_type
#Theseus_MND,1.01.0001,0,6,43,1,active
1.01.0001,#ATTENDANTS_MND,0,6,43,1,passive
1.01.0001,#Hippolyta_MND,0,6,43,1,passive
1.01.0001,#Philostrate_MND,0,6,43,1,passive
#Hippolyta_MND,1.01.0001,0,5,35,2,active
1.01.0001,#ATTENDANTS_MND,1,5,35,2,passive
1.01.0001,#Philostrate_MND,1,5,35,2,passive
1.01.0001,#Theseus_MND,0,5,35,2,passive
#Theseus_MND,1.01.0001,1,5,30,3,active
1.01.0001,#ATTENDANTS_MND,2,5,30,3,passive
1.01.0001,#Hippolyta_MND,1,5,30,3,passive
1.01.0001,#Philostrate_MND,2,5,30,3,passive
#Theseus_MND,1.01.0002,0,4,29,4,active
1.01.0002,#ATTENDANTS_MND,0,4,29,4,passive
1.01.0002,#Hippolyta_MND,0,4,29,4,passive
#Egeus_MND,1.01.0003,0,1,6,5,active
1.01.0003,#ATTENDANTS_MND,0,1,6,5,passive
1.01.0003,#Demetrius_MND,0,1,6,5,passive
1.01.0003,#Hermia_MND,0,1,6,5,passive
1.01.0003,#Hippolyta_MND,0,1,6,5,passive
1.01.0003,#Lysander_MND,0,1,6,5,passive
1.01.0003,#Theseus_MND,0,1,6,5,passive
#Theseus_MND,1.01.0003,0,1,8,6,active
1.01.0003,#ATTENDANTS_MND,1,1,8,6,passive
1.01.0003,#Demetrius_MND,1,1,8,6,passive
1.01.0003,#Egeus_MND,0,1,8,6,passive
1.01.0003,#Hermia_MND,1,1,8,6,passive
1.01.0003,#Hippolyta_MND,1,1,8,6,passive
1.01.0003,#Lysander_MND,1,1,8,6,passive
#Egeus_MND,1.01.0003,1,24,173,7,active
1.01.0003,#ATTENDANTS_MND,2,24,173,7,passive
1.01.0003,#Demetrius_MND,2,24,173,7,passive
1.01.0003,#Hermia_MND,2,24,173,7,passive
1.01.0003,#Hippolyta_MND,2,24,173,7,passive
1.01.0003,#Lysander_MND,2,24,173,7,passive
1.01.0003,#Theseus_MND,1,24,173,7,passive
#Theseus_MND,1.01.0003,1,7,54,8,active
1.01.0003,#ATTENDANTS_MND,3,7,54,8,passive
1.01.0003,#Demetrius_MND,3,7,54,8,passive
1.01.0003,#Egeus_MND,1,7,54,8,passive
1.01.0003,#Hermia_MND,3,7,54,8,passive
1.01.0003,#Hippolyta_MND,3,7,54,8,passive
1.01.0003,#Lysander_MND,3,7,54,8,passive
#Hermia_MND,1.01.0003,0,1,3,9,active
1.01.0003,#ATTENDANTS_MND,4,1,3,9,passive
1.01.0003,#Demetrius_MND,4,1,3,9,passive
1.01.0003,#Egeus_MND,2,1,3,9,passive
1.01.0003,#Hippolyta_MND,4,1,3,9,passive
