node1,node2,count
#ATTENDANTS.KING.0.1_AWW,#ATTENDANTS.KING.0.2_AWW,2
#ATTENDANTS.KING.0.1_AWW,#ATTENDANTS.KING_AWW,4
#ATTENDANTS.KING.0.1_AWW,#King_AWW,4
#ATTENDANTS.KING.0.1_AWW,#LORDS.DUMAINE.1_AWW,1
#ATTENDANTS.KING.0.1_AWW,#LORDS.DUMAINE.2_AWW,1
#ATTENDANTS.KING.0.1_AWW,#Parolles_AWW,1
#ATTENDANTS.KING.0.2_AWW,#ATTENDANTS.KING_AWW,7
#ATTENDANTS.KING.0.2_AWW,#Diana_AWW,4
#ATTENDANTS.KING.0.2_AWW,#King_AWW,7
#ATTENDANTS.KING.0.2_AWW,#LORDS.DUMAINE.1_AWW,5
#ATTENDANTS.KING.0.2_AWW,#LORDS.DUMAINE.2_AWW,5
#ATTENDANTS.KING.0.2_AWW,#Parolles_AWW,4
#ATTENDANTS.KING.0.2_AWW,#Widow_AWW,3
#ATTENDANTS.KING_AWW,#Diana_AWW,4
#ATTENDANTS.KING_AWW,#GENTLEMEN.3_AWW,1
#ATTENDANTS.KING_AWW,#King_AWW,23
#ATTENDANTS.KING_AWW,#LORDS.COURT.1_AWW,1
#ATTENDANTS.KING_AWW,#LORDS.COURT.2_AWW,1
#ATTENDANTS.KING_AWW,#LORDS.COURT.3_AWW,1
#ATTENDANTS.KING_AWW,#LORDS.COURT.4_AWW,1
#ATTENDANTS.KING_AWW,#LORDS.DUMAINE.1_AWW,13
#ATTENDANTS.KING_AWW,#LORDS.DUMAINE.2_AWW,13
#ATTENDANTS.KING_AWW,#Parolles_AWW,8
#ATTENDANTS.KING_AWW,#Widow_AWW,3
#Bertram_AWW,#ATTENDANTS.KING.0.1_AWW,1
#Bertram_AWW,#ATTENDANTS.KING.0.2_AWW,6
#Bertram_AWW,#ATTENDANTS.KING_AWW,11
#Bertram_AWW,#CITIZENS_AWW,1
#Bertram_AWW,#Countess_AWW,7
#Bertram_AWW,#Diana_AWW,6
#Bertram_AWW,#Duke_AWW,1
#Bertram_AWW,#Helen_AWW,7
#Bertram_AWW,#King_AWW,11
#Bertram_AWW,#LORDS.COURT.1_AWW,1
#Bertram_AWW,#LORDS.COURT.2_AWW,1
#Bertram_AWW,#LORDS.COURT.3_AWW,1
#Bertram_AWW,#LORDS.COURT.4_AWW,1
#Bertram_AWW,#LORDS.DUMAINE.1_AWW,13
#Bertram_AWW,#LORDS.DUMAINE.2_AWW,14
#Bertram_AWW,#Lafew_AWW,14
#Bertram_AWW,#Mariana_AWW,1
#Bertram_AWW,#Parolles_AWW,18
#Bertram_AWW,#SOLDIERS.Interpreter_AWW,2
#Bertram_AWW,#SOLDIERS_AWW,3
#Bertram_AWW,#Servant_AWW,1
#Bertram_AWW,#Widow_AWW,4
#CITIZENS_AWW,#Diana_AWW,4
#CITIZENS_AWW,#Mariana_AWW,4
#CITIZENS_AWW,#Widow_AWW,4
#Countess_AWW,#ATTENDANTS.KING.0.1_AWW,1
