node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#Alexas_Ant,#Antony_JC,0,1,1,497,72,1
#Alexas_Ant,#Charmian_Ant,0,1,1,497,72,1
#Alexas_Ant,#Cleopatra_Ant,0,1,1,497,72,1
#Alexas_Ant,#Demetrius_Ant,0,1,1,497,72,1
#Alexas_Ant,#EUNUCHS_Ant,0,1,1,497,72,1
#Alexas_Ant,#Iras_Ant,0,1,1,497,72,1
#Alexas_Ant,#MESSENGERS.X.1_Ant,0,1,1,497,72,1
#Alexas_Ant,#Mardian_Ant,0,1,1,497,72,1
#Alexas_Ant,#Philo_Ant,0,1,1,497,72,1
#Antony_JC,#Charmian_Ant,0,1,1,497,72,1
#Antony_JC,#Cleopatra_Ant,0,1,1,497,72,1
#Antony_JC,#Demetrius_Ant,0,1,1,497,72,1
#Antony_JC,#EUNUCHS_Ant,0,1,1,497,72,1
#Antony_JC,#Iras_Ant,0,1,1,497,72,1
#Antony_JC,#MESSENGERS.X.1_Ant,0,1,1,497,72,1
#Antony_JC,#Mardian_Ant,0,1,1,497,72,1
#Antony_JC,#Philo_Ant,0,1,1,497,72,1
#Charmian_Ant,#Cleopatra_Ant,0,1,1,497,72,1
#Charmian_Ant,#Demetrius_Ant,0,1,1,497,72,1
#Charmian_Ant,#EUNUCHS_Ant,0,1,1,497,72,1
#Charmian_Ant,#Iras_Ant,0,1,1,497,72,1
#Charmian_Ant,#MESSENGERS.X.1_Ant,0,1,1,497,72,1
#Charmian_Ant,#Mardian_Ant,0,1,1,497,72,1
#Charmian_Ant,#Philo_Ant,0,1,1,497,72,1
#Cleopatra_Ant,#Demetrius_Ant,0,1,1,497,72,1
#Cleopatra_Ant,#EUNUCHS_Ant,0,1,1,497,72,1
#Cleopatra_Ant,#Iras_Ant,0,1,1,497,72,1
#Cleopatra_Ant,#MESSENGERS.X.1_Ant,0,1,1,497,72,1
#Cleopatra_Ant,#Mardian_Ant,0,1,1,497,72,1
#Cleopatra_Ant,#Philo_Ant,0,1,1,497,72,1
#Demetrius_Ant,#EUNUCHS_Ant,0,1,1,497,72,1
#Demetrius_Ant,#Iras_Ant,0,1,1,497,72,1
#Demetrius_Ant,#MESSENGERS.X.1_Ant,0,1,1,497,72,1
#Demetrius_Ant,#Mardian_Ant,0,1,1,497,72,1
#Demetrius_Ant,#Philo_Ant,0,1,1,497,72,1
#EUNUCHS_Ant,#Iras_Ant,0,1,1,497,72,1
#EUNUCHS_Ant,#MESSENGERS.X.1_Ant,0,1,1,497,72,1
#EUNUCHS_Ant,#Mardian_Ant,0,1,1,497,72,1
#EUNUCHS_Ant,#Philo_Ant,0,1,1,497,72,1
#Iras_Ant,#MESSENGERS.X.1_Ant,0,1,1,497,72,1
#Iras_Ant,#Mardian_Ant,0,1,1,497,72,1
