node,node_type
#ATTENDANTS.ANTONY_Ant,character
#ATTENDANTS.CAESAR_Ant,character
#ATTENDANTS.OCTAVIA_Ant,character
#ATTENDANTS.ROMAN_Ant,character
#ATTENDANTS_Ant,character
#Agrippa_Ant,character
#Alexas_Ant,character
#Ambassador_Ant,character
#Antony_JC,character
#Boy_Ant,character
#CAPTAINS.0.1_Ant,character
#CAPTAINS_Ant,character
#Canidius_Ant,character
#Charmian_Ant,character
#Cleopatra_Ant,character
#Countryman_Ant,character
#Demetrius_Ant,character
#Diomedes_Ant,character
#Dolabella_Ant,character
#EUNUCHS_Ant,character
#Egyptian_Ant,character
#Enobarbus_Ant,character
#Eros_Ant,character
#GUARDS.0.1_Ant,character
#GUARDS.0.2_Ant,character
#GUARDS.0.3_Ant,character
#GUARDS.CAESAR.0.1_Ant,character
#GUARDS.CAESAR.0.2_Ant,character
#GUARDS.CAESAR.1_Ant,character
#GUARDS.CAESAR_Ant,character
#GUARDS.Dercetus_Ant,character
#GUARDS_Ant,character
#Gallus_Ant,character
#Iras_Ant,character
#LADIES_Ant,character
#Lepidus_JC,character
#MESSENGERS.ANTONY.1_Ant,character
#MESSENGERS.ANTONY.2_Ant,character
#MESSENGERS.ANTONY.3_Ant,character
#MESSENGERS.CAESAR.1_Ant,character
#MESSENGERS.CAESAR.2_Ant,character
#MESSENGERS.X.1_Ant,character
#MESSENGERS.X.2_Ant,character
#MESSENGERS.X.3_Ant,character
#MESSENGERS.X.4_Ant,character
#MESSENGERS.X.5_Ant,character
#Maecenas_Ant,character
#Mardian_Ant,character
#Menas_Ant,character
#Menecrates_Ant,character
#Octavia_Ant,character
#Octavius_JC,character
#Philo_Ant,character
#Pompey_Ant,character
#Proculeius_Ant,character
#SERVANTS.0.1_Ant,character
#SERVANTS.0.2_Ant,character
#SERVANTS.ANTONY_Ant,character
#SERVANTS.Lamprius_Ant,character
#SERVANTS.Lucillius_Ant,character
#SERVANTS.Rannius_Ant,character
#SERVANTS.X.1_Ant,character
#SERVANTS.X.2_Ant,character
#SERVANTS_Ant,character
#SOLDIERS.ANTONY.0.1_Ant,character
#SOLDIERS.ANTONY.0.2_Ant,character
#SOLDIERS.ANTONY.0.3_Ant,character
#SOLDIERS.ANTONY.0.4_Ant,character
#SOLDIERS.ANTONY.0_Ant,character
#SOLDIERS.ANTONY.X.1_Ant,character
#SOLDIERS.ANTONY.X.2_Ant,character
#SOLDIERS.ANTONY.X.3_Ant,character
#SOLDIERS.ANTONY_Ant,character
#SOLDIERS.CAESAR.X.1_Ant,character
#SOLDIERS.CAESAR_Ant,character
#SOLDIERS_Ant,character
#Scarus_Ant,character
#Seleucus_Ant,character
#Silius_Ant,character
#Soothsayer_Ant,character
#Taurus_Ant,character
#Thidias_Ant,character
#Varrius_Ant,character
#Ventidius_Ant,character
#WATCHMEN.1_Ant,character
#WATCHMEN.2_Ant,character
#WATCHMEN.Sentry_Ant,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.02.0005,text_unit
1.02.0006,text_unit
1.02.0007,text_unit
1.02.0008,text_unit
1.02.0009,text_unit
1.02.0010,text_unit
1.02.0011,text_unit
1.02.0012,text_unit
1.02.0013,text_unit
1.03.0014,text_unit
1.03.0015,text_unit
1.03.0016,text_unit
1.04.0017,text_unit
1.04.0018,text_unit
1.04.0019,text_unit
1.05.0020,text_unit
1.05.0021,text_unit
2.01.0022,text_unit
2.01.0023,text_unit
2.02.0024,text_unit
2.02.0025,text_unit
2.02.0026,text_unit
2.02.0027,text_unit
2.03.0028,text_unit
2.03.0029,text_unit
2.03.0030,text_unit
2.03.0031,text_unit
2.04.0032,text_unit
2.05.0033,text_unit
2.05.0034,text_unit
2.05.0035,text_unit
2.05.0036,text_unit
2.05.0037,text_unit
2.05.0038,text_unit
2.05.0039,text_unit
2.06.0040,text_unit
2.06.0041,text_unit
2.07.0042,text_unit
2.07.0043,text_unit
2.07.0044,text_unit
2.07.0045,text_unit
3.01.0046,text_unit
3.02.0047,text_unit
3.02.0048,text_unit
3.03.0049,text_unit
3.03.0050,text_unit
3.03.0051,text_unit
3.04.0052,text_unit
3.05.0053,text_unit
3.06.0054,text_unit
3.06.0055,text_unit
3.07.0056,text_unit
3.07.0057,text_unit
3.07.0058,text_unit
