node1,node2,count
#ATTENDANTS_AYL,#Celia_AYL,2
#ATTENDANTS_AYL,#Charles_AYL,1
#ATTENDANTS_AYL,#DukeFrederick_AYL,2
#ATTENDANTS_AYL,#LORDS.FREDERICK.LeBeau_AYL,2
#ATTENDANTS_AYL,#LORDS.FREDERICK_AYL,2
#ATTENDANTS_AYL,#Rosalind_AYL,2
#ATTENDANTS_AYL,#Touchstone_AYL,2
#Adam_AYL,#DukeSenior_AYL,1
#Adam_AYL,#Jaques_AYL,1
#Adam_AYL,#LORDS.SENIOR.0.1_AYL,1
#Adam_AYL,#LORDS.SENIOR.Amiens_AYL,1
#Adam_AYL,#LORDS.SENIOR_AYL,1
#Adam_AYL,#Oliver_AYL,1
#Adam_AYL,#Orlando_AYL,5
#Audrey_AYL,#Corin_AYL,1
#Audrey_AYL,#Hymen_AYL,3
#Audrey_AYL,#OliverMartext_AYL,1
#Audrey_AYL,#SERVANTS.1_AYL,1
#Audrey_AYL,#SERVANTS.2_AYL,1
#Audrey_AYL,#SecondBrother_AYL,2
#Audrey_AYL,#William_AYL,1
#Celia_AYL,#Audrey_AYL,3
#Celia_AYL,#Charles_AYL,1
#Celia_AYL,#Corin_AYL,5
#Celia_AYL,#DukeFrederick_AYL,3
#Celia_AYL,#Hymen_AYL,3
#Celia_AYL,#LORDS.FREDERICK.LeBeau_AYL,3
#Celia_AYL,#LORDS.FREDERICK_AYL,3
#Celia_AYL,#Phoebe_AYL,5
#Celia_AYL,#Rosalind_AYL,30
#Celia_AYL,#SecondBrother_AYL,2
#Celia_AYL,#Silvius_AYL,7
#Celia_AYL,#Touchstone_AYL,11
#Charles_AYL,#DukeFrederick_AYL,1
#Charles_AYL,#LORDS.FREDERICK.LeBeau_AYL,1
#Charles_AYL,#LORDS.FREDERICK_AYL,1
#Charles_AYL,#Rosalind_AYL,1
#Charles_AYL,#Touchstone_AYL,1
#DukeFrederick_AYL,#LORDS.FREDERICK.0.1_AYL,2
#DukeFrederick_AYL,#LORDS.FREDERICK.0.2_AYL,1
#DukeFrederick_AYL,#LORDS.FREDERICK.LeBeau_AYL,2
#DukeFrederick_AYL,#LORDS.FREDERICK_AYL,7
#DukeFrederick_AYL,#Rosalind_AYL,3
#DukeFrederick_AYL,#Touchstone_AYL,2
#DukeSenior_AYL,#Audrey_AYL,4
#DukeSenior_AYL,#Celia_AYL,5
#DukeSenior_AYL,#Hymen_AYL,3
#DukeSenior_AYL,#Jaques_AYL,10
#DukeSenior_AYL,#LORDS.SENIOR.0.1_AYL,7
#DukeSenior_AYL,#LORDS.SENIOR.0.2_AYL,1
#DukeSenior_AYL,#LORDS.SENIOR.Amiens_AYL,16
#DukeSenior_AYL,#LORDS.SENIOR_AYL,9
#DukeSenior_AYL,#Phoebe_AYL,6
#DukeSenior_AYL,#Rosalind_AYL,4
#DukeSenior_AYL,#SecondBrother_AYL,2
#DukeSenior_AYL,#Silvius_AYL,6
#DukeSenior_AYL,#Touchstone_AYL,4
#Hymen_AYL,#SecondBrother_AYL,2
#Jaques_AYL,#Audrey_AYL,5
#Jaques_AYL,#Celia_AYL,7
#Jaques_AYL,#Hymen_AYL,2
#Jaques_AYL,#LORDS.SENIOR.0.1_AYL,6
#Jaques_AYL,#LORDS.SENIOR.0.2_AYL,1
#Jaques_AYL,#LORDS.SENIOR.Amiens_AYL,11
#Jaques_AYL,#LORDS.SENIOR_AYL,8
#Jaques_AYL,#OliverMartext_AYL,1
#Jaques_AYL,#Phoebe_AYL,5
#Jaques_AYL,#Rosalind_AYL,6
#Jaques_AYL,#SecondBrother_AYL,1
#Jaques_AYL,#Silvius_AYL,5
#Jaques_AYL,#Touchstone_AYL,5
