node1,node2,count
#ATTENDANTS.1_Cym,#ATTENDANTS.2_Cym,1
#ATTENDANTS.1_Cym,#ATTENDANTS_Cym,1
#ATTENDANTS.1_Cym,#Cymbeline_Cym,1
#ATTENDANTS.1_Cym,#Imogen_Cym,1
#ATTENDANTS.1_Cym,#Pisanio_Cym,1
#ATTENDANTS.1_Cym,#Posthumus_Cym,1
#ATTENDANTS.1_Cym,#Queen_Cym,1
#ATTENDANTS.2_Cym,#ATTENDANTS_Cym,1
#ATTENDANTS.2_Cym,#Cymbeline_Cym,1
#ATTENDANTS.2_Cym,#Imogen_Cym,1
#ATTENDANTS.2_Cym,#Pisanio_Cym,1
#ATTENDANTS.2_Cym,#Posthumus_Cym,1
#ATTENDANTS.2_Cym,#Queen_Cym,1
#ATTENDANTS.3_Cym,#SOLDIERS.BRITON.0.1_Cym,1
#ATTENDANTS.3_Cym,#SOLDIERS.BRITON.0.2_Cym,1
#ATTENDANTS.CLOTEN.1_Cym,#ATTENDANTS.CLOTEN.2_Cym,3
#ATTENDANTS.CLOTEN.1_Cym,#Cloten_Cym,3
#ATTENDANTS.CLOTEN.1_Cym,#LADIES.IMOGEN_Cym,1
#ATTENDANTS.CLOTEN.1_Cym,#MESSENGERS.1_Cym,1
#ATTENDANTS.CLOTEN.1_Cym,#MUSICIANS_Cym,1
#ATTENDANTS.CLOTEN.2_Cym,#Cloten_Cym,3
#ATTENDANTS.CLOTEN.2_Cym,#LADIES.IMOGEN_Cym,1
#ATTENDANTS.CLOTEN.2_Cym,#MESSENGERS.1_Cym,1
#ATTENDANTS.CLOTEN.2_Cym,#MUSICIANS_Cym,1
#ATTENDANTS_Cym,#ATTENDANTS.0.1_Cym,1
#ATTENDANTS_Cym,#ATTENDANTS.0.2_Cym,1
#ATTENDANTS_Cym,#ATTENDANTS.CLOTEN.1_Cym,1
#ATTENDANTS_Cym,#ATTENDANTS.CLOTEN.2_Cym,1
#ATTENDANTS_Cym,#Arviragus_Cym,1
#ATTENDANTS_Cym,#Belarius_Cym,1
#ATTENDANTS_Cym,#Cloten_Cym,3
#ATTENDANTS_Cym,#Cornelius_Cym,1
#ATTENDANTS_Cym,#Cymbeline_Cym,6
#ATTENDANTS_Cym,#Guiderius_Cym,1
#ATTENDANTS_Cym,#Iachimo_Cym,1
#ATTENDANTS_Cym,#Imogen_Cym,3
#ATTENDANTS_Cym,#LADIES.IMOGEN_Cym,1
#ATTENDANTS_Cym,#LADIES.QUEEN_Cym,1
#ATTENDANTS_Cym,#Lucius_Cym,3
#ATTENDANTS_Cym,#MESSENGERS.1_Cym,1
#ATTENDANTS_Cym,#MUSICIANS_Cym,1
#ATTENDANTS_Cym,#Pisanio_Cym,5
#ATTENDANTS_Cym,#Posthumus_Cym,2
#ATTENDANTS_Cym,#Queen_Cym,4
#ATTENDANTS_Cym,#SOLDIERS.BRITON_Cym,1
#ATTENDANTS_Cym,#SOLDIERS.ROMAN_Cym,1
#ATTENDANTS_Cym,#Soothsayer_Cym,1
#Arviragus_Cym,#Belarius_Cym,6
#Arviragus_Cym,#Cornelius_Cym,1
#Arviragus_Cym,#Guiderius_Cym,6
#Arviragus_Cym,#Iachimo_Cym,2
#Arviragus_Cym,#LADIES.QUEEN_Cym,1
#Arviragus_Cym,#SOLDIERS.BRITON_Cym,2
#Arviragus_Cym,#SOLDIERS.ROMAN.0.1_Cym,1
#Arviragus_Cym,#SOLDIERS.ROMAN_Cym,3
#Arviragus_Cym,#Soothsayer_Cym,2
#Belarius_Cym,#Cornelius_Cym,1
#Belarius_Cym,#Guiderius_Cym,6
#Belarius_Cym,#Iachimo_Cym,2
#Belarius_Cym,#LADIES.QUEEN_Cym,1
#Belarius_Cym,#SOLDIERS.BRITON_Cym,2
#Belarius_Cym,#SOLDIERS.ROMAN.0.1_Cym,1
#Belarius_Cym,#SOLDIERS.ROMAN_Cym,3
#Belarius_Cym,#Soothsayer_Cym,2
#Cloten_Cym,#ATTENDANTS.0.1_Cym,1
#Cloten_Cym,#Arviragus_Cym,1
#Cloten_Cym,#Belarius_Cym,1
#Cloten_Cym,#Guiderius_Cym,1
#Cloten_Cym,#LADIES.IMOGEN_Cym,1
#Cloten_Cym,#Lucius_Cym,3
#Cloten_Cym,#MESSENGERS.1_Cym,1
#Cloten_Cym,#MUSICIANS_Cym,1
#Cloten_Cym,#SOLDIERS.ROMAN.0.1_Cym,1
#Cloten_Cym,#SOLDIERS.ROMAN_Cym,1
#Cloten_Cym,#Soothsayer_Cym,1
#Cornelius_Cym,#Guiderius_Cym,1
#Cornelius_Cym,#Iachimo_Cym,1
#Cornelius_Cym,#LADIES.QUEEN.0.1_Cym,1
#Cornelius_Cym,#LADIES.QUEEN_Cym,2
#Cornelius_Cym,#SOLDIERS.BRITON_Cym,1
#Cornelius_Cym,#SOLDIERS.ROMAN_Cym,1
#Cornelius_Cym,#Soothsayer_Cym,1
#Cymbeline_Cym,#ATTENDANTS.0.1_Cym,1
#Cymbeline_Cym,#ATTENDANTS.0.2_Cym,1
#Cymbeline_Cym,#ATTENDANTS.CLOTEN.1_Cym,1
#Cymbeline_Cym,#ATTENDANTS.CLOTEN.2_Cym,1
#Cymbeline_Cym,#Arviragus_Cym,2
#Cymbeline_Cym,#Belarius_Cym,2
#Cymbeline_Cym,#Cloten_Cym,3
#Cymbeline_Cym,#Cornelius_Cym,1
#Cymbeline_Cym,#Guiderius_Cym,2
#Cymbeline_Cym,#Iachimo_Cym,2
#Cymbeline_Cym,#Imogen_Cym,4
#Cymbeline_Cym,#LADIES.IMOGEN_Cym,1
#Cymbeline_Cym,#LADIES.QUEEN_Cym,1
#Cymbeline_Cym,#Lucius_Cym,4
#Cymbeline_Cym,#MESSENGERS.1_Cym,1
#Cymbeline_Cym,#MUSICIANS_Cym,1
#Cymbeline_Cym,#Pisanio_Cym,5
#Cymbeline_Cym,#Posthumus_Cym,2
#Cymbeline_Cym,#Queen_Cym,4
#Cymbeline_Cym,#SOLDIERS.BRITON_Cym,2
#Cymbeline_Cym,#SOLDIERS.ROMAN_Cym,2
#Cymbeline_Cym,#Soothsayer_Cym,1
#Dutchman_Cym,#Frenchman_Cym,1
#Dutchman_Cym,#Philario_Cym,1
#Dutchman_Cym,#Spaniard_Cym,1
#Frenchman_Cym,#Philario_Cym,1
#Frenchman_Cym,#Spaniard_Cym,1
#GHOSTS.BROTHERS.1_Cym,#GHOSTS.BROTHERS.2_Cym,1
#GHOSTS.BROTHERS.1_Cym,#GHOSTS.Father_Cym,1
#GHOSTS.BROTHERS.1_Cym,#GHOSTS.Mother_Cym,1
#GHOSTS.BROTHERS.1_Cym,#JAILERS.1_Cym,1
#GHOSTS.BROTHERS.1_Cym,#JAILERS.2_Cym,1
#GHOSTS.BROTHERS.1_Cym,#Jupiter_Cym,1
#GHOSTS.BROTHERS.1_Cym,#MESSENGERS.2_Cym,1
#GHOSTS.BROTHERS.2_Cym,#GHOSTS.Father_Cym,1
#GHOSTS.BROTHERS.2_Cym,#GHOSTS.Mother_Cym,1
#GHOSTS.BROTHERS.2_Cym,#JAILERS.1_Cym,1
#GHOSTS.BROTHERS.2_Cym,#JAILERS.2_Cym,1
#GHOSTS.BROTHERS.2_Cym,#Jupiter_Cym,1
#GHOSTS.BROTHERS.2_Cym,#MESSENGERS.2_Cym,1
#GHOSTS.Father_Cym,#GHOSTS.Mother_Cym,1
#GHOSTS.Father_Cym,#JAILERS.1_Cym,1
#GHOSTS.Father_Cym,#JAILERS.2_Cym,1
#GHOSTS.Father_Cym,#Jupiter_Cym,1
#GHOSTS.Father_Cym,#MESSENGERS.2_Cym,1
#GHOSTS.Mother_Cym,#JAILERS.1_Cym,1
#GHOSTS.Mother_Cym,#JAILERS.2_Cym,1
#GHOSTS.Mother_Cym,#Jupiter_Cym,1
#GHOSTS.Mother_Cym,#MESSENGERS.2_Cym,1
#Guiderius_Cym,#Iachimo_Cym,2
#Guiderius_Cym,#LADIES.QUEEN_Cym,1
#Guiderius_Cym,#SOLDIERS.BRITON_Cym,2
#Guiderius_Cym,#SOLDIERS.ROMAN.0.1_Cym,1
#Guiderius_Cym,#SOLDIERS.ROMAN_Cym,3
#Guiderius_Cym,#Soothsayer_Cym,2
#Iachimo_Cym,#Dutchman_Cym,1
#Iachimo_Cym,#Frenchman_Cym,1
#Iachimo_Cym,#LADIES.QUEEN_Cym,1
#Iachimo_Cym,#Philario_Cym,2
#Iachimo_Cym,#SOLDIERS.BRITON_Cym,2
#Iachimo_Cym,#SOLDIERS.ROMAN_Cym,2
#Iachimo_Cym,#Soothsayer_Cym,1
#Iachimo_Cym,#Spaniard_Cym,1
#Imogen_Cym,#ATTENDANTS.CLOTEN.1_Cym,1
#Imogen_Cym,#ATTENDANTS.CLOTEN.2_Cym,1
#Imogen_Cym,#Arviragus_Cym,4
#Imogen_Cym,#Belarius_Cym,4
#Imogen_Cym,#Cloten_Cym,2
#Imogen_Cym,#Cornelius_Cym,1
#Imogen_Cym,#Guiderius_Cym,4
#Imogen_Cym,#Iachimo_Cym,4
#Imogen_Cym,#LADIES.IMOGEN_Cym,3
#Imogen_Cym,#LADIES.QUEEN_Cym,1
#Imogen_Cym,#Lucius_Cym,3
#Imogen_Cym,#MESSENGERS.1_Cym,1
