act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#ATTENDANTS.1_Cym,506,67,577,80
1,1,1,#ATTENDANTS.2_Cym,71,13,577,80
1,1,2,#Posthumus_Cym,8,2,112,16
1,1,2,#Queen_Cym,104,14,112,16
1,1,3,#Imogen_Cym,68,10,143,20
1,1,3,#Posthumus_Cym,75,10,143,20
1,1,4,#Queen_Cym,47,7,47,7
1,1,5,#Imogen_Cym,48,9,148,23
1,1,5,#Posthumus_Cym,100,14,148,23
1,1,6,#Cymbeline_Cym,28,4,46,8
1,1,6,#Posthumus_Cym,18,4,46,8
1,1,7,#Cymbeline_Cym,52,10,170,29
1,1,7,#Imogen_Cym,118,19,170,29
1,1,8,#Cymbeline_Cym,35,6,59,11
1,1,8,#Queen_Cym,24,5,59,11
1,1,9,#Queen_Cym,5,1,5,1
1,1,10,#Imogen_Cym,66,8,176,26
1,1,10,#Pisanio_Cym,70,10,176,26
1,1,10,#Queen_Cym,40,8,176,26
1,2,11,#ATTENDANTS.CLOTEN.1_Cym,109,14,265,41
1,2,11,#ATTENDANTS.CLOTEN.2_Cym,98,17,265,41
1,2,11,#Cloten_Cym,58,10,265,41
1,3,12,#Imogen_Cym,241,32,315,44
1,3,12,#Pisanio_Cym,74,12,315,44
1,3,13,#Imogen_Cym,14,2,24,5
1,3,13,#LADIES.IMOGEN_Cym,7,2,24,5
1,3,13,#Pisanio_Cym,3,1,24,5
1,4,14,#Frenchman_Cym,25,4,213,28
1,4,14,#Iachimo_Cym,146,18,213,28
1,4,14,#Philario_Cym,42,6,213,28
1,4,15,#Frenchman_Cym,150,20,1157,150
1,4,15,#Iachimo_Cym,485,63,1157,150
1,4,15,#Philario_Cym,97,12,1157,150
1,4,15,#Posthumus_Cym,425,55,1157,150
1,4,16,#Frenchman_Cym,5,1,16,3
1,4,16,#Philario_Cym,11,2,16,3
1,5,17,#Queen_Cym,17,2,17,2
1,5,18,#LADIES.QUEEN.0.1_Cym,2,1,3,2
1,5,18,#Queen_Cym,1,1,3,2
1,5,19,#Cornelius_Cym,64,11,181,27
1,5,19,#Queen_Cym,117,16,181,27
1,5,20,#Cornelius_Cym,115,15,163,23
1,5,20,#Queen_Cym,48,8,163,23
1,5,21,#Queen_Cym,257,31,257,31
1,5,22,#Queen_Cym,60,8,60,8
1,5,23,#Queen_Cym,24,4,24,4
1,5,24,#Pisanio_Cym,21,3,21,3
1,6,25,#Imogen_Cym,69,9,69,9
1,6,26,#Iachimo_Cym,223,35,338,55
1,6,26,#Imogen_Cym,95,16,338,55
1,6,26,#Pisanio_Cym,20,4,338,55
1,6,27,#Iachimo_Cym,877,122,1252,180
1,6,27,#Imogen_Cym,375,58,1252,180
2,1,28,#ATTENDANTS.CLOTEN.1_Cym,40,7,365,51
2,1,28,#ATTENDANTS.CLOTEN.2_Cym,99,16,365,51
2,1,28,#Cloten_Cym,226,28,365,51
2,1,29,#ATTENDANTS.CLOTEN.2_Cym,112,14,112,14
2,2,30,#Imogen_Cym,51,7,57,9
2,2,30,#LADIES.IMOGEN_Cym,6,2,57,9
2,2,31,#Imogen_Cym,24,5,24,5
2,2,32,#Iachimo_Cym,330,42,330,42
2,3,33,#ATTENDANTS.CLOTEN.1_Cym,41,6,93,13
2,3,33,#Cloten_Cym,52,7,93,13
2,3,34,#Cloten_Cym,92,11,136,20
2,3,34,#MUSICIANS_Cym,44,9,136,20
2,3,35,#ATTENDANTS.CLOTEN.2_Cym,4,1,171,24
2,3,35,#Cloten_Cym,52,7,171,24
2,3,35,#Cymbeline_Cym,43,6,171,24
2,3,35,#Queen_Cym,72,10,171,24
2,3,36,#MESSENGERS.1_Cym,12,2,12,2
2,3,37,#Cymbeline_Cym,70,10,70,10
2,3,38,#Cloten_Cym,110,14,110,14
2,3,39,#Cloten_Cym,23,5,68,14
2,3,39,#LADIES.IMOGEN_Cym,45,9,68,14
2,3,40,#LADIES.IMOGEN_Cym,2,1,2,1
2,3,41,#Cloten_Cym,147,21,431,57
2,3,41,#Imogen_Cym,284,36,431,57
2,3,42,#Cloten_Cym,7,2,104,15
2,3,42,#Imogen_Cym,93,12,104,15
2,3,42,#Pisanio_Cym,4,1,104,15
2,3,43,#Cloten_Cym,12,3,55,9
2,3,43,#Imogen_Cym,43,6,55,9
2,3,44,#Cloten_Cym,7,1,7,1
2,4,45,#Philario_Cym,57,8,205,29
2,4,45,#Posthumus_Cym,148,21,205,29
2,4,46,#Iachimo_Cym,469,71,1052,161
2,4,46,#Philario_Cym,64,12,1052,161
2,4,46,#Posthumus_Cym,519,78,1052,161
2,4,47,#Iachimo_Cym,4,1,25,5
2,4,47,#Philario_Cym,21,4,25,5
2,5,48,#Posthumus_Cym,285,36,285,36
3,1,49,#Cloten_Cym,188,21,684,92
3,1,49,#Cymbeline_Cym,215,30,684,92
3,1,49,#Lucius_Cym,122,19,684,92
3,1,49,#Queen_Cym,159,22,684,92
3,2,50,#Pisanio_Cym,173,23,173,23
3,2,51,#Imogen_Cym,482,59,517,64
3,2,51,#Pisanio_Cym,35,5,517,64
3,3,52,#Arviragus_Cym,82,11,673,84
3,3,52,#Belarius_Cym,515,61,673,84
3,3,52,#Guiderius_Cym,76,12,673,84
3,3,53,#Belarius_Cym,244,31,244,31
3,4,54,#Imogen_Cym,1003,135,1600,222
3,4,54,#Pisanio_Cym,597,87,1600,222
3,5,55,#Cloten_Cym,14,2,134,22
3,5,55,#Cymbeline_Cym,61,10,134,22
3,5,55,#Lucius_Cym,59,10,134,22
3,5,56,#Cloten_Cym,12,2,195,27
3,5,56,#Cymbeline_Cym,111,14,195,27
3,5,56,#Queen_Cym,72,11,195,27
3,5,57,#ATTENDANTS.0.1_Cym,22,3,101,15
3,5,57,#Cymbeline_Cym,25,5,101,15
3,5,57,#Queen_Cym,54,7,101,15
3,5,58,#Cloten_Cym,15,2,24,4
3,5,58,#Queen_Cym,9,2,24,4
3,5,59,#Queen_Cym,83,10,83,10
3,5,60,#Cloten_Cym,18,3,34,6
3,5,60,#Queen_Cym,16,3,34,6
3,5,61,#Cloten_Cym,83,11,83,11
3,5,62,#Cloten_Cym,286,40,396,59
3,5,62,#Pisanio_Cym,110,19,396,59
3,5,63,#Cloten_Cym,161,18,161,18
3,5,64,#Cloten_Cym,71,8,81,10
3,5,64,#Pisanio_Cym,10,2,81,10
3,5,65,#Pisanio_Cym,53,6,53,6
3,6,66,#Imogen_Cym,233,27,233,27
3,6,67,#Arviragus_Cym,9,1,139,21
3,6,67,#Belarius_Cym,104,16,139,21
3,6,67,#Guiderius_Cym,26,4,139,21
3,6,68,#Arviragus_Cym,87,13,416,67
3,6,68,#Belarius_Cym,91,15,416,67
3,6,68,#Guiderius_Cym,33,6,416,67
3,6,68,#Imogen_Cym,205,33,416,67
3,7,69,#SENATORS.1_Cym,70,10,70,10
3,7,70,#SENATORS.1_Cym,31,5,47,9
3,7,70,#SENATORS.2_Cym,1,1,47,9
3,7,70,#TRIBUNES.0.1_Cym,15,3,47,9
4,1,71,#Cloten_Cym,240,26,240,26
4,2,72,#Arviragus_Cym,85,13,398,59
4,2,72,#Belarius_Cym,96,16,398,59
4,2,72,#Guiderius_Cym,46,7,398,59
4,2,72,#Imogen_Cym,171,23,398,59
4,2,73,#Arviragus_Cym,64,10,120,19
4,2,73,#Belarius_Cym,18,3,120,19
4,2,73,#Guiderius_Cym,38,6,120,19
4,2,74,#Belarius_Cym,40,5,74,10
4,2,74,#Cloten_Cym,13,2,74,10
4,2,74,#Guiderius_Cym,21,3,74,10
4,2,75,#Cloten_Cym,114,21,265,44
4,2,75,#Guiderius_Cym,151,23,265,44
